symbol,broker_symbol,candles,days,status
AUDUSD,AUDUSDm,12767,78,ok
USDCAD,USDCADm,12767,78,ok
GBPUSD,GBPUSDm,12766,78,ok
EURUSD,EURUSDm,12767,78,ok
US100,USTECm,12126,78,ok
