symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,max_trades_per_day
AUDUSD,AUDUSDm,M1,TREND,3,1.2,1.0/1.5/3.0,ALL,891,444,446,49.83,300.0,425.03,125.03,41.68,81.34,1.04,0.033,3
XAUUSD,XAUUSDm,M5,EMA,3,1.2,1.0/1.5/2.0,ALL,662,342,320,51.66,300.0,368.89,68.89,22.96,57.46,1.02,0.029,3
GBPCHF,GBPCHFm,M5,OFF,7,2.0,1.0/2.0/3.0,ALL,502,275,226,54.78,300.0,608.44,308.44,102.81,58.64,1.06,0.056,2
AUDCAD,AUDCADm,M1,RSI_EXTREME,7,2.0,1.0/2.0/3.0,ALL,310,158,152,50.97,300.0,400.66,100.66,33.55,62.17,1.07,0.046,1
XAGUSD,XAGUSDm,M1,OFF,5,2.0,1.0/2.0/3.0,NY_OPEN,575,296,279,51.48,300.0,661.67,361.67,120.56,68.18,1.15,0.056,3
