scope,count,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,mean_bps,gross_gain_pct,gross_loss_pct
portfolio gross / paper style,151,2.681521437180434,1.1016313924302406,44.370860927152314,5.941948602896774,0.5549558943526284,1.898292302173355,31.070515679616804,28.204094303335047
portfolio after broker costs,151,-1.9534709024722763,0.9429318316361283,42.384105960264904,7.188670411345832,-0.34079278993918066,-1.161665163541185,28.98306268858308,30.73717708553026
portfolio +0.5 pip,151,-2.5422829924959367,0.9242006320349223,41.72185430463576,7.336755550301488,-0.45781558809297174,-1.5605174446869354,28.730702954039643,31.08708429551692
EURUSD,151,-5.407996735213372,0.8411091759963377,43.04635761589404,9.345220058306413,-1.0357760581913715,-3.5356735383174516,28.261984839791182,33.60085188265053
GBPUSD,151,-0.29798184508776915,0.9992362418822477,48.34437086092716,7.152332810004214,-0.004371992056977482,-0.01666304875149121,32.91878142680527,32.94394263042001
USDJPY,151,-0.2605336074432474,1.0028291995513634,43.04635761589404,8.1354815496282,0.015315722654395765,0.06734109644538731,36.04296589725317,35.94128084162063
