period,run,month,starting_closed_balance,net_usd,return_on_month_start_balance_pct,ending_closed_balance,trades,win_rate,net_pf,commission,swap,fee,momentum_net_usd,trend_change_net_usd,breakout_net_usd
1y,All three together,2025.09,10000,-294.65,-2.9464999999999995,9705.35,21,23.80952380952381,0.5568306586249944,-2.5,-4.28,0.0,0,-245.92,-48.73
1y,All three together,2025.10,9705.35,758.54,7.815689284775922,10463.89,32,53.125,2.019323801333047,-2.27,-11.7,0.0,311.89,152.08,294.57
1y,All three together,2025.11,10463.89,-247.4,-2.3643214903826397,10216.49,26,26.923076923076923,0.7073366929282893,-2.01,-20.28,0.0,-36.85,-95.37,-115.18
1y,All three together,2025.12,10216.49,44.02,0.4308720509685812,10260.51,27,33.333333333333336,1.0575831305758312,-2.22,-17.6,0.0,70.08,0.0,-26.06
1y,All three together,2026.01,10260.51,-235.87,-2.2988136067310494,10024.64,24,33.333333333333336,0.771587662809277,-1.49,-7.44,0.0,11.86,-238.31,-9.42
1y,All three together,2026.02,10024.64,160.93,1.6053444313212246,10185.57,14,28.571428571428573,1.1900830350920708,-0.84,-17.02,0.0,100.53,337.96,-277.56
1y,All three together,2026.03,10185.57,62.49,0.6135150021059205,10248.06,26,34.61538461538461,1.0508433205594474,-1.56,-9.04,0.0,-224.09,-99.09,385.67
1y,All three together,2026.04,10248.06,-237.93,-2.3217077183388857,10010.13,29,24.137931034482758,0.7972043468996378,-1.89,-21.24,0.0,-117.19,-90.12,-30.62
1y,All three together,2026.05,10010.13,-361.75,-3.6138391809097388,9648.38,31,22.580645161290324,0.6416933271263161,-1.96,-12.21,0.0,-130.83,-181.84,-49.08
1y,All three together,2026.06,9648.38,495.49,5.135473519906969,10143.87,35,45.714285714285715,1.5829979997646784,-2.2,-4.77,0.0,86.65,37.05,371.79
1y,All three together,2026.07,10143.87,-236.77,-2.3341190295222636,9907.1,32,28.125,0.7822724514005113,-2.77,-13.34,0.0,-87.14,-7.06,-142.57
1y,All three together,2026.08,9907.1,382.29,3.858747766753137,10289.39,29,41.37931034482759,1.5666997731955703,-1.99,-9.58,0.0,-90.5,310.49,162.3
1y,All three together,2026.09,10289.39,91.36,0.8879049195336167,10380.75,7,42.857142857142854,1.5771320277953251,-0.42,-3.73,0.0,0,48.41,42.95
2019-2026,All three together,2019.01,10000,92.62,0.9262,10092.62,27,40.74074074074074,1.1620222163911484,-11.89,-76.48,0.0,-38.06,-12.5,143.18
2019-2026,All three together,2019.02,10092.62,17.45,0.17289861304596824,10110.07,24,37.5,1.0327171141442926,-10.78,-57.76,0.0,-35.64,-28.46,81.55
2019-2026,All three together,2019.03,10110.07,-461.86,-4.568316539845915,9648.21,38,23.68421052631579,0.5440941306536632,-16.49,-58.82,0.0,-65.41,-289.27,-107.18
2019-2026,All three together,2019.04,9648.21,-72.13,-0.7475998138514812,9576.08,28,32.142857142857146,0.8805794701986756,-13.38,-32.62,0.0,-59.23,-21.0,8.1
2019-2026,All three together,2019.05,9576.08,-424.64,-4.434382335987167,9151.44,39,23.076923076923077,0.5539964289465392,-18.79,-60.43,0.0,-74.9,-225.85,-123.89
2019-2026,All three together,2019.06,9151.44,57.74,0.6309389560550032,9209.18,32,37.5,1.0844337208452146,-8.36,-51.33,0.0,108.96,-132.57,81.35
2019-2026,All three together,2019.07,9209.18,-315.89,-3.4301642491513893,8893.29,35,25.714285714285715,0.6232228053435115,-9.46,-55.07,0.0,-137.54,-43.3,-135.05
2019-2026,All three together,2019.08,8893.29,-163.15,-1.8345291787403757,8730.14,35,28.571428571428573,0.7965482410744348,-7.64,-33.65,0.0,-38.01,-86.23,-38.91
2019-2026,All three together,2019.09,8730.14,-95.01,-1.0882986985317529,8635.13,28,32.142857142857146,0.8440311248276315,-5.72,-30.49,0.0,29.26,-29.46,-94.81
2019-2026,All three together,2019.10,8635.13,-6.85,-0.07932712072661324,8628.28,37,35.13513513513514,0.990407774603708,-10.11,-68.96,0.0,-64.68,74.02,-16.19
2019-2026,All three together,2019.11,8628.28,-365.53,-4.236417918750897,8262.75,30,20.0,0.4765505291346249,-9.87,-43.31,0.0,25.11,-239.91,-150.73
2019-2026,All three together,2019.12,8262.75,-222.89,-2.697528062690992,8039.86,26,26.923076923076923,0.595356098977906,-8.92,-68.43,0.0,-58.17,-100.02,-64.7
