period,run,year,trades,wins,losses,breakeven,net_profit,net_win_rate,net_pf,average_win,average_loss,largest_win,largest_loss,max_loss_streak,commission,swap,fee,longs,shorts
5y,All three together,2025,366,129,237,0,599.27,35.24590163934426,1.0605402729651368,81.37961240310077,-41.76666666666667,150.98,-79.07,13,-42.6,-215.25,0.0,198,168
5y,All three together,2026,227,75,152,0,-4.23,33.03964757709251,0.9994832596907132,109.08933333333333,-53.85480263157895,373.73,-273.47,15,-15.32,-98.91,0.0,121,106
5y,Momentum,2021,11,4,7,0,9.35,36.36363636363637,1.036271239041043,66.7825,-36.825714285714284,71.78,-46.5,4,-2.99,-13.89,0.0,6,5
5y,Momentum,2022,45,22,23,0,647.68,48.888888888888886,1.7329764720527823,69.605,-38.418695652173916,81.64,-51.65,6,-11.05,-31.01,0.0,20,25
5y,Momentum,2023,37,18,19,0,609.11,48.648648648648646,1.851199709330762,73.59444444444445,-37.66263157894737,85.34,-44.94,9,-9.79,-44.37,0.0,22,15
5y,Momentum,2024,44,14,30,0,-129.38,31.818181818181817,0.8946674265244648,78.49428571428572,-40.943333333333335,91.7,-50.38,7,-8.65,-46.51,0.0,29,15
5y,Momentum,2025,41,18,23,0,548.8,43.90243902439025,1.5239741068189194,88.67666666666668,-45.53826086956522,127.97,-66.85,6,-4.94,-33.62,0.0,30,11
5y,Momentum,2026,29,7,22,0,-483.24,24.137931034482758,0.650638731645954,128.56714285714287,-62.87318181818182,224.45,-189.39,6,-2.14,-25.54,0.0,19,10
5y,Trend change,2021,43,13,30,0,-225.15,30.232558139534884,0.7922548856779051,66.04846153846154,-36.126,73.2,-46.36,5,-10.58,-67.35,0.0,24,19
5y,Trend change,2022,120,43,77,0,38.36,35.833333333333336,1.0137648422389758,65.70162790697674,-36.192337662337664,86.94,-48.21,13,-25.71,-196.14,0.0,66,54
5y,Trend change,2023,145,44,101,0,-563.61,30.344827586206897,0.837669930875576,66.09977272727272,-34.37623762376238,79.57,-45.18,8,-33.89,-103.13,0.0,70,75
5y,Trend change,2024,153,56,97,0,337.2,36.60130718954248,1.09927633089755,66.67464285714286,-35.016288659793815,88.87,-55.25,9,-27.33,-122.9,0.0,70,83
5y,Trend change,2025,136,44,92,0,-295.92,32.35294117647059,0.9206684950015682,78.05113636363636,-40.54532608695652,111.95,-79.07,8,-15.21,-71.0,0.0,64,72
5y,Trend change,2026,79,25,54,0,40.52,31.645569620253166,1.0159636916627925,103.15119999999999,-47.00481481481481,337.96,-154.03,8,-4.94,-39.85,0.0,42,37
5y,Breakout,2021,68,23,45,0,-78.48,33.8235294117647,0.952324253395864,68.15826086956521,-36.580444444444446,81.47,-45.24,10,-17.23,-69.45,0.0,35,33
5y,Breakout,2022,167,60,107,0,158.31,35.92814371257485,1.0406056346698405,67.61716666666668,-36.43663551401869,99.92,-48.21,11,-36.2,-200.94,0.0,86,81
5y,Breakout,2023,197,60,137,0,-780.21,30.456852791878173,0.8300644056795485,63.516666666666666,-33.512481751824815,88.51,-47.82,11,-43.68,-173.66,0.0,112,85
5y,Breakout,2024,186,63,123,0,-136.4,33.87096774193548,0.9672808307406668,64.00650793650793,-33.89276422764228,90.21,-51.4,7,-31.39,-147.49,0.0,104,82
5y,Breakout,2025,189,67,122,0,218.05,35.44973544973545,1.0449479197801768,75.66000000000001,-39.763688524590165,150.98,-79.07,6,-20.82,-96.7,0.0,104,85
5y,Breakout,2026,119,43,76,0,398.39,36.134453781512605,1.0974613899850039,104.32697674418606,-53.78513157894737,373.73,-273.47,7,-7.74,-32.98,0.0,60,59
6m,All three together,2026,185,60,125,0,-272.84,32.432432432432435,0.9538677442808109,94.02433333333333,-47.3144,313.67,-189.39,15,-11.95,-71.77,0.0,94,91
