candidate_id,family,direction,fast_ema,slow_ema,atr_stop,target_r,entry_start_hour,entry_end_hour,max_hold,rsi_period,rsi_threshold,breakout_lookback,opening_move_atr,valid,development_score,development_trades,development_profit_factor,development_win_rate_pct,development_max_drawdown_pct,development_total_return_pct,development_net_r,development_avg_r,development_active_days_pct,development_profitable_all_days_pct,fold1_pf,fold1_trades,fold2_pf,fold2_trades,fold3_pf,fold3_trades
opening_momentum_both_E12-48_S1.5_T1.5_HR11-11_MOVE0.75,opening_momentum,both,12,48,1.5,1.5,11,11,5,0,0,0,0.75,True,2.147606102493703,131,1.481129001444885,56.48854961832062,1.9007193550337975,12.857878284179503,24.56493081818143,0.1875185558639804,41.45569620253164,23.417721518987342,1.7887578272062203,45,1.8366511268701378,42,0.9523642099466085,44
opening_momentum_both_E8-32_S1.5_T1.5_HR11-11_MOVE0.75,opening_momentum,both,8,32,1.5,1.5,11,11,5,0,0,0,0.75,True,2.1085572261259182,141,1.4320663737759718,55.319148936170215,1.9159921335269892,12.71304941194671,24.336158671141675,0.17259687000809698,44.620253164556964,24.68354430379747,1.6219704142658216,50,1.6491657320800546,43,1.0602072856007048,48
opening_momentum_both_E12-48_S1.5_T2_HR11-11_MOVE0.75,opening_momentum,both,12,48,1.5,2.0,11,11,5,0,0,0,0.75,True,2.1078463890028827,131,1.468980784908054,55.72519083969466,2.808888594641279,12.753639647650616,24.416862852441618,0.18638826604917266,41.45569620253164,23.10126582278481,1.8482197859386498,45,1.8243621479930778,42,0.8574251740403629,44
opening_momentum_both_E8-32_S1.5_T2_HR11-11_MOVE0.75,opening_momentum,both,8,32,1.5,2.0,11,11,5,0,0,0,0.75,True,1.994581391427785,141,1.4169357151968605,53.90070921985816,2.419054603088422,12.4596390730487,23.927780283114917,0.16970056938379374,44.620253164556964,24.050632911392405,1.7042847934984848,50,1.5583302152047565,43,0.9916144706966808,48
opening_momentum_long_E12-48_S1.5_T2_HR11-11_MOVE0.5,opening_momentum,long,12,48,1.5,2.0,11,11,5,0,0,0,0.5,True,1.909023414931142,93,1.57184686569012,59.13978494623656,1.9175193423606407,9.218795945012094,17.873809619687606,0.1921915012869635,29.430379746835445,17.405063291139243,1.8192221033834548,33,2.3440058372500467,29,0.8551039823942614,31
opening_momentum_long_E12-48_S1.5_T2_HR11-11_MOVE0.75,opening_momentum,long,12,48,1.5,2.0,11,11,5,0,0,0,0.75,True,1.8971673992973768,79,1.5992826263254623,59.49367088607595,1.5070655802809974,7.966707354848501,15.525728881384783,0.19652821368841497,25.0,14.873417721518987,1.6973099292232718,27,2.2744147749042365,24,1.0639315660318382,28
opening_momentum_both_E20-60_S1.5_T1.5_HR11-11_MOVE0.75,opening_momentum,both,20,60,1.5,1.5,11,11,5,0,0,0,0.75,True,1.8900761781176585,129,1.3744492531306027,54.263565891472865,1.9242945044884663,10.24137352815957,19.87104417233582,0.1540391021111304,40.822784810126585,22.151898734177212,1.551974946860281,48,1.7930574323211332,39,0.9095823904629358,42
trend_breakout_long_E12-48_S1.5_T1.5_HR11-14_BO6,trend_breakout,long,12,48,1.5,1.5,11,14,5,0,0,6,0.0,True,1.8881520648728682,95,1.422805221526086,55.78947368421052,2.2792761539069395,6.220252922221015,12.253724858898138,0.12898657746208567,30.063291139240505,16.77215189873418,1.7054053361092207,33,1.6016555494004425,30,0.9773726916683393,32
opening_momentum_both_E8-32_S1.5_T2_HR11-11_MOVE0.5,opening_momentum,both,8,32,1.5,2.0,11,11,5,0,0,0,0.5,True,1.8823869494399545,160,1.3135738970925932,52.5,3.9364921596998337,10.933278955270076,21.249391922832096,0.1328086995177006,50.63291139240506,26.582278481012654,1.5657815956703796,59,1.6288653996382145,48,0.8135088630312372,53
trend_breakout_both_E20-60_S1.5_T1.5_HR11-14_BO6,trend_breakout,both,20,60,1.5,1.5,11,14,5,0,0,6,0.0,True,1.8499794230392694,139,1.4322985813479303,53.956834532374096,3.745447011607461,11.371463758056667,21.888943955115465,0.15747441694327674,43.9873417721519,23.734177215189874,1.9139135837735433,49,1.547362162019719,41,0.9597228141208222,49
opening_momentum_long_E20-60_S1.5_T2_HR11-11_MOVE0.5,opening_momentum,long,20,60,1.5,2.0,11,11,5,0,0,0,0.5,True,1.8485724949843063,90,1.4656422978573138,56.666666666666664,1.9983007795420504,7.674886760831856,15.027108802115226,0.16696787557905807,28.48101265822785,16.139240506329113,1.5895719204333723,33,1.936158976122996,29,0.9638614828985598,28
trend_breakout_long_E12-48_S1.5_T2_HR11-14_BO6,trend_breakout,long,12,48,1.5,2.0,11,14,5,0,0,6,0.0,True,1.8465852771641782,95,1.470136916172845,55.78947368421052,2.279276153906973,6.943233346666466,13.62549023401185,0.14342621298959843,30.063291139240505,16.77215189873418,1.872131717269649,33,1.6197815062177197,30,0.9196941299964823,32
opening_momentum_both_E20-60_S1.5_T1.5_HR12-12_MOVE0.5,opening_momentum,both,20,60,1.5,1.5,12,12,5,0,0,0,0.5,True,1.8434773625429348,156,1.2606438333501153,53.84615384615385,3.806964036742577,7.545170584124028,14.898132937047173,0.0955008521605588,49.36708860759494,26.582278481012654,1.2658631692759954,55,1.1969331642787606,48,1.319064304694225,53
opening_momentum_long_E8-32_S1.5_T2_HR11-11_MOVE0.75,opening_momentum,long,8,32,1.5,2.0,11,11,5,0,0,0,0.75,True,1.8431991002971506,82,1.5743606201226088,59.756097560975604,1.915992133526967,7.927844303502485,15.456783996668545,0.18849736581303103,25.949367088607595,15.50632911392405,1.59196350259486,29,2.2004625692938666,23,1.1550551573924581,30
trend_breakout_both_E20-60_S1.5_T1.5_HR11-14_BO12,trend_breakout,both,20,60,1.5,1.5,11,14,5,0,0,12,0.0,True,1.8431335884478286,126,1.4788804420600477,54.761904761904766,3.8356343767000256,11.09530762762696,21.35660504394873,0.16949686542816453,39.87341772151899,21.835443037974684,2.0282440999536133,44,1.5793214824390374,36,0.9850557711554198,46
