release_utc,event,direction,confidence_pct,action_tier,actual_direction,direction_correct,balance_before_usd,risk_budget_usd,nominal_risk_usd,status,lot,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_spread_usd,entry_gap_from_request_ms,required_margin_usd,captured_move_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,exit_reason,pnl_usd,minimum_equity_usd,maximum_equity_usd,realized_r,balance_after_usd,data_source
2025-09-11T12:30:00+00:00,CPI,POSITIVE,68.0,TRADE,POSITIVE,True,10000.0,100.0,100.0,EXECUTED,0.05,2025-09-11T12:29:50.174000+00:00,2025-09-11T12:30:29.064000+00:00,3624.932,3629.265,1.377,174,9.06,4.333,4.333,13.467,TAKE_PROFIT,21.67,9932.67,10021.67,0.2167,10021.67,archive ticks + M1 continuation
2025-09-17T18:00:00+00:00,FOMC,POSITIVE,58.06,LOW_CONFIDENCE,NEGATIVE,False,10021.67,100.22,100.0,EXECUTED,0.05,2025-09-17T17:59:50+00:00,2025-09-17T18:00:01.886000+00:00,3687.725,3692.27,0.912,0,9.22,4.545,4.545,1.767,TAKE_PROFIT,22.73,10012.84,10044.4,0.2273,10044.4,archive ticks + M1 continuation
2025-10-24T12:30:00+00:00,CPI,POSITIVE,68.0,TRADE,POSITIVE,True,10044.4,100.44,100.0,EXECUTED,0.05,2025-10-24T12:29:50.196000+00:00,2025-10-24T12:30:01.254000+00:00,4062.545,4070.548,0.69,196,10.16,8.003,8.003,2.27,TAKE_PROFIT,40.01,10033.05,10084.41,0.4001,10084.41,archive ticks + M1 continuation
2025-10-29T18:00:00+00:00,FOMC,NEGATIVE,65.0,TRADE,NEGATIVE,True,10084.41,100.84,100.0,EXECUTED,0.05,2025-10-29T17:59:50.122000+00:00,2025-10-29T18:00:19.142000+00:00,3994.255,3990.215,1.01,122,9.99,4.04,4.04,2.2,TAKE_PROFIT,20.2,10073.41,10104.61,0.202,10104.61,archive ticks + M1 continuation
2025-11-20T13:30:00+00:00,NFP,POSITIVE,51.66,LOW_CONFIDENCE,NEGATIVE,False,10104.61,101.05,100.0,EXECUTED,0.05,2025-11-20T13:29:50.123000+00:00,2025-11-20T13:38:24+00:00,4085.745,4089.859,1.01,123,10.21,4.114,4.114,19.527,TAKE_PROFIT,20.57,10006.98,10125.18,0.2057,10125.18,archive ticks + M1 continuation
2025-12-10T19:00:00+00:00,FOMC,POSITIVE,65.0,TRADE,POSITIVE,True,10125.18,101.25,100.0,EXECUTED,0.05,2025-12-10T18:59:50.055000+00:00,2025-12-10T19:00:09.210000+00:00,4195.035,4199.158,0.927,55,10.49,4.123,4.123,5.537,TAKE_PROFIT,20.62,10097.49,10145.8,0.2062,10145.8,archive ticks + M1 continuation
2025-12-16T13:30:00+00:00,NFP,POSITIVE,70.07,LOW_CONFIDENCE,POSITIVE,True,10145.8,101.46,100.0,EXECUTED,0.05,2025-12-16T13:29:50.100000+00:00,2025-12-16T13:30:14.040000+00:00,4302.335,4306.478,0.957,100,10.76,4.143,4.143,1.657,TAKE_PROFIT,20.72,10137.51,10166.52,0.2072,10166.52,archive ticks + M1 continuation
2025-12-18T13:30:00+00:00,CPI,POSITIVE,68.0,TRADE,POSITIVE,True,10166.52,101.67,100.0,EXECUTED,0.05,2025-12-18T13:29:50.081000+00:00,2025-12-18T13:30:01.335000+00:00,4322.475,4329.638,0.69,81,10.81,7.163,7.163,2.02,TAKE_PROFIT,35.81,10156.42,10202.33,0.3581,10202.33,archive ticks + M1 continuation
2026-01-09T13:30:00+00:00,NFP,NEGATIVE,76.13,LOW_CONFIDENCE,NEGATIVE,True,10202.33,102.02,100.0,EXECUTED,0.05,2026-01-09T13:29:50.080000+00:00,2026-01-09T13:30:01.259000+00:00,4472.013,4467.195,0.0,80,11.18,4.818,4.818,1.277,TAKE_PROFIT,24.09,10195.94,10226.42,0.2409,10226.42,MT5 ticks
2026-01-13T13:30:00+00:00,CPI,POSITIVE,68.0,TRADE,POSITIVE,True,10226.42,102.26,100.0,EXECUTED,0.05,2026-01-13T13:29:50.099000+00:00,2026-01-13T13:30:01.676000+00:00,4601.878,4606.007,0.0,99,11.5,4.129,4.129,0.709,TAKE_PROFIT,20.64,10222.88,10247.07,0.2064,10247.06,MT5 ticks
