release_utc,event,v5_prediction,v5_bias,v5_confidence_pct,v5_strategy,actual,release_move_usd,v5_failed_gates
2026-05-08T12:30:00+00:00,NFP,NO CALL,NEGATIVE,58.4,nfp_shadow_bias_only,NEGATIVE,-2.236,['nfp_pre_release_edge']
2026-05-12T12:30:00+00:00,CPI,POSITIVE,POSITIVE,68.0,cpi_positive_regime,NEGATIVE,-4.0535,[]
2026-06-05T12:30:00+00:00,NFP,NO CALL,POSITIVE,54.06,nfp_shadow_bias_only,NEGATIVE,-14.755,['nfp_pre_release_edge']
2026-06-10T12:30:00+00:00,CPI,POSITIVE,POSITIVE,68.0,cpi_positive_regime,POSITIVE,27.8235,[]
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,NEGATIVE,65.0,fomc_history_model_agreement,NEGATIVE,-31.935,[]
2026-07-02T12:30:00+00:00,NFP,NO CALL,NEGATIVE,54.91,nfp_shadow_bias_only,POSITIVE,52.13,['nfp_pre_release_edge']
2026-07-14T12:30:00+00:00,CPI,POSITIVE,POSITIVE,68.0,cpi_positive_regime,POSITIVE,60.54,[]
2026-07-29T18:00:00+00:00,FOMC,NO CALL,POSITIVE,54.29,fomc_history_model_agreement,POSITIVE,32.425,['history_model_agreement']
2026-08-07T12:30:00+00:00,NFP,NO CALL,POSITIVE,56.46,nfp_shadow_bias_only,POSITIVE,43.17,['nfp_pre_release_edge']
