symbol,event,release_utc,leg,side,order_type,entry_time,exit_time,intended_entry,fill_price,stop_loss,take_profit,exit_price,result_r,outcome,spread_at_fill_pips,same_bar_ambiguous
EURUSD,NFP,2024-08-02T12:30:00+00:00,breakout,buy,buy_stop,2024-08-02T12:30:00+00:00,2024-08-02T15:30:00+00:00,1.0840599999999998,1.0840599999999998,1.07506,1.1110599999999997,1.09219,0.9033333333333651,TIME,0.2999999999997449,False
XAUUSD,PPI,2024-08-13T12:30:00+00:00,breakout,buy,buy_stop,2024-08-13T12:23:00+00:00,2024-08-13T15:30:00+00:00,2467.536,2467.536,2458.536,2512.536,2466.965,-0.06344444444443474,TIME,3.8999999999987267,False
EURUSD,PPI,2024-08-13T12:30:00+00:00,breakout,buy,buy_stop,2024-08-13T12:30:00+00:00,2024-08-13T15:30:00+00:00,1.09343,1.09343,1.08443,1.1204299999999998,1.09523,0.20000000000000492,TIME,0.1999999999990898,False
EURUSD,CPI,2024-08-14T12:30:00+00:00,breakout,buy,buy_stop,2024-08-14T12:24:00+00:00,2024-08-14T15:30:00+00:00,1.10273,1.10273,1.09373,1.12973,1.10225,-0.05333333333333794,TIME,0.20000000000131024,False
EURUSD,NFP,2024-09-06T12:30:00+00:00,breakout,sell,sell_stop,2024-09-06T12:30:00+00:00,2024-09-06T15:30:00+00:00,1.10993,1.10993,1.11893,1.0829300000000002,1.11015,-0.024444444444432164,TIME,0.6000000000017103,False
XAUUSD,PPI,2024-09-12T12:30:00+00:00,breakout,buy,buy_stop,2024-09-12T12:05:00+00:00,2024-09-12T15:30:00+00:00,2521.2300000000005,2521.2300000000005,2512.2300000000005,2566.2300000000005,2553.155,3.547222222222192,TIME,3.700000000003456,False
EURUSD,PPI,2024-09-12T12:30:00+00:00,breakout,buy,buy_stop,2024-09-12T12:16:00+00:00,2024-09-12T15:30:00+00:00,1.10256,1.10256,1.09356,1.12956,1.10346,0.1000000000000148,TIME,0.40000000000040004,False
EURUSD,NFP,2024-10-04T12:30:00+00:00,breakout,sell,sell_stop,2024-10-04T12:03:00+00:00,2024-10-04T15:30:00+00:00,1.1029,1.1029,1.1118999999999999,1.0759,1.09607,0.7588888888888855,TIME,0.20000000000131024,False
EURUSD,CPI,2024-10-10T12:30:00+00:00,breakout,buy,buy_stop,2024-10-10T12:30:00+00:00,2024-10-10T15:30:00+00:00,1.09381,1.09381,1.08481,1.1208099999999999,1.09263,-0.13111111111110804,TIME,0.40000000000040004,False
XAUUSD,PPI,2024-10-11T12:30:00+00:00,breakout,buy,buy_stop,2024-10-11T12:01:00+00:00,2024-10-11T15:30:00+00:00,2645.572,2645.572,2636.572,2690.572,2658.175,1.4003333333333405,TIME,3.8000000000010914,False
EURUSD,PPI,2024-10-11T12:30:00+00:00,breakout,buy,buy_stop,2024-10-11T12:05:00+00:00,2024-10-11T15:30:00+00:00,1.0936299999999999,1.0936299999999999,1.08463,1.1206299999999998,1.09507,0.16000000000001383,TIME,0.1999999999990898,False
