release_utc,month,year,event,predicted_gold_impact,historical_probability_positive_pct,actual_gold_impact,actual_move_usd,actual_move_pips,correct
2021-08-06T12:30:00+00:00,2021-08,2021,NFP,NEGATIVE,46.22,NEGATIVE,-9.393,-939.3,True
2021-08-11T12:30:00+00:00,2021-08,2021,CPI,POSITIVE,55.56,POSITIVE,2.543,254.3,True
2021-08-12T12:30:00+00:00,2021-08,2021,PPI,POSITIVE,58.06,NEGATIVE,-1.345,-134.5,False
2021-09-03T12:30:00+00:00,2021-09,2021,NFP,NEGATIVE,45.83,POSITIVE,8.255,825.5,False
2021-09-10T12:30:00+00:00,2021-09,2021,PPI,POSITIVE,57.6,NEGATIVE,-0.553,-55.3,False
2021-09-14T12:30:00+00:00,2021-09,2021,CPI,POSITIVE,55.93,POSITIVE,3.727,372.7,True
2021-09-22T18:00:00+00:00,2021-09,2021,FOMC,NEGATIVE,41.46,POSITIVE,4.872,487.2,False
2021-10-08T12:30:00+00:00,2021-10,2021,NFP,NEGATIVE,46.28,POSITIVE,5.91,591.0,False
2021-10-13T12:30:00+00:00,2021-10,2021,CPI,POSITIVE,56.3,POSITIVE,0.487,48.7,True
2021-10-14T12:30:00+00:00,2021-10,2021,PPI,POSITIVE,57.14,POSITIVE,2.068,206.8,True
2021-10-28T12:30:00+00:00,2021-10,2021,GDP,NEGATIVE,41.86,NEGATIVE,-0.752,-75.2,True
2021-11-03T18:00:00+00:00,2021-11,2021,FOMC,NEGATIVE,42.17,POSITIVE,2.862,286.2,False
2021-11-05T12:30:00+00:00,2021-11,2021,NFP,NEGATIVE,46.72,NEGATIVE,-3.067,-306.7,True
2021-11-09T13:30:00+00:00,2021-11,2021,PPI,POSITIVE,57.48,POSITIVE,0.743,74.3,True
2021-11-10T13:30:00+00:00,2021-11,2021,CPI,POSITIVE,56.67,NEGATIVE,-2.275,-227.5,False
2021-12-03T13:30:00+00:00,2021-12,2021,NFP,NEGATIVE,46.34,POSITIVE,7.25,725.0,False
2021-12-10T13:30:00+00:00,2021-12,2021,CPI,POSITIVE,56.2,POSITIVE,0.507,50.7,True
2021-12-14T13:30:00+00:00,2021-12,2021,PPI,POSITIVE,57.81,POSITIVE,1.067,106.7,True
2021-12-15T19:00:00+00:00,2021-12,2021,FOMC,NEGATIVE,42.86,NEGATIVE,-5.345,-534.5,True
2022-01-07T13:30:00+00:00,2022-01,2022,NFP,NEGATIVE,46.77,POSITIVE,4.41,441.0,False
2022-01-12T13:30:00+00:00,2022-01,2022,CPI,POSITIVE,56.56,NEGATIVE,-0.601,-60.1,False
2022-01-13T13:30:00+00:00,2022-01,2022,PPI,POSITIVE,58.14,POSITIVE,0.94,94.0,True
2022-01-26T19:00:00+00:00,2022-01,2022,FOMC,NEGATIVE,42.35,POSITIVE,1.24,124.0,False
2022-01-27T13:30:00+00:00,2022-01,2022,GDP,NEGATIVE,40.91,NEGATIVE,-1.215,-121.5,True
2022-02-04T13:30:00+00:00,2022-02,2022,NFP,NEGATIVE,47.2,NEGATIVE,-5.897,-589.7,True
2022-02-10T13:30:00+00:00,2022-02,2022,CPI,POSITIVE,56.1,NEGATIVE,-4.907,-490.7,False
2022-02-15T13:30:00+00:00,2022-02,2022,PPI,POSITIVE,58.46,NEGATIVE,-0.675,-67.5,False
2022-03-04T13:30:00+00:00,2022-03,2022,NFP,NEGATIVE,46.83,POSITIVE,0.327,32.7,False
2022-03-10T13:30:00+00:00,2022-03,2022,CPI,POSITIVE,55.65,POSITIVE,1.218,121.8,True
2022-03-15T12:30:00+00:00,2022-03,2022,PPI,POSITIVE,58.02,NEGATIVE,-3.192,-319.2,False
2022-03-16T18:00:00+00:00,2022-03,2022,FOMC,NEGATIVE,43.02,NEGATIVE,-0.945,-94.5,True
2022-04-01T12:30:00+00:00,2022-04,2022,NFP,NEGATIVE,47.24,NEGATIVE,-1.095,-109.5,True
2022-04-12T12:30:00+00:00,2022-04,2022,CPI,POSITIVE,56.0,POSITIVE,5.168,516.8,True
2022-04-13T12:30:00+00:00,2022-04,2022,PPI,POSITIVE,57.58,POSITIVE,0.882,88.2,True
2022-04-28T12:30:00+00:00,2022-04,2022,GDP,NEGATIVE,40.0,POSITIVE,4.7,470.0,False
2022-05-04T18:00:00+00:00,2022-05,2022,FOMC,NEGATIVE,42.53,POSITIVE,5.385,538.5,False
2022-05-06T12:30:00+00:00,2022-05,2022,NFP,NEGATIVE,46.88,POSITIVE,3.575,357.5,False
2022-05-11T12:30:00+00:00,2022-05,2022,CPI,POSITIVE,56.35,NEGATIVE,-4.739,-473.9,False
2022-05-12T12:30:00+00:00,2022-05,2022,PPI,POSITIVE,57.89,POSITIVE,1.396,139.6,True
2022-06-03T12:30:00+00:00,2022-06,2022,NFP,NEGATIVE,47.29,POSITIVE,0.579,57.9,False
2022-06-10T12:30:00+00:00,2022-06,2022,CPI,POSITIVE,55.91,NEGATIVE,-2.996,-299.6,False
2022-06-14T12:30:00+00:00,2022-06,2022,PPI,POSITIVE,58.21,POSITIVE,0.352,35.2,True
2022-06-15T18:00:00+00:00,2022-06,2022,FOMC,NEGATIVE,43.18,POSITIVE,1.505,150.5,False
2022-07-08T12:30:00+00:00,2022-07,2022,NFP,NEGATIVE,47.69,NEGATIVE,-6.501,-650.1,True
2022-07-13T12:30:00+00:00,2022-07,2022,CPI,POSITIVE,55.47,NEGATIVE,-4.101,-410.1,False
2022-07-14T12:30:00+00:00,2022-07,2022,PPI,POSITIVE,58.52,NEGATIVE,-1.023,-102.3,False
2022-07-27T18:00:00+00:00,2022-07,2022,FOMC,NEGATIVE,43.82,NEGATIVE,-0.749,-74.9,True
2022-07-28T12:30:00+00:00,2022-07,2022,GDP,NEGATIVE,41.3,POSITIVE,5.631,563.1,False
2022-08-05T12:30:00+00:00,2022-08,2022,NFP,NEGATIVE,47.33,NEGATIVE,-9.824,-982.4,True
2022-08-10T12:30:00+00:00,2022-08,2022,CPI,POSITIVE,55.04,POSITIVE,14.67,1467.0,True
2022-08-11T12:30:00+00:00,2022-08,2022,PPI,POSITIVE,58.09,NEGATIVE,-0.075,-7.5,False
2022-09-02T12:30:00+00:00,2022-09,2022,NFP,NEGATIVE,46.97,POSITIVE,5.637,563.7,False
2022-09-13T12:30:00+00:00,2022-09,2022,CPI,POSITIVE,55.38,NEGATIVE,-13.042,-1304.2,False
2022-09-14T12:30:00+00:00,2022-09,2022,PPI,POSITIVE,57.66,NEGATIVE,-2.368,-236.8,False
2022-09-21T18:00:00+00:00,2022-09,2022,FOMC,NEGATIVE,43.33,NEGATIVE,-7.76,-776.0,True
2022-10-07T12:30:00+00:00,2022-10,2022,NFP,NEGATIVE,47.37,NEGATIVE,-4.401,-440.1,True
2022-10-12T12:30:00+00:00,2022-10,2022,PPI,POSITIVE,57.25,NEGATIVE,-4.301,-430.1,False
2022-10-13T12:30:00+00:00,2022-10,2022,CPI,POSITIVE,54.96,NEGATIVE,-14.257,-1425.7,False
2022-10-27T12:30:00+00:00,2022-10,2022,GDP,NEGATIVE,42.55,NEGATIVE,-1.683,-168.3,True
2022-11-02T18:00:00+00:00,2022-11,2022,FOMC,NEGATIVE,42.86,POSITIVE,6.51,651.0,False
2022-11-04T12:30:00+00:00,2022-11,2022,NFP,NEGATIVE,47.01,NEGATIVE,-2.521,-252.1,True
2022-11-10T13:30:00+00:00,2022-11,2022,CPI,POSITIVE,54.55,POSITIVE,21.7,2170.0,True
2022-11-15T13:30:00+00:00,2022-11,2022,PPI,POSITIVE,56.83,POSITIVE,7.12,712.0,True
2022-12-02T13:30:00+00:00,2022-12,2022,NFP,NEGATIVE,46.67,NEGATIVE,-12.739,-1273.9,True
2022-12-09T13:30:00+00:00,2022-12,2022,PPI,POSITIVE,57.14,NEGATIVE,-8.55,-855.0,False
2022-12-13T13:30:00+00:00,2022-12,2022,CPI,POSITIVE,54.89,POSITIVE,14.944,1494.4,True
2022-12-14T19:00:00+00:00,2022-12,2022,FOMC,NEGATIVE,43.48,NEGATIVE,-4.97,-497.0,True
2023-01-06T13:30:00+00:00,2023-01,2023,NFP,NEGATIVE,46.32,POSITIVE,1.95,195.0,False
2023-01-12T13:30:00+00:00,2023-01,2023,CPI,POSITIVE,55.22,NEGATIVE,-2.081,-208.1,False
2023-01-18T13:30:00+00:00,2023-01,2023,PPI,POSITIVE,56.74,POSITIVE,5.413,541.3,True
2023-01-26T13:30:00+00:00,2023-01,2023,GDP,NEGATIVE,41.67,NEGATIVE,-4.069,-406.9,True
2023-02-01T19:00:00+00:00,2023-02,2023,FOMC,NEGATIVE,43.01,NEGATIVE,-3.295,-329.5,True
2023-02-03T13:30:00+00:00,2023-02,2023,NFP,NEGATIVE,46.72,NEGATIVE,-10.234,-1023.4,True
2023-02-14T13:30:00+00:00,2023-02,2023,CPI,POSITIVE,54.81,NEGATIVE,-9.14,-914.0,False
2023-02-16T13:30:00+00:00,2023-02,2023,PPI,POSITIVE,57.04,NEGATIVE,-2.51,-251.0,False
2023-03-10T13:30:00+00:00,2023-03,2023,NFP,NEGATIVE,46.38,POSITIVE,5.367,536.7,False
2023-03-14T12:30:00+00:00,2023-03,2023,CPI,POSITIVE,54.41,POSITIVE,3.284,328.4,True
2023-03-15T12:30:00+00:00,2023-03,2023,PPI,POSITIVE,56.64,POSITIVE,4.255,425.5,True
2023-03-22T18:00:00+00:00,2023-03,2023,FOMC,NEGATIVE,42.55,POSITIVE,9.006,900.6,False
2023-04-12T12:30:00+00:00,2023-04,2023,CPI,POSITIVE,54.74,POSITIVE,10.97,1097.0,True
2023-04-13T12:30:00+00:00,2023-04,2023,PPI,POSITIVE,56.94,POSITIVE,0.496,49.6,True
2023-04-27T12:30:00+00:00,2023-04,2023,GDP,NEGATIVE,40.82,NEGATIVE,-4.37,-437.0,True
2023-05-03T18:00:00+00:00,2023-05,2023,FOMC,NEGATIVE,43.16,POSITIVE,5.438,543.8,False
2023-05-05T12:30:00+00:00,2023-05,2023,NFP,NEGATIVE,46.76,NEGATIVE,-9.323,-932.3,True
2023-05-10T12:30:00+00:00,2023-05,2023,CPI,POSITIVE,55.07,POSITIVE,8.14,814.0,True
2023-05-11T12:30:00+00:00,2023-05,2023,PPI,POSITIVE,57.24,POSITIVE,4.4,440.0,True
2023-06-02T12:30:00+00:00,2023-06,2023,NFP,NEGATIVE,46.43,NEGATIVE,-3.131,-313.1,True
2023-06-13T12:30:00+00:00,2023-06,2023,CPI,POSITIVE,55.4,POSITIVE,7.236,723.6,True
2023-06-14T12:30:00+00:00,2023-06,2023,PPI,POSITIVE,57.53,POSITIVE,1.684,168.4,True
2023-06-14T18:00:00+00:00,2023-06,2023,FOMC,NEGATIVE,43.75,NEGATIVE,-6.76,-676.0,True
2023-07-07T12:30:00+00:00,2023-07,2023,NFP,NEGATIVE,46.1,NEGATIVE,-0.122,-12.2,True
2023-07-12T12:30:00+00:00,2023-07,2023,CPI,POSITIVE,55.71,POSITIVE,9.273,927.3,True
2023-07-13T12:30:00+00:00,2023-07,2023,PPI,POSITIVE,57.82,POSITIVE,2.122,212.2,True
2023-07-26T18:00:00+00:00,2023-07,2023,FOMC,NEGATIVE,43.3,POSITIVE,2.891,289.1,False
2023-07-27T12:30:00+00:00,2023-07,2023,GDP,NEGATIVE,40.0,NEGATIVE,-2.36,-236.0,True
2023-08-04T12:30:00+00:00,2023-08,2023,NFP,NEGATIVE,45.77,POSITIVE,3.195,319.5,False
2023-08-10T12:30:00+00:00,2023-08,2023,CPI,POSITIVE,56.03,POSITIVE,4.382,438.2,True
2023-08-11T12:30:00+00:00,2023-08,2023,PPI,POSITIVE,58.11,NEGATIVE,-3.945,-394.5,False
2023-09-01T12:30:00+00:00,2023-09,2023,NFP,NEGATIVE,46.15,POSITIVE,5.59,559.0,False
2023-09-13T12:30:00+00:00,2023-09,2023,CPI,POSITIVE,56.34,NEGATIVE,-3.305,-330.5,False
2023-09-14T12:30:00+00:00,2023-09,2023,PPI,POSITIVE,57.72,NEGATIVE,-5.335,-533.5,False
2023-09-20T18:00:00+00:00,2023-09,2023,FOMC,NEGATIVE,43.88,NEGATIVE,-3.591,-359.1,True
2023-10-06T12:30:00+00:00,2023-10,2023,NFP,NEGATIVE,46.53,NEGATIVE,-4.647,-464.7,True
2023-10-11T12:30:00+00:00,2023-10,2023,PPI,POSITIVE,57.33,NEGATIVE,-1.46,-146.0,False
2023-10-12T12:30:00+00:00,2023-10,2023,CPI,POSITIVE,55.94,NEGATIVE,-2.055,-205.5,False
2023-10-26T12:30:00+00:00,2023-10,2023,GDP,NEGATIVE,39.22,POSITIVE,1.035,103.5,False
2023-11-01T18:00:00+00:00,2023-11,2023,FOMC,NEGATIVE,43.43,POSITIVE,2.887,288.7,False
2023-11-03T12:30:00+00:00,2023-11,2023,NFP,NEGATIVE,46.21,POSITIVE,7.216,721.6,False
2023-11-14T13:30:00+00:00,2023-11,2023,CPI,POSITIVE,55.56,POSITIVE,10.47,1047.0,True
2023-11-15T13:30:00+00:00,2023-11,2023,PPI,POSITIVE,56.95,POSITIVE,1.68,168.0,True
2023-12-08T13:30:00+00:00,2023-12,2023,NFP,NEGATIVE,46.58,NEGATIVE,-9.77,-977.0,True
2023-12-12T13:30:00+00:00,2023-12,2023,CPI,POSITIVE,55.86,POSITIVE,4.625,462.5,True
