release_utc,event,v7_direction,v9_direction,action_tier,confidence_pct,actual_direction,actual_release_move_usd,balance_units,balance_before_usd,status,lot,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_spread_usd,entry_gap_from_request_ms,required_margin_usd,captured_move_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,exit_reason,pnl_usd,minimum_equity_usd,maximum_equity_usd,balance_after_usd
2026-06-10T12:30:00+00:00,CPI,POSITIVE,POSITIVE,TRADE,68.0,POSITIVE,27.8235,1,100.0,EXECUTED,0.06,2026-06-10T12:29:55.145000+00:00,2026-06-10T12:45:00.099000+00:00,4137.743,4160.673,0.17,145,12.41,22.93,36.037,0.17,TIME_EXIT_T_PLUS_900s,137.58,98.98,316.22,237.58
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,NEGATIVE,TRADE,65.0,NEGATIVE,-31.935,2,237.58,EXECUTED,0.12,2026-06-17T17:59:55.562000+00:00,2026-06-17T18:15:00.032000+00:00,4379.234,4284.7,0.06,562,26.28,94.534,102.162,1.054,TIME_EXIT_T_PLUS_900s,1134.41,224.93,1463.52,1371.99
2026-07-02T12:30:00+00:00,NFP,POSITIVE,NEGATIVE,LOW_CONFIDENCE,54.91,POSITIVE,52.13,13,1371.99,EXECUTED,0.78,2026-07-02T12:29:55.002000+00:00,2026-07-02T12:30:01.318000+00:00,4064.311,4070.39,0.0,2,158.51,-6.079,0.078,6.079,STOP_LOSS,-474.16,897.83,1378.07,897.83
2026-07-14T12:30:00+00:00,CPI,POSITIVE,POSITIVE,TRADE,68.0,POSITIVE,60.54,8,897.83,EXECUTED,0.48,2026-07-14T12:29:55.002000+00:00,2026-07-14T12:45:00.064000+00:00,4029.454,4092.814,0.0,2,96.71,63.36,73.901,0.087,TIME_EXIT_T_PLUS_900s,3041.28,893.65,4445.08,3939.11
2026-07-29T18:00:00+00:00,FOMC,NEGATIVE,POSITIVE,LOW_CONFIDENCE,54.29,POSITIVE,32.425,39,3939.11,EXECUTED,2.34,2026-07-29T17:59:55.575000+00:00,2026-07-29T18:15:00.017000+00:00,4044.027,4081.047,0.04,575,473.15,37.02,42.205,0.962,TIME_EXIT_T_PLUS_900s,8662.68,3714.0,13815.08,12601.79
2026-08-07T12:30:00+00:00,NFP,NEGATIVE,POSITIVE,LOW_CONFIDENCE,56.46,POSITIVE,46.95,126,12601.79,EXECUTED,7.56,2026-08-07T12:29:55.046000+00:00,2026-08-07T12:45:00.121000+00:00,4307.409,4367.176,0.17,46,1628.2,59.767,63.607,0.476,TIME_EXIT_T_PLUS_900s,45183.85,12241.93,60688.68,57785.64
2026-08-12T12:30:00+00:00,CPI,POSITIVE,POSITIVE,TRADE,68.0,NEGATIVE,-33.192,577,57785.64,EXECUTED,34.62,2026-08-12T12:29:55+00:00,2026-08-12T12:30:05.988000+00:00,4423.644,4419.011,0.17,0,7657.33,-4.633,9.266,4.633,STOP_LOSS,-16039.45,41746.19,89864.53,41746.19
2026-09-04T12:30:00+00:00,NFP,NEGATIVE,NEGATIVE,LOW_CONFIDENCE,54.99,NEGATIVE,-69.73,417,41746.19,EXECUTED,25.02,2026-09-04T12:29:55.063000+00:00,2026-09-04T12:45:00.035000+00:00,4475.682,4394.043,0.09,63,5599.08,81.639,96.41,0.365,TIME_EXIT_T_PLUS_900s,204260.78,40832.96,282964.01,246006.97
