window,release_utc,actual,move_usd,actual_statement_gold_label,history,v1_model,direct_et,direct_lr,shock_et,shock_lr,v1_history_agreement,direct_et_history_agreement,direct_lr_history_agreement,direct_lr_history_conf55,direct_lr_history_conf60,direct_et_shock_et_agreement,direct_lr_shock_lr_agreement,triple_et_consensus,triple_lr_consensus,majority_et,majority_lr,direct_et_probability,direct_lr_probability,shock_et_probability,shock_lr_probability,v1_probability
2016-07-30/2019-07-30,2016-09-21T18:00:00+00:00,NEGATIVE,-1.02,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,,POSITIVE,,,,POSITIVE,,POSITIVE,,POSITIVE,POSITIVE,0.612876,0.085938,0.729934,0.949652,0.421841
2016-07-30/2019-07-30,2016-11-02T18:00:00+00:00,POSITIVE,0.7545,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,,,,,,,,,,POSITIVE,POSITIVE,0.205843,0.123303,0.596349,0.848909,0.361352
2016-07-30/2019-07-30,2016-12-14T19:00:00+00:00,NEGATIVE,-6.715,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,,,,,,NEGATIVE,,,,NEGATIVE,POSITIVE,0.389312,0.294242,0.47593,0.575362,0.451151
2016-07-30/2019-07-30,2017-02-01T19:00:00+00:00,POSITIVE,2.5185,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,,,POSITIVE,POSITIVE,POSITIVE,,POSITIVE,,POSITIVE,POSITIVE,POSITIVE,0.423376,0.988613,0.590268,0.997433,0.415549
2016-07-30/2019-07-30,2017-03-15T18:00:00+00:00,POSITIVE,9.413,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,,,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,POSITIVE,NEGATIVE,POSITIVE,0.422432,0.960208,0.463281,0.995134,0.439218
2016-07-30/2019-07-30,2017-05-03T18:00:00+00:00,POSITIVE,0.0765,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.416928,0.975278,0.61021,0.998632,0.478269
2016-07-30/2019-07-30,2017-06-14T18:00:00+00:00,NEGATIVE,-0.566,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.403709,0.99694,0.527907,0.993131,0.419211
2016-07-30/2019-07-30,2017-07-26T18:00:00+00:00,NEGATIVE,-0.529,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,NEGATIVE,POSITIVE,NEGATIVE,,NEGATIVE,POSITIVE,0.252943,0.99991,0.456188,0.99952,0.42211
2016-07-30/2019-07-30,2017-09-20T18:00:00+00:00,NEGATIVE,-2.12,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,,,,,POSITIVE,POSITIVE,,,POSITIVE,POSITIVE,0.644489,0.9999,0.56506,0.999889,0.497427
2016-07-30/2019-07-30,2017-11-01T18:00:00+00:00,POSITIVE,1.627,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,POSITIVE,NEGATIVE,POSITIVE,0.269789,0.999958,0.393685,0.999898,0.548394
2016-07-30/2019-07-30,2017-12-13T19:00:00+00:00,POSITIVE,2.661,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,,,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,POSITIVE,NEGATIVE,POSITIVE,0.433976,0.99965,0.430037,0.999883,0.478841
2016-07-30/2019-07-30,2018-01-31T19:00:00+00:00,POSITIVE,1.415,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,,,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,POSITIVE,NEGATIVE,POSITIVE,0.497488,0.999981,0.42463,0.999784,0.476829
2016-07-30/2019-07-30,2018-03-21T18:00:00+00:00,POSITIVE,1.9875,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.572353,0.998574,0.440337,0.999768,0.415291
2016-07-30/2019-07-30,2018-05-02T18:00:00+00:00,POSITIVE,0.028,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,,NEGATIVE,,,,NEGATIVE,POSITIVE,NEGATIVE,,NEGATIVE,POSITIVE,0.319685,0.999978,0.353774,0.999984,0.540232
2016-07-30/2019-07-30,2018-06-13T18:00:00+00:00,NEGATIVE,-1.76,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,,NEGATIVE,,,,NEGATIVE,POSITIVE,NEGATIVE,,NEGATIVE,POSITIVE,0.465577,0.999993,0.33408,0.999977,0.520345
2016-07-30/2019-07-30,2018-08-01T18:00:00+00:00,NEGATIVE,-0.34,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,NEGATIVE,POSITIVE,NEGATIVE,,NEGATIVE,POSITIVE,0.446051,0.999998,0.440072,1.0,0.468386
2016-07-30/2019-07-30,2018-09-26T18:00:00+00:00,POSITIVE,1.405,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.623401,1.0,0.438395,1.0,0.559816
2016-07-30/2019-07-30,2018-11-08T19:00:00+00:00,POSITIVE,0.4985,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,,NEGATIVE,,,,NEGATIVE,POSITIVE,NEGATIVE,,NEGATIVE,POSITIVE,0.36695,1.0,0.372365,1.0,0.513828
2016-07-30/2019-07-30,2018-12-19T19:00:00+00:00,NEGATIVE,-3.215,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,,NEGATIVE,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.486806,1.0,0.513374,1.0,0.514091
2016-07-30/2019-07-30,2019-01-30T19:00:00+00:00,POSITIVE,4.505,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,,POSITIVE,,POSITIVE,POSITIVE,POSITIVE,0.572597,1.0,0.473688,1.0,0.547076
2016-07-30/2019-07-30,2019-03-20T18:00:00+00:00,POSITIVE,4.06,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,,,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.602244,1.0,0.456994,1.0,0.503323
2016-07-30/2019-07-30,2019-05-01T18:00:00+00:00,NEGATIVE,-0.43,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,NEGATIVE,POSITIVE,NEGATIVE,,NEGATIVE,POSITIVE,0.22012,1.0,0.453902,1.0,0.439882
2016-07-30/2019-07-30,2019-06-19T18:00:00+00:00,POSITIVE,3.44,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,,,,,,POSITIVE,POSITIVE,,,POSITIVE,POSITIVE,0.656092,1.0,0.725765,1.0,0.533059
2019-07-30/2021-07-30,2019-07-31T18:00:00+00:00,NEGATIVE,-7.0135,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,,,,,POSITIVE,,,NEGATIVE,POSITIVE,0.454203,0.653497,0.618074,0.949366,0.445865
2019-07-30/2021-07-30,2019-09-18T18:00:00+00:00,NEGATIVE,-3.585,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,,,,,POSITIVE,POSITIVE,,,POSITIVE,POSITIVE,0.550835,0.695852,0.684672,0.990944,0.349657
2019-07-30/2021-07-30,2019-10-30T18:00:00+00:00,NEGATIVE,-3.8315,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,0.584126,0.866992,0.519717,0.996596,0.537335
2019-07-30/2021-07-30,2019-12-11T19:00:00+00:00,NEGATIVE,-1.489,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,0.660655,0.888637,0.507332,0.984026,0.597805
2019-07-30/2021-07-30,2020-01-29T19:00:00+00:00,NEGATIVE,-0.115,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,0.64931,0.902837,0.645621,0.96618,0.512062
2019-07-30/2021-07-30,2020-04-29T18:00:00+00:00,POSITIVE,1.615,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,,,,,,,,,,POSITIVE,POSITIVE,0.386008,0.232298,0.646507,0.911422,0.425421
2019-07-30/2021-07-30,2020-06-10T18:00:00+00:00,NEGATIVE,-2.257,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,,,,,,,,,,POSITIVE,POSITIVE,0.369551,0.188859,0.644378,0.942158,0.3944
2019-07-30/2021-07-30,2020-07-29T18:00:00+00:00,POSITIVE,1.9685,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,,,,,,,,,,POSITIVE,POSITIVE,0.487223,0.344902,0.638345,0.980434,0.431
2019-07-30/2021-07-30,2020-09-16T18:00:00+00:00,NEGATIVE,-0.095,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,,,,,,,,,POSITIVE,POSITIVE,0.42514,0.120478,0.537533,0.511716,0.510357
2019-07-30/2021-07-30,2020-11-05T19:00:00+00:00,POSITIVE,1.153,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,,,,POSITIVE,,POSITIVE,,POSITIVE,POSITIVE,0.558184,0.35578,0.557942,0.560446,0.552934
2019-07-30/2021-07-30,2020-12-16T19:00:00+00:00,NEGATIVE,-2.38,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,0.472974,0.144793,0.444745,0.433753,0.474553
2019-07-30/2021-07-30,2021-01-27T19:00:00+00:00,POSITIVE,2.779,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,,,,,,NEGATIVE,NEGATIVE,,,NEGATIVE,NEGATIVE,0.491687,0.361066,0.375107,0.182802,0.429305
2019-07-30/2021-07-30,2021-03-17T18:00:00+00:00,POSITIVE,6.083,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,,,,,,,,,NEGATIVE,NEGATIVE,0.585313,0.664547,0.339253,0.270946,0.339639
2019-07-30/2021-07-30,2021-04-28T18:00:00+00:00,NEGATIVE,-2.3835,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,0.433266,0.283068,0.317665,0.00741,0.594197
2019-07-30/2021-07-30,2021-06-16T18:00:00+00:00,NEGATIVE,-11.9515,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,,NEGATIVE,,,,NEGATIVE,,NEGATIVE,NEGATIVE,NEGATIVE,0.520098,0.489239,0.338948,0.045922,0.39321
2019-07-30/2021-07-30,2021-07-28T18:00:00+00:00,NEGATIVE,-3.933,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,,,,,NEGATIVE,,,POSITIVE,NEGATIVE,0.551488,0.283817,0.321038,0.023976,0.60756
2021-07-30/2024-07-30,2021-09-22T18:00:00+00:00,POSITIVE,4.872,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,,,,,,,POSITIVE,POSITIVE,0.537189,0.523823,0.121027,0.006557,0.599397
