release_utc,event,direction,actual_direction,balance_units,balance_before_usd,status,lot,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_spread_usd,entry_gap_from_request_ms,required_margin_usd,captured_move_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,exit_reason,pnl_usd,minimum_equity_usd,maximum_equity_usd,balance_after_usd
2026-06-10T12:30:00+00:00,CPI,POSITIVE,POSITIVE,1,100.0,EXECUTED,0.06,2026-06-10T12:29:55.145000+00:00,2026-06-10T12:45:00.099000+00:00,4137.743,4160.673,0.17,145,12.41,22.93,36.037,0.17,TIME_EXIT_T_PLUS_900s,137.58,98.98,316.22,237.58
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,NEGATIVE,2,237.58,EXECUTED,0.12,2026-06-17T17:59:55.562000+00:00,2026-06-17T18:15:00.032000+00:00,4379.234,4284.7,0.06,562,26.28,94.534,102.162,1.054,TIME_EXIT_T_PLUS_900s,1134.41,224.93,1463.52,1371.99
2026-07-02T12:30:00+00:00,NFP,POSITIVE,POSITIVE,13,1371.99,EXECUTED,0.78,2026-07-02T12:29:55.002000+00:00,2026-07-02T12:45:00.007000+00:00,4064.311,4132.604,0.0,2,158.51,68.293,76.49,0.078,TIME_EXIT_T_PLUS_900s,5326.85,1365.91,7338.21,6698.84
2026-07-14T12:30:00+00:00,CPI,POSITIVE,POSITIVE,66,6698.84,EXECUTED,3.96,2026-07-14T12:29:55.002000+00:00,2026-07-14T12:45:00.064000+00:00,4029.454,4092.814,0.0,2,797.83,63.36,73.901,0.087,TIME_EXIT_T_PLUS_900s,25090.56,6664.39,35963.64,31789.4
2026-07-29T18:00:00+00:00,FOMC,NEGATIVE,POSITIVE,317,31789.4,EXECUTED,19.02,2026-07-29T17:59:55.575000+00:00,2026-07-29T18:00:01.166000+00:00,4043.987,4048.099,0.04,575,3845.83,-4.112,0.872,4.112,STOP_LOSS,-7821.02,23968.38,33447.94,23968.38
2026-08-07T12:30:00+00:00,NFP,NEGATIVE,POSITIVE,239,23968.38,EXECUTED,14.34,2026-08-07T12:29:55.046000+00:00,2026-08-07T12:30:01.263000+00:00,4307.239,4312.21,0.17,46,3088.29,-4.971,0.086,4.971,STOP_LOSS,-7128.41,16839.97,24091.7,16839.97
2026-08-12T12:30:00+00:00,CPI,POSITIVE,NEGATIVE,168,16839.97,EXECUTED,10.08,2026-08-12T12:29:55+00:00,2026-08-12T12:30:05.988000+00:00,4423.644,4419.011,0.17,0,2229.52,-4.633,9.266,4.633,STOP_LOSS,-4670.06,12169.91,26180.1,12169.91
2026-09-04T12:30:00+00:00,NFP,NEGATIVE,NEGATIVE,121,12169.91,EXECUTED,7.26,2026-09-04T12:29:55.063000+00:00,2026-09-04T12:45:00.035000+00:00,4475.682,4394.043,0.09,63,1624.67,81.639,96.41,0.365,TIME_EXIT_T_PLUS_900s,59269.91,11904.92,82163.57,71439.82
