sample_index,reopen_utc,side,entry_time_utc,exit_time_utc,entry_price,stop_loss,take_profit,exit_price,stop_usd,result_r,outcome,spread_usd_at_entry
104,2024-06-10T01:00:00+00:00,SELL,2024-06-07T23:51:00Z,2024-06-10T01:00:00Z,2293.36,2323.36,2203.36,2294.34,30.0,-0.032667,REOPEN,0.25
105,2024-06-17T01:00:00+00:00,BUY,2024-06-14T23:51:00Z,2024-06-17T01:00:00Z,2332.84,2302.84,2422.84,2330.59,30.0,-0.075,REOPEN,0.25
106,2024-06-24T01:00:00+00:00,SELL,2024-06-21T23:51:00Z,2024-06-24T01:00:00Z,2321.62,2351.62,2231.62,2320.99,30.0,0.021,REOPEN,0.25
108,2024-07-08T01:00:00+00:00,BUY,2024-07-05T23:51:00Z,2024-07-08T01:00:00Z,2391.08,2361.08,2481.08,2385.52,30.0,-0.185333,REOPEN,0.25
110,2024-07-22T01:00:00+00:00,SELL,2024-07-19T23:51:00Z,2024-07-22T01:00:00Z,2398.69,2428.69,2308.69,2401.46,30.0,-0.092333,REOPEN,0.25
111,2024-07-29T01:00:00+00:00,BUY,2024-07-26T23:51:00Z,2024-07-29T01:00:00Z,2388.48,2358.48,2478.48,2388.27,30.0,-0.007,REOPEN,0.25
114,2024-08-19T01:00:00+00:00,BUY,2024-08-16T23:51:00Z,2024-08-19T01:00:00Z,2508.26,2478.26,2598.26,2508.82,30.0,0.018667,REOPEN,0.25
115,2024-08-26T01:00:00+00:00,BUY,2024-08-23T23:51:00Z,2024-08-26T01:00:00Z,2511.14,2481.14,2601.14,2511.2,30.0,0.002,REOPEN,0.25
119,2024-09-23T01:00:00+00:00,BUY,2024-09-20T23:51:00Z,2024-09-23T01:00:00Z,2622.3,2592.3,2712.3,2620.42,30.0,-0.062667,REOPEN,0.25
122,2024-10-14T01:00:00+00:00,BUY,2024-10-11T23:51:00Z,2024-10-14T01:00:00Z,2657.37,2627.37,2747.37,2656.07,30.0,-0.043333,REOPEN,0.25
