date,release_utc,event,prediction_30m,display_30m,prediction_15m,display_15m,prediction,model_bias,confidence_pct,impulse_probability_pct,ood_ratio,failed_gates,pure_two_stage_prediction,pure_two_stage_pips,actual_outcome,actual_5m,actual_15m,entry,exit,actual_move_pips,release_range_pips,captured_or_lost_pips,bias_hypothetical_pips,spread_imputed
2026-06-05,2026-06-05T12:30:00+00:00,NFP,NO TRADE,"NO TRADE, SELL 56.4%",NO TRADE,"NO TRADE, SELL 56.1%",NO TRADE,SELL,56.14,65.88,0.415,['direction'],NO TRADE,0.0,SELL,SELL,SELL,4465.335,4450.58,-1475.5,1761.0,0.0,1322.0,
2026-06-10,2026-06-10T12:30:00+00:00,CPI,NO TRADE,"NO TRADE, BUY 58.4%",BUY,BUY 65.5%,BUY,BUY,65.48,38.65,0.78,[],NO TRADE,0.0,BUY,BUY,BUY,4141.835,4168.775,2782.3,3303.9,2694.0,2694.0,
2026-06-11,2026-06-11T12:30:00+00:00,PPI,NO TRADE,"NO TRADE, BUY 52.8%",NO TRADE,"NO TRADE, BUY 55.3%",NO TRADE,BUY,55.34,41.52,0.643,['direction'],NO TRADE,0.0,UNCERTAIN,SELL,BUY,4069.139,4072.09,295.2,855.0,0.0,170.3,
2026-06-17,2026-06-17T18:00:00+00:00,FOMC,NO TRADE,"NO TRADE, SELL 59.1%",NO TRADE,"NO TRADE, BUY 54.5%",NO TRADE,BUY,54.46,53.08,0.914,['direction'],NO TRADE,0.0,SELL,SELL,SELL,4380.46,4348.525,-3193.5,4138.0,0.0,-3326.0,
2026-07-02,2026-07-02T12:30:00+00:00,NFP,NO TRADE,"NO TRADE, SELL 61.8%",NO TRADE,"NO TRADE, SELL 60.0%",NO TRADE,SELL,59.96,66.83,0.653,['direction'],NO TRADE,0.0,BUY,BUY,BUY,4065.43,4117.56,5213.0,5381.2,0.0,-5362.0,
2026-07-14,2026-07-14T12:30:00+00:00,CPI,NO TRADE,"NO TRADE, BUY 60.0%",BUY,BUY 61.0%,BUY,BUY,60.98,51.1,0.517,[],NO TRADE,0.0,BUY,BUY,BUY,4031.025,4090.885,6054.0,6215.0,5986.0,5986.0,bid
2026-07-15,2026-07-15T12:30:00+00:00,PPI,NO TRADE,"NO TRADE, BUY 54.7%",NO TRADE,"NO TRADE, BUY 56.4%",NO TRADE,BUY,56.39,42.58,0.467,['direction'],NO TRADE,0.0,BUY,BUY,BUY,4040.085,4048.835,875.0,1075.0,0.0,807.0,bid
2026-07-29,2026-07-29T18:00:00+00:00,FOMC,NO TRADE,"NO TRADE, SELL 50.4%",NO TRADE,"NO TRADE, SELL 59.4%",NO TRADE,SELL,59.41,45.53,0.874,['direction'],NO TRADE,0.0,BUY,BUY,BUY,4043.8,4076.225,3242.5,4089.0,0.0,-3426.0,
