release_utc,event,actual,release_move_usd,v1_direction,v2_direction,v4_active,v4_shadow,v5_active,v7_direction,v9_direction,action_tier,v9_trade_direction,v9_low_confidence_direction,confidence_pct,prediction,balance_before_usd,risk_budget_usd,nominal_risk_usd,status,lot,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_spread_usd,entry_gap_from_request_ms,required_margin_usd,captured_move_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,exit_reason,pnl_usd,minimum_equity_usd,maximum_equity_usd,realized_r,balance_after_usd,data_source
2025-09-11T12:30:00+00:00,CPI,POSITIVE,7.8665,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,10000.0,100.0,100.0,EXECUTED,0.25,2025-09-11T12:29:55.090000+00:00,2025-09-11T12:30:03.154000+00:00,3625.115,3620.425,1.61,90,45.31,-4.69,0.213,4.69,STOP_LOSS,-117.25,9882.75,10005.33,-1.1725,9882.75,archive ticks + M1 continuation
2025-09-17T18:00:00+00:00,FOMC,NEGATIVE,-4.59,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,58.06,POSITIVE,9882.75,98.83,96.0,EXECUTED,0.24,2025-09-17T17:59:55+00:00,2025-09-17T18:00:57.949000+00:00,3687.818,3683.75,0.912,0,44.25,-4.068,9.102,4.068,STOP_LOSS,-97.62,9785.13,10101.21,-1.0169,9785.13,archive ticks + M1 continuation
2025-10-24T12:30:00+00:00,CPI,POSITIVE,29.2865,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,9785.13,97.85,96.0,EXECUTED,0.24,2025-10-24T12:29:55.247000+00:00,2025-10-24T12:45:00+00:00,4062.165,4083.105,0.82,247,48.75,20.94,30.54,1.89,TIME_EXIT_T_PLUS_900s,502.56,9739.77,10518.09,5.235,10287.69,archive ticks + M1 continuation
2025-10-29T18:00:00+00:00,FOMC,NEGATIVE,-6.4465,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,TRADE,NEGATIVE,NO CALL,65.0,NEGATIVE,10287.69,102.88,100.0,EXECUTED,0.25,2025-10-29T17:59:55.160000+00:00,2025-10-29T18:02:09.863000+00:00,3994.095,3998.145,1.33,160,49.93,-4.05,14.78,4.05,STOP_LOSS,-101.25,10186.44,10657.19,-1.0125,10186.44,archive ticks + M1 continuation
2025-11-20T13:30:00+00:00,NFP,NEGATIVE,-3.955,NEGATIVE,NEGATIVE,NO CALL,POSITIVE,NO CALL,NEGATIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,51.66,POSITIVE,10186.44,101.86,100.0,EXECUTED,0.25,2025-11-20T13:29:55.118000+00:00,2025-11-20T13:30:01.240000+00:00,4086.162,4078.368,1.287,118,51.08,-7.794,1.566,7.794,STOP_LOSS,-194.85,9991.59,10225.59,-1.9485,9991.59,archive ticks + M1 continuation
2025-12-10T19:00:00+00:00,FOMC,POSITIVE,16.72,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,65.0,POSITIVE,9991.59,99.92,96.0,EXECUTED,0.24,2025-12-10T18:59:55.023000+00:00,2025-12-10T19:00:01.215000+00:00,4194.942,4189.498,1.227,23,50.34,-5.444,0.0,5.444,STOP_LOSS,-130.66,9860.93,9964.37,-1.361,9860.93,archive ticks + M1 continuation
2025-12-16T13:30:00+00:00,NFP,POSITIVE,4.415,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,LOW_CONFIDENCE,NO CALL,POSITIVE,70.07,POSITIVE,9860.93,98.61,96.0,EXECUTED,0.24,2025-12-16T13:29:55.154000+00:00,2025-12-16T13:45:00+00:00,4302.255,4304.025,0.977,154,51.63,1.77,10.13,1.577,TIME_EXIT_T_PLUS_900s,42.48,9823.08,10104.05,0.4425,9903.41,archive ticks + M1 continuation
2025-12-18T13:30:00+00:00,CPI,POSITIVE,9.758,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,9903.41,99.03,96.0,EXECUTED,0.24,2025-12-18T13:29:55.022000+00:00,2025-12-18T13:45:00+00:00,4322.515,4336.195,1.407,22,51.87,13.68,15.64,2.06,TIME_EXIT_T_PLUS_900s,328.32,9853.97,10278.77,3.42,10231.73,archive ticks + M1 continuation
2026-01-09T13:30:00+00:00,NFP,NEGATIVE,-2.25,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO CALL,NEGATIVE,NEGATIVE,LOW_CONFIDENCE,NO CALL,NEGATIVE,76.13,NEGATIVE,10231.73,102.32,100.0,EXECUTED,0.25,2026-01-09T13:29:55.003000+00:00,2026-01-09T13:31:24.922000+00:00,4472.536,4476.587,0.0,3,55.91,-4.051,13.55,4.051,STOP_LOSS,-101.28,10130.45,10570.48,-1.0128,10130.45,MT5 ticks
2026-01-13T13:30:00+00:00,CPI,POSITIVE,9.94,POSITIVE,POSITIVE,NO CALL,POSITIVE,POSITIVE,POSITIVE,POSITIVE,TRADE,POSITIVE,NO CALL,68.0,POSITIVE,10130.45,101.3,100.0,EXECUTED,0.25,2026-01-13T13:29:55.114000+00:00,2026-01-13T13:45:00.085000+00:00,4601.617,4617.829,0.0,114,57.52,16.212,18.808,0.448,TIME_EXIT_T_PLUS_900s,405.3,10119.25,10600.65,4.053,10535.75,MT5 ticks
