release_utc,event,direction,actual_direction,actual_move_usd,balance_before_usd,status,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_spread_usd,entry_gap_from_request_ms,required_margin_usd,captured_move_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,exit_reason,pnl_usd,minimum_equity_usd,maximum_equity_usd,balance_after_usd
2026-06-10T12:30:00+00:00,CPI,POSITIVE,POSITIVE,27.8235,100.0,EXECUTED,2026-06-10T12:29:55.145000+00:00,2026-06-10T12:45:00.099000+00:00,4137.743,4160.673,0.17,145,16.55,22.93,36.037,0.17,TIME_EXIT_T_PLUS_900s,183.44,98.64,388.3,283.44
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,NEGATIVE,-31.935,283.44,EXECUTED,2026-06-17T17:59:55.562000+00:00,2026-06-17T18:15:00.032000+00:00,4379.234,4284.7,0.06,562,17.52,94.534,102.162,1.054,TIME_EXIT_T_PLUS_900s,756.27,275.01,1100.74,1039.71
2026-07-02T12:30:00+00:00,NFP,POSITIVE,POSITIVE,52.13,1039.71,EXECUTED,2026-07-02T12:29:55.002000+00:00,2026-07-02T12:45:00.007000+00:00,4064.311,4132.604,0.0,2,16.26,68.293,76.49,0.078,TIME_EXIT_T_PLUS_900s,546.34,1039.09,1651.63,1586.05
2026-07-14T12:30:00+00:00,CPI,POSITIVE,POSITIVE,60.54,1586.05,EXECUTED,2026-07-14T12:29:55.002000+00:00,2026-07-14T12:45:00.064000+00:00,4029.454,4092.814,0.0,2,16.12,63.36,73.901,0.087,TIME_EXIT_T_PLUS_900s,506.88,1585.35,2177.26,2092.93
2026-07-29T18:00:00+00:00,FOMC,NEGATIVE,POSITIVE,32.425,2092.93,EXECUTED,2026-07-29T17:59:55.575000+00:00,2026-07-29T18:00:01.166000+00:00,4043.987,4048.099,0.04,575,16.18,-4.112,0.872,4.112,STOP_LOSS,-32.9,2060.03,2099.91,2060.03
2026-08-07T12:30:00+00:00,NFP,NEGATIVE,POSITIVE,46.95,2060.03,EXECUTED,2026-08-07T12:29:55.046000+00:00,2026-08-07T12:30:01.263000+00:00,4307.239,4312.21,0.17,46,17.23,-4.971,0.086,4.971,STOP_LOSS,-39.77,2020.26,2060.72,2020.26
2026-08-12T12:30:00+00:00,CPI,POSITIVE,NEGATIVE,-33.192,2020.26,EXECUTED,2026-08-12T12:29:55+00:00,2026-08-12T12:30:05.988000+00:00,4423.644,4419.011,0.17,0,17.69,-4.633,9.266,4.633,STOP_LOSS,-37.06,1983.2,2094.39,1983.2
2026-09-04T12:30:00+00:00,NFP,NEGATIVE,NEGATIVE,-69.73,1983.2,EXECUTED,2026-09-04T12:29:55.063000+00:00,2026-09-04T12:45:00.035000+00:00,4475.682,4394.043,0.09,63,17.9,81.639,96.41,0.365,TIME_EXIT_T_PLUS_900s,653.11,1980.28,2754.48,2636.31
