release_utc,event,prediction,confidence_pct,confidence_tier,strategy,actual,correct,release_move_usd
2025-09-11T12:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,POSITIVE,True,7.8665
2025-09-17T18:00:00+00:00,FOMC,NEGATIVE,63.89,STANDARD,full_coverage_inverse_majority_5,NEGATIVE,True,-4.59
2025-10-24T12:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,POSITIVE,True,29.2865
2025-10-29T18:00:00+00:00,FOMC,NEGATIVE,63.89,STANDARD,full_coverage_inverse_majority_5,NEGATIVE,True,-6.4465
2025-11-20T13:30:00+00:00,NFP,NEGATIVE,58.49,STANDARD,full_coverage_inverse_last,NEGATIVE,True,-3.955
2025-12-10T19:00:00+00:00,FOMC,POSITIVE,63.89,STANDARD,full_coverage_inverse_majority_5,POSITIVE,True,16.72
2025-12-16T13:30:00+00:00,NFP,POSITIVE,58.49,STANDARD,full_coverage_inverse_last,POSITIVE,True,4.415
2025-12-18T13:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,POSITIVE,True,9.758
2026-01-09T13:30:00+00:00,NFP,NEGATIVE,58.49,STANDARD,full_coverage_inverse_last,NEGATIVE,True,-2.25
2026-01-13T13:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,POSITIVE,True,9.94
2026-01-28T19:00:00+00:00,FOMC,NEGATIVE,63.89,STANDARD,full_coverage_inverse_majority_5,POSITIVE,False,7.313
2026-02-11T13:30:00+00:00,NFP,POSITIVE,58.49,STANDARD,full_coverage_inverse_last,NEGATIVE,False,-60.0015
2026-02-13T13:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,POSITIVE,True,27.565
2026-03-06T13:30:00+00:00,NFP,POSITIVE,58.49,STANDARD,full_coverage_inverse_last,POSITIVE,True,35.54
2026-03-11T12:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,NEGATIVE,False,-3.4885
2026-03-18T18:00:00+00:00,FOMC,NEGATIVE,63.89,STANDARD,full_coverage_inverse_majority_5,POSITIVE,False,5.7665
2026-04-10T12:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,POSITIVE,True,13.5965
2026-04-29T18:00:00+00:00,FOMC,NEGATIVE,63.89,STANDARD,full_coverage_inverse_majority_5,NEGATIVE,True,-3.5435
2026-05-08T12:30:00+00:00,NFP,NEGATIVE,58.49,STANDARD,full_coverage_inverse_last,NEGATIVE,True,-2.236
2026-05-12T12:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,NEGATIVE,False,-4.0535
2026-06-05T12:30:00+00:00,NFP,POSITIVE,58.49,STANDARD,full_coverage_inverse_last,NEGATIVE,False,-14.755
2026-06-10T12:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,POSITIVE,True,27.8235
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,63.89,STANDARD,full_coverage_inverse_majority_5,NEGATIVE,True,-31.935
2026-07-02T12:30:00+00:00,NFP,POSITIVE,58.49,STANDARD,full_coverage_inverse_last,POSITIVE,True,52.13
2026-07-14T12:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,POSITIVE,True,60.54
2026-07-29T18:00:00+00:00,FOMC,NEGATIVE,63.89,STANDARD,full_coverage_inverse_majority_5,POSITIVE,False,32.425
2026-08-07T12:30:00+00:00,NFP,NEGATIVE,58.49,STANDARD,full_coverage_inverse_last,POSITIVE,False,46.95
2026-08-12T12:30:00+00:00,CPI,POSITIVE,60.38,STANDARD,full_coverage_event_history,NEGATIVE,False,-33.192
2026-09-04T12:30:00+00:00,NFP,NEGATIVE,58.49,STANDARD,full_coverage_inverse_last,NEGATIVE,True,-69.73
