release_utc,event,first_side,legs,dual_fill,pre_release_fill,spread_dollars,entry_slippage_dollars,result_r
2021-08-06T12:30:00+00:00,NFP,sell,1,False,False,0.5240000000001146,2.0529999999998836,0.43349999999999983
2021-08-11T12:30:00+00:00,CPI,buy,1,False,True,0.3970000000001619,0.0284999999998945,0.5809583333333421
2021-08-12T12:30:00+00:00,PPI,sell,1,False,False,0.4680000000000746,0.024999999999863576,-0.06616666666665576
2021-09-10T12:30:00+00:00,PPI,buy,1,False,False,0.3789999999999054,0.740500000000111,-0.4228333333333201
2021-09-14T12:30:00+00:00,CPI,sell,1,False,False,0.38599999999996726,0.29700000000002547,-0.7526666666666605
2021-10-08T12:30:00+00:00,NFP,buy,1,False,False,0.3670000000001892,3.229499999999689,0.43216666666666015
2021-10-13T12:30:00+00:00,CPI,buy,1,False,False,0.4619999999999891,0.10400000000004184,-1.0086666666666702
2021-10-14T12:30:00+00:00,PPI,buy,1,False,False,0.3040000000000873,0.019999999999754436,0.08300000000000789
2021-10-28T12:30:00+00:00,GDP,sell,1,False,False,0.44399999999996,0.04899999999997817,-0.48024999999999335
2021-11-03T18:00:00+00:00,FOMC,sell,1,False,False,0.48200000000019827,0.4359999999999218,-0.7961666666666739
2021-11-05T12:30:00+00:00,NFP,buy,1,False,True,0.4739999999999327,0.08899999999994179,0.5759166666666715
2021-11-09T13:30:00+00:00,PPI,buy,1,False,False,0.40399999999999636,0.009999999999990905,0.057916666666661364
2021-11-10T13:30:00+00:00,CPI,sell,1,False,True,0.2860000000000582,0.10799999999994725,-1.05783333333333
2021-12-03T13:30:00+00:00,NFP,buy,1,False,False,0.45100000000002183,3.433499999999867,0.30466666666668135
2021-12-10T13:30:00+00:00,CPI,buy,1,False,False,0.3320000000001073,1.08199999999988,0.5010833333333456
2021-12-14T13:30:00+00:00,PPI,buy,1,False,False,0.3170000000000073,0.0544999999999618,-1.0045416666666636
2021-12-15T19:00:00+00:00,FOMC,sell,1,False,False,0.5320000000001528,0.5299999999999727,0.5927500000000047
2022-01-07T13:30:00+00:00,NFP,buy,1,False,False,0.4900000000000091,1.7920000000001437,0.04441666666667743
2022-01-12T13:30:00+00:00,CPI,sell,1,False,False,0.37800000000015643,0.28599999999983083,-0.39783333333332394
2022-01-26T19:00:00+00:00,FOMC,buy,1,False,False,0.42399999999997817,0.17399999999997817,-1.0144999999999982
2022-01-27T13:30:00+00:00,GDP,sell,1,False,False,0.2539999999999054,0.03999999999996362,0.5800000000000031
2022-02-04T13:30:00+00:00,NFP,sell,1,False,False,0.44399999999996,4.009999999999991,0.2505000000000071
2022-02-10T13:30:00+00:00,CPI,sell,1,False,False,0.35400000000004184,0.21000000000003638,0.5779166666666621
2022-03-04T13:30:00+00:00,NFP,buy,1,False,True,0.3849999999999909,0.05249999999978172,0.5789583333333516
2022-03-10T13:30:00+00:00,CPI,sell,1,False,False,0.37400000000002365,0.009999999999990905,0.5825000000000008
2022-03-15T12:30:00+00:00,PPI,sell,1,False,False,0.4110000000000582,0.35799999999994725,0.5535000000000044
2022-03-16T18:00:00+00:00,FOMC,sell,1,False,False,1.112999999999829,0.34250000000042746,0.554791666666631
2022-04-12T12:30:00+00:00,CPI,buy,1,False,False,0.4179999999998927,2.109000000000151,0.40799999999999653
2022-04-13T12:30:00+00:00,PPI,buy,1,False,True,0.2800000000002001,0.01599999999962165,0.18583333333333485
2022-04-28T12:30:00+00:00,GDP,buy,1,False,False,0.4539999999999509,0.4890000000002601,0.707999999999989
