event,release_utc,side,entry_time,exit_time,entry,stop_loss,take_profit,exit_price,fixed_offset_pips,spread_pips,effective_offset_pips,slippage_pips,result_r,outcome,reached_1r,post_fill_mfe_r,post_fill_mae_r,snapback
CPI,2021-08-11T12:30:00+00:00,buy,2021-08-11T12:30:00+00:00,2021-08-11T13:30:00+00:00,1737.052,1728.052,1764.052,1745.278,8.0,4.339999999999691,8.0,0.0,0.9140000000000126,TIME,True,1.1374444444444534,0.1637777777777703,False
NFP,2021-09-03T12:30:00+00:00,buy,2021-09-03T12:30:00+00:00,2021-09-03T13:30:00+00:00,1815.132,1806.132,1842.132,1823.918,8.0,4.540000000001783,8.0,0.0,0.9762222222222035,TIME,True,1.5940000000000003,0.0,False
PPI,2021-09-10T12:30:00+00:00,buy,2021-09-10T12:30:00+00:00,2021-09-10T13:30:00+00:00,1798.826,1789.826,1825.826,1794.478,8.0,3.5800000000017462,8.0,0.0,-0.4831111111111063,TIME,False,0.0,0.7998888888888965,False
CPI,2021-10-13T12:30:00+00:00,buy,2021-10-13T12:29:00+00:00,2021-10-13T12:35:00+00:00,1776.232,1767.232,1803.232,1767.232,8.0,3.489999999999327,8.0,0.0,-1.0,SL,False,0.13833333333334646,1.3148888888888957,False
PPI,2021-10-14T12:30:00+00:00,buy,2021-10-14T12:30:00+00:00,2021-10-14T13:30:00+00:00,1798.252,1789.252,1825.252,1798.948,8.0,3.3400000000006003,8.0,0.0,0.0773333333333489,TIME,False,0.14733333333333576,0.26088888888888406,False
GDP,2021-10-28T12:30:00+00:00,sell,2021-10-28T12:29:00+00:00,2021-10-28T13:30:00+00:00,1804.184,1813.184,1777.184,1809.272,8.0,2.180000000000746,8.0,0.0,-0.5653333333333295,TIME,False,0.7591111111110977,0.6997777777777779,True
FOMC,2021-11-03T18:00:00+00:00,buy,2021-11-03T18:00:00+00:00,2021-11-03T19:00:00+00:00,1766.786,1757.786,1793.786,1772.454,8.0,4.28000000000111,8.0,0.0,0.6297777777777659,TIME,False,0.8642222222222244,0.48644444444446183,False
NFP,2021-11-05T12:30:00+00:00,sell,2021-11-05T12:30:00+00:00,2021-11-05T13:27:00+00:00,1790.614,1799.614,1763.614,1799.614,8.0,4.480000000000928,8.0,0.0,-1.0,SL,False,0.5902222222222362,1.151999999999993,True
PPI,2021-11-09T13:30:00+00:00,buy,2021-11-09T13:30:00+00:00,2021-11-09T14:30:00+00:00,1827.482,1818.482,1854.482,1828.378,8.0,3.389999999999418,8.0,0.0,0.0995555555555509,TIME,False,0.3117777777777822,0.34044444444445315,False
CPI,2021-11-10T13:30:00+00:00,buy,2021-11-10T13:33:00+00:00,2021-11-10T14:17:00+00:00,1828.9569999999999,1819.9569999999999,1855.9569999999999,1855.9569999999999,8.0,2.8399999999987813,8.0,0.0,3.0,TP,True,3.0653333333333546,0.0,False
NFP,2021-12-03T13:30:00+00:00,buy,2021-12-03T13:29:00+00:00,2021-12-03T14:30:00+00:00,1769.12,1760.12,1796.12,1771.708,8.0,3.4199999999987085,8.0,0.0,0.287555555555577,TIME,True,1.0455555555555647,0.3138888888888687,False
CPI,2021-12-10T13:30:00+00:00,buy,2021-12-10T13:30:00+00:00,2021-12-10T14:30:00+00:00,1775.1219999999998,1766.1219999999998,1802.1219999999998,1783.538,8.0,3.5399999999981446,8.0,0.0,0.9351111111111297,TIME,True,1.5862222222222297,0.0771111111110814,False
PPI,2021-12-14T13:30:00+00:00,buy,2021-12-14T13:30:00+00:00,2021-12-14T13:54:00+00:00,1780.812,1771.812,1807.812,1771.812,8.0,2.439999999999145,8.0,0.0,-1.0,SL,False,0.04511111111113072,1.0325555555555437,False
NFP,2022-01-07T13:30:00+00:00,sell,2022-01-07T13:29:00+00:00,2022-01-07T14:30:00+00:00,1788.708,1797.708,1761.708,1792.662,8.0,4.039999999999964,8.0,0.0,-0.43933333333332786,TIME,False,0.6525555555555608,0.8760000000000017,True
CPI,2022-01-12T13:30:00+00:00,buy,2022-01-12T13:30:00+00:00,2022-01-12T14:30:00+00:00,1820.892,1811.892,1847.892,1822.408,8.0,3.140000000000782,8.0,0.0,0.16844444444442766,TIME,False,0.4928888888888802,0.3548888888888844,False
FOMC,2022-01-26T19:00:00+00:00,buy,2022-01-26T19:00:00+00:00,2022-01-26T19:42:00+00:00,1831.152,1822.152,1858.152,1822.152,8.0,3.9800000000013824,8.0,0.0,-1.0,SL,False,0.23622222222221959,1.050444444444439,False
