release_utc,history_prediction,model_prediction,model_probability_positive_pct,components_agree,agreement_prediction,production_prediction,confidence_tier,confidence_pct,resolver,pricing_direction,actual_gold_impact,actual_move_usd,history_correct,model_correct,agreement_correct,production_correct
2021-09-22T18:00:00+00:00,POSITIVE,POSITIVE,59.94,True,POSITIVE,POSITIVE,HIGH,65.0,history_model_agreement,,POSITIVE,4.872,True,True,True,True
2021-11-03T18:00:00+00:00,POSITIVE,NEGATIVE,42.16,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,2.862,True,False,,True
2021-12-15T19:00:00+00:00,POSITIVE,NEGATIVE,45.63,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-5.345,False,True,,False
2022-01-26T19:00:00+00:00,POSITIVE,NEGATIVE,49.29,False,,POSITIVE,LOW,52.0,unresolved_conflict_history_fallback,,POSITIVE,1.24,True,False,,True
2022-03-16T18:00:00+00:00,NEGATIVE,NEGATIVE,45.45,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,NEGATIVE,-0.945,True,True,True,True
2022-05-04T18:00:00+00:00,NEGATIVE,NEGATIVE,43.39,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,POSITIVE,5.385,False,False,False,False
2022-06-15T18:00:00+00:00,NEGATIVE,NEGATIVE,39.3,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,POSITIVE,1.505,False,False,False,False
2022-07-27T18:00:00+00:00,NEGATIVE,POSITIVE,54.98,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-0.7485,True,False,,True
2022-09-21T18:00:00+00:00,NEGATIVE,NEGATIVE,42.63,True,NEGATIVE,NEGATIVE,HIGH,65.0,history_model_agreement,,NEGATIVE,-7.76,True,True,True,True
2022-11-02T18:00:00+00:00,POSITIVE,POSITIVE,55.37,True,POSITIVE,POSITIVE,HIGH,65.0,history_model_agreement,,POSITIVE,6.51,True,True,True,True
2022-12-14T19:00:00+00:00,NEGATIVE,POSITIVE,53.4,False,,NEGATIVE,LOW,52.0,unresolved_conflict_history_fallback,,NEGATIVE,-4.97,True,False,,True
2023-02-01T19:00:00+00:00,POSITIVE,POSITIVE,53.77,True,POSITIVE,POSITIVE,HIGH,65.0,history_model_agreement,,NEGATIVE,-3.295,False,False,False,False
2023-03-22T18:00:00+00:00,POSITIVE,POSITIVE,51.21,True,POSITIVE,POSITIVE,HIGH,65.0,history_model_agreement,,POSITIVE,9.0065,True,True,True,True
2023-05-03T18:00:00+00:00,POSITIVE,POSITIVE,54.43,True,POSITIVE,POSITIVE,HIGH,65.0,history_model_agreement,,POSITIVE,5.438,True,True,True,True
