release_utc,event,direction,prediction_correct,balance_before_usd,status,entry_time_utc,exit_time_utc,entry_price,exit_price,initial_stop_price,target_price,final_trailing_stop_price,trailing_activated,exit_reason,entry_spread_usd,required_margin_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,pnl_usd,equity_peak_after_usd,maximum_equity_drawdown_usd,maximum_equity_drawdown_pct,balance_after_usd
2026-06-10T12:30:00+00:00,CPI,POSITIVE,True,100.0,EXECUTED,2026-06-10T12:29:30.075000+00:00,2026-06-10T12:31:40.320000+00:00,4139.776,4161.711,4127.776,4185.776,4161.78,True,TRAILING_STOP,0.05,16.56,34.004,11.094,175.48,372.03,108.76,90.63,275.48
2026-06-17T18:00:00+00:00,FOMC,NEGATIVE,True,275.48,EXECUTED,2026-06-17T17:59:30.078000+00:00,2026-06-17T18:00:21.257000+00:00,4378.984,4349.874,4390.984,4332.984,4349.84,True,TRAILING_STOP,0.06,17.52,41.144,1.304,232.88,604.63,106.98,28.76,508.36
2026-07-02T12:30:00+00:00,NFP,POSITIVE,True,508.36,EXECUTED,2026-07-02T12:29:30.005000+00:00,2026-07-02T12:30:09.500000+00:00,4064.255,4110.739,4052.255,4110.255,4092.0,True,TAKE_PROFIT,0.0,16.26,46.484,0.506,371.87,880.23,100.32,16.59,880.23
2026-07-14T12:30:00+00:00,CPI,POSITIVE,True,880.23,EXECUTED,2026-07-14T12:29:30.020000+00:00,2026-07-14T12:30:07.090000+00:00,4030.446,4077.713,4018.446,4076.446,4064.339,True,TAKE_PROFIT,0.0,16.12,47.267,2.34,378.14,1258.37,65.74,5.82,1258.37
2026-07-29T18:00:00+00:00,FOMC,NEGATIVE,False,1258.37,EXECUTED,2026-07-29T17:59:30.136000+00:00,2026-07-29T18:00:01.980000+00:00,4043.931,4056.889,4055.931,3997.931,,False,STOP_LOSS,0.04,16.18,0.816,12.958,-103.66,1264.9,110.19,8.71,1154.71
2026-08-07T12:30:00+00:00,NFP,NEGATIVE,False,1154.71,EXECUTED,2026-08-07T12:29:30.066000+00:00,2026-08-07T12:30:01.499000+00:00,4313.869,4329.924,4325.869,4267.869,,False,STOP_LOSS,0.06,17.26,12.697,16.055,-128.44,1264.9,238.63,18.87,1026.27
2026-08-12T12:30:00+00:00,CPI,POSITIVE,False,1026.27,EXECUTED,2026-08-12T12:29:30.026000+00:00,2026-08-12T12:30:07.097000+00:00,4418.233,4405.024,4406.233,4464.233,,False,STOP_LOSS,0.06,17.67,14.677,13.209,-105.67,1264.9,344.3,27.22,920.6
2026-09-04T12:30:00+00:00,NFP,NEGATIVE,True,920.6,EXECUTED,2026-09-04T12:29:30.017000+00:00,2026-09-04T12:30:05.119000+00:00,4471.833,4457.715,4483.833,4425.833,4450.67,True,TRAILING_STOP,0.05,17.89,33.163,5.11,112.94,1264.9,385.18,30.45,1033.54
