release_utc,event,direction,actual_direction,actual_move_usd,balance_before_usd,status,entry_time_utc,exit_time_utc,entry_price,exit_price,entry_spread_usd,entry_gap_from_request_ms,required_margin_usd,captured_move_usd,maximum_favorable_move_usd,maximum_adverse_move_usd,exit_reason,pnl_usd,minimum_equity_usd,maximum_equity_usd,balance_after_usd,data_source
2025-09-11T12:30:00+00:00,CPI,POSITIVE,POSITIVE,7.8665,100.0,EXECUTED,2025-09-11T12:29:55.090000+00:00,2025-09-11T12:30:03.154000+00:00,3625.115,3620.425,1.61,90,14.5,-4.69,0.213,4.69,STOP_LOSS,-37.52,62.48,101.7,62.48,archive ticks + M1 continuation
2025-09-17T18:00:00+00:00,FOMC,NEGATIVE,NEGATIVE,-4.59,62.48,EXECUTED,2025-09-17T17:59:55+00:00,2025-09-17T18:00:01.424000+00:00,3687.004,3692.415,0.912,0,14.75,-5.411,0.0,5.411,STOP_LOSS,-43.29,19.19,58.79,19.19,archive ticks + M1 continuation
2025-10-24T12:30:00+00:00,CPI,POSITIVE,POSITIVE,29.2865,19.19,EXECUTED,2025-10-24T12:29:55.247000+00:00,2025-10-24T12:45:00+00:00,4062.165,4083.105,0.82,247,16.25,20.94,30.54,1.89,TIME_EXIT_T_PLUS_900s,167.52,4.07,263.51,186.71,archive ticks + M1 continuation
2025-10-29T18:00:00+00:00,FOMC,NEGATIVE,NEGATIVE,-6.4465,186.71,EXECUTED,2025-10-29T17:59:55.160000+00:00,2025-10-29T18:02:09.863000+00:00,3994.095,3998.145,1.33,160,15.98,-4.05,14.78,4.05,STOP_LOSS,-32.4,154.31,304.95,154.31,archive ticks + M1 continuation
2025-11-20T13:30:00+00:00,NFP,NEGATIVE,NEGATIVE,-3.955,154.31,EXECUTED,2025-11-20T13:29:55.118000+00:00,2025-11-20T13:30:00.937000+00:00,4084.875,4092.105,1.287,118,16.34,-7.23,0.0,7.23,STOP_LOSS,-57.84,96.47,144.65,96.47,archive ticks + M1 continuation
2025-12-10T19:00:00+00:00,FOMC,POSITIVE,POSITIVE,16.72,96.47,EXECUTED,2025-12-10T18:59:55.023000+00:00,2025-12-10T19:00:01.215000+00:00,4194.942,4189.498,1.227,23,16.78,-5.444,0.0,5.444,STOP_LOSS,-43.55,52.92,87.4,52.92,archive ticks + M1 continuation
2025-12-16T13:30:00+00:00,NFP,POSITIVE,POSITIVE,4.415,52.92,EXECUTED,2025-12-16T13:29:55.154000+00:00,2025-12-16T13:45:00+00:00,4302.255,4304.025,0.977,154,17.21,1.77,10.13,1.577,TIME_EXIT_T_PLUS_900s,14.16,40.3,133.96,67.08,archive ticks + M1 continuation
2025-12-18T13:30:00+00:00,CPI,POSITIVE,POSITIVE,9.758,67.08,EXECUTED,2025-12-18T13:29:55.022000+00:00,2025-12-18T13:45:00+00:00,4322.515,4336.195,1.407,22,17.29,13.68,15.64,2.06,TIME_EXIT_T_PLUS_900s,109.44,50.6,192.2,176.52,archive ticks + M1 continuation
2026-01-09T13:30:00+00:00,NFP,NEGATIVE,NEGATIVE,-2.25,176.52,EXECUTED,2026-01-09T13:29:55.093000+00:00,2026-01-09T13:31:23.190000+00:00,4472.275,4476.465,1.047,93,17.89,-4.19,12.633,4.19,STOP_LOSS,-33.52,143.0,277.58,143.0,archive ticks + M1 continuation
2026-01-13T13:30:00+00:00,CPI,POSITIVE,POSITIVE,9.94,143.0,EXECUTED,2026-01-13T13:29:55.087000+00:00,2026-01-13T13:45:00+00:00,4602.035,4617.829,1.287,87,18.41,15.794,18.39,2.13,TIME_EXIT_T_PLUS_900s,126.35,125.96,290.12,269.35,archive ticks + M1 continuation
