case,phase,heavy,departure,bars,return_percent,profit_factor,win_rate_percent,max_equity_drawdown_percent,trades,sharpe_ratio,recovery_factor,history_quality,report
hybrid-h080-d100-b3,development,0.8,1.0,3,-1.3134,0.94,24.14,6.22,29,-1.0,-0.21,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\development\xauusd--hybrid-h080-d100-b3--development.htm
hybrid-h080-d100-b8,development,0.8,1.0,8,1.685,1.05,26.53,8.31,49,0.7,0.2,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\development\xauusd--hybrid-h080-d100-b8--development.htm
hybrid-h080-d150-b3,development,0.8,1.5,3,-0.27670000000000006,0.98,25.0,9.34,24,-0.21,-0.03,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\development\xauusd--hybrid-h080-d150-b3--development.htm
hybrid-h080-d150-b8,development,0.8,1.5,8,2.4428,1.07,27.08,7.98,48,1.08,0.3,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\development\xauusd--hybrid-h080-d150-b8--development.htm
baseline,full,,,,96.15979999999999,1.22,29.51,20.54,488,2.59,3.93,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\full\xauusd--baseline--full.htm
hybrid-h050-d050-b3,full,0.5,0.5,3,14.552999999999999,1.45,33.33,7.61,48,5.83,1.86,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\full\xauusd--hybrid-h050-d050-b3--full.htm
baseline,locked,,,,107.2751,1.44,33.33,15.25,249,5.12,4.83,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\locked\xauusd--baseline--locked.htm
hybrid-h050-d050-b3,locked,0.5,0.5,3,7.097,1.55,35.0,6.39,20,7.19,1.04,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\locked\xauusd--hybrid-h050-d050-b3--locked.htm
hybrid-h050-d100-b3,locked,0.5,1.0,3,7.6379,1.43,33.33,9.16,27,5.64,0.78,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\locked\xauusd--hybrid-h050-d100-b3--locked.htm
hybrid-h065-d050-b3,locked,0.65,0.5,3,0.45599999999999996,1.03,26.32,7.5,19,0.5,0.06,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\locked\xauusd--hybrid-h065-d050-b3--locked.htm
hybrid-h065-d100-b3,locked,0.65,1.0,3,5.8362,1.36,32.0,5.97,25,3.82,0.9,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\locked\xauusd--hybrid-h065-d100-b3--locked.htm
hybrid-h080-d150-b8,locked,0.8,1.5,8,3.2001,1.12,28.95,8.09,38,1.7,0.36,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Hybrid Backtest Reports\locked\xauusd--hybrid-h080-d150-b8--locked.htm
