case,phase,return_percent,profit_factor,win_rate_percent,max_equity_drawdown_percent,trades,history_quality,report
baseline,development,-3.1081000000000003,0.98,25.62,20.13,242,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Backtest Reports\xauusd--baseline--development.htm
baseline,locked,107.81940000000002,1.44,33.33,15.24,249,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Backtest Reports\xauusd--baseline--locked.htm
center-rr2,development,-13.339500000000001,0.54,21.95,15.88,41,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Backtest Reports\xauusd--center-rr2--development.htm
edge-barrier,development,-4.2219,0.85,23.68,10.7,38,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Backtest Reports\xauusd--edge-barrier--development.htm
edge-rr2,development,-7.2273000000000005,0.72,26.32,11.15,38,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Backtest Reports\xauusd--edge-rr2--development.htm
edge-rr3,development,-2.9758,0.89,23.68,11.0,38,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Backtest Reports\xauusd--edge-rr3--development.htm
edge-rr3,locked,8.0957,1.3,30.0,5.69,40,99%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Volume Profile POC Improvements Research 2026-08-31\Backtest Reports\xauusd--edge-rr3--locked.htm
