phase,symbol,variant,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,net,commission,swap,history_quality
development,btcusd,both-r20-h4-rr3,2.3801,1.09,28.33,9.12,60,238.01,-62.16,-6.97,100%
development,btcusd,both-r20-rr3,-7.530399999999999,0.8,24.32,11.06,74,-753.04,-78.17,-14.09,100%
development,btcusd,both-r20-rr4,-3.7464999999999997,0.9,24.32,9.3,74,-374.65,-79.29,-14.24,100%
development,btcusd,both-r32-day-rr3,-0.8062999999999999,0.96,26.09,12.51,46,-80.63,-41.839999999999996,-4.8,100%
development,btcusd,break-r12-direct-rr3,-7.3076,0.88,20.18,12.19,109,-730.76,-89.12,-31.73,100%
development,btcusd,break-r20-retest-rr3,-3.9272,0.78,21.05,7.52,38,-392.72,-34.95,-15.33,100%
development,btcusd,reclaim-r12-rr3,-17.2692,0.69,20.18,22.01,109,-1726.92,-101.24,-44.42,100%
development,btcusd,reclaim-r20-rr3,-8.2345,0.76,21.74,14.7,69,-823.45,-64.36,-11.76,100%
development,eurusd,both-r20-h4-rr3,-2.0649,0.92,46.3,6.2,54,-206.49,-93.83,-4.81,100%
development,eurusd,both-r20-rr3,-10.1365,0.67,39.39,12.34,66,-1013.65,-119.35,-6.43,100%
development,eurusd,both-r20-rr4,-8.3427,0.73,39.39,11.43,66,-834.27,-120.72,-6.43,100%
development,eurusd,both-r32-day-rr3,-1.2937,0.95,33.33,8.3,45,-129.37,-83.35,-26.56,100%
development,eurusd,break-r12-direct-rr3,-12.756400000000001,0.68,35.9,19.06,78,-1275.64,-112.89,-45.19,100%
development,eurusd,break-r20-retest-rr3,-16.0869,0.31,28.21,18.47,39,-1608.69,-58.9,-15.5,100%
development,eurusd,reclaim-r12-rr3,5.9598,1.13,43.53,12.52,85,595.98,-163.85,-51.62,100%
development,eurusd,reclaim-r20-rr3,-19.575799999999997,0.38,24.14,21.54,58,-1957.58,-94.7,-29.81,100%
development,ustec,both-r20-h4-rr3,-11.281099999999999,0.47,17.5,13.96,40,-1128.11,-52.27,-77.9,100%
development,ustec,both-r20-rr3,1.8519,1.08,27.08,10.53,48,185.19,-78.51,-87.27,100%
development,ustec,both-r20-rr4,3.7672000000000003,1.15,27.08,11.18,48,376.72,-78.8,-88.59,100%
development,ustec,both-r32-day-rr3,-5.8032,0.77,23.91,8.6,46,-580.32,-48.0,-43.58,100%
development,ustec,break-r12-direct-rr3,6.251699999999999,1.14,27.5,13.66,80,625.17,-114.53,-136.12,100%
development,ustec,break-r20-retest-rr3,-4.0927999999999995,0.74,19.35,8.42,31,-409.28,-40.91,-4.46,100%
development,ustec,reclaim-r12-rr3,14.3255,1.33,31.91,10.55,94,1432.55,-153.73,-121.59,100%
development,ustec,reclaim-r20-rr3,3.2534,1.13,25.53,16.24,47,325.34,-83.67,-59.92,100%
development,xauusd,both-r20-h4-rr3,9.685599999999999,1.37,37.25,5.69,51,968.56,-45.75,0.0,99%
development,xauusd,both-r20-rr3,4.3579,1.16,31.82,10.74,66,435.79,-52.05,0.0,99%
development,xauusd,both-r20-rr4,6.3556,1.22,31.82,10.87,66,635.56,-52.42,0.0,99%
development,xauusd,both-r32-day-rr3,2.0012000000000003,1.1,25.64,6.75,39,200.12,-39.37,0.0,99%
development,xauusd,break-r12-direct-rr3,-12.5443,0.69,22.5,14.81,80,-1254.43,-65.47,0.0,99%
development,xauusd,break-r20-retest-rr3,0.5927,1.03,27.5,6.28,40,59.27,-38.71,0.0,99%
development,xauusd,reclaim-r12-rr3,-13.186700000000002,0.66,18.29,14.41,82,-1318.67,-75.64,0.0,99%
development,xauusd,reclaim-r20-rr3,-0.6254,0.97,23.21,7.33,56,-62.54,-44.25,0.0,99%
locked,btcusd,both-r20-h4-rr3,7.2348,1.21,27.4,7.81,73,723.48,-105.26,-46.279999999999994,100%
locked,eurusd,reclaim-r12-rr3,-5.3530999999999995,0.86,31.82,11.17,66,-535.31,-148.63,-42.07,100%
locked,ustec,reclaim-r12-rr3,2.4232,1.06,30.49,10.31,82,242.32,-102.85,-40.85,100%
locked,xauusd,both-r20-h4-rr3,16.842000000000002,1.74,36.17,10.07,47,1684.2,-21.63,0.0,99%
