kind,server_epoch,ny_day,side,high,low,poc,vah,val,requested_entry,stop,lots,planned_cash_risk,cutoff_epoch
profile,1758288900,20250919,0,3661.374,3632.283,3647.056,3656.374,3644.556,0.0,0.0,0.0,0.0,1758312000
entry,1758288900,20250919,1,3661.374,3632.283,3647.056,3656.374,3644.556,3656.949,3653.886,0.33,101.07900000000001,1758312000
profile,1758548100,20250922,0,3728.393,3685.546,3723.372,3728.393,3693.58,0.0,0.0,0.0,0.0,1758571200
target_behind_entry,1758554700,20250922,1,3728.393,3685.546,3723.372,3728.393,3693.58,3729.51,3725.883,0.0,0.0,1758571200
profile,1758634500,20250923,0,3791.177,3736.802,3784.805,3791.177,3751.245,0.0,0.0,0.0,0.0,1758657600
profile,1758720900,20250924,0,3779.307,3750.677,3767.452,3772.15,3757.835,0.0,0.0,0.0,0.0,1758744000
entry,1758723900,20250924,-1,3779.307,3750.677,3767.452,3772.15,3757.835,3755.431,3759.401,0.26,103.22,1758744000
profile,1758807300,20250925,0,3761.681,3729.502,3737.798,3752.631,3734.53,0.0,0.0,0.0,0.0,1758830400
entry,1758807600,20250925,-1,3761.681,3729.502,3737.798,3752.631,3734.53,3731.519,3738.937,0.14,103.852,1758830400
profile,1758893700,20250926,0,3766.441,3734.544,3751.738,3753.483,3742.02,0.0,0.0,0.0,0.0,1758916800
entry,1758893700,20250926,1,3766.441,3734.544,3751.738,3753.483,3742.02,3757.187,3752.303,0.21,102.564,1758916800
profile,1759152900,20250929,0,3831.443,3764.013,3816.166,3831.443,3794.567,0.0,0.0,0.0,0.0,1759176000
target_behind_entry,1759161000,20250929,1,3831.443,3764.013,3816.166,3831.443,3794.567,3832.288,3830.347,0.0,0.0,1759176000
profile,1759239300,20250930,0,3871.778,3793.161,3814.658,3848.439,3796.846,0.0,0.0,0.0,0.0,1759262400
entry,1759242000,20250930,1,3871.778,3793.161,3814.658,3848.439,3796.846,3849.382,3842.632,0.15,101.25,1759262400
profile,1759325700,20251001,0,3895.456,3853.424,3863.604,3882.978,3856.051,0.0,0.0,0.0,0.0,1759348800
profile,1759412100,20251002,0,3893.876,3852.908,3864.75,3882.994,3861.87,0.0,0.0,0.0,0.0,1759435200
entry,1759412100,20251002,1,3893.876,3852.908,3864.75,3882.994,3861.87,3892.927,3890.893,0.5,101.7,1759435200
profile,1759498500,20251003,0,3884.606,3838.099,3858.082,3865.713,3848.272,0.0,0.0,0.0,0.0,1759521600
target_behind_entry,1759498500,20251003,1,3884.606,3838.099,3858.082,3865.713,3848.272,3884.616,3872.763,0.0,0.0,1759521600
profile,1759757700,20251006,0,3949.678,3899.011,3935.032,3944.928,3926.72,0.0,0.0,0.0,0.0,1759780800
entry,1759759500,20251006,1,3949.678,3899.011,3935.032,3944.928,3926.72,3945.827,3941.974,0.26,100.17800000000001,1759780800
profile,1759844100,20251007,0,3985.717,3940.9,3963.659,3970.311,3949.303,0.0,0.0,0.0,0.0,1759867200
entry,1759844100,20251007,1,3985.717,3940.9,3963.659,3970.311,3949.303,3974.301,3974.172,7.58,97.78200000000001,1759867200
profile,1759930500,20251008,0,4049.694,3984.582,4036.977,4049.694,4019.173,0.0,0.0,0.0,0.0,1759953600
target_behind_entry,1759940100,20251008,1,4049.694,3984.582,4036.977,4049.694,4019.173,4055.378,4047.089,0.0,0.0,1759953600
profile,1760016900,20251009,0,4058.052,4002.575,4038.548,4045.916,4019.912,0.0,0.0,0.0,0.0,1760040000
entry,1760016900,20251009,1,4058.052,4002.575,4038.548,4045.916,4019.912,4048.042,4046.395,0.59,97.17299999999999,1760040000
profile,1760103300,20251010,0,4006.84,3946.996,3986.736,3999.36,3971.308,0.0,0.0,0.0,0.0,1760126400
target_behind_entry,1760109000,20251010,1,4006.84,3946.996,3986.736,3999.36,3971.308,4010.781,3995.471,0.0,0.0,1760126400
profile,1760362500,20251013,0,4093.006,4024.438,4075.328,4093.006,4049.08,0.0,0.0,0.0,0.0,1760385600
target_behind_entry,1760363700,20251013,1,4093.006,4024.438,4075.328,4093.006,4049.08,4095.519,4091.133,0.0,0.0,1760385600
profile,1760448900,20251014,0,4179.799,4090.683,4128.975,4149.165,4108.785,0.0,0.0,0.0,0.0,1760472000
entry,1760460600,20251014,1,4179.799,4090.683,4128.975,4149.165,4108.785,4149.252,4141.685,0.13,98.37100000000001,1760472000
profile,1760535300,20251015,0,4218.301,4153.883,4182.569,4200.183,4175.02,0.0,0.0,0.0,0.0,1760558400
entry,1760537100,20251015,1,4218.301,4153.883,4182.569,4200.183,4175.02,4201.539,4191.814,0.1,97.25,1760558400
profile,1760621700,20251016,0,4254.892,4203.626,4238.471,4246.882,4222.851,0.0,0.0,0.0,0.0,1760644800
entry,1760621700,20251016,1,4254.892,4203.626,4238.471,4246.882,4222.851,4248.194,4245.446,0.35,96.17999999999999,1760644800
profile,1760708100,20251017,0,4378.634,4278.918,4359.158,4369.286,4320.986,0.0,0.0,0.0,0.0,1760731200
entry,1760708100,20251017,-1,4378.634,4278.918,4359.158,4369.286,4320.986,4294.923,4317.298,0.05,111.875,1760731200
profile,1760967300,20251020,0,4327.24,4219.011,4255.369,4268.052,4234.231,0.0,0.0,0.0,0.0,1760990400
entry,1760967300,20251020,1,4327.24,4219.011,4255.369,4268.052,4234.231,4307.944,4305.172,0.36,99.79199999999999,1760990400
profile,1761053700,20251021,0,4372.376,4189.797,4265.396,4349.554,4246.853,0.0,0.0,0.0,0.0,1761076800
entry,1761053700,20251021,-1,4372.376,4189.797,4265.396,4349.554,4246.853,4199.843,4207.035,0.14,100.68800000000002,1761076800
profile,1761140100,20251022,0,4161.44,4004.265,4032.507,4107.411,4014.088,0.0,0.0,0.0,0.0,1761163200
entry,1761144900,20251022,-1,4161.44,4004.265,4032.507,4107.411,4014.088,4013.079,4027.825,0.07,103.22200000000001,1761163200
profile,1761226500,20251023,0,4149.984,4066.037,4113.913,4135.556,4089.647,0.0,0.0,0.0,0.0,1761249600
entry,1761226500,20251023,1,4149.984,4066.037,4113.913,4135.556,4089.647,4140.158,4132.21,0.12,95.37599999999999,1761249600
profile,1761312900,20251024,0,4144.377,4044.058,4116.946,4144.377,4070.705,0.0,0.0,0.0,0.0,1761336000
profile,1761572100,20251027,0,4097.848,4015.476,4040.574,4074.681,4016.763,0.0,0.0,0.0,0.0,1761595200
target_behind_entry,1761573900,20251027,-1,4097.848,4015.476,4040.574,4074.681,4016.763,4010.819,4023.464,0.0,0.0,1761595200
profile,1761658500,20251028,0,4019.847,3886.668,3925.165,3974.067,3886.668,0.0,0.0,0.0,0.0,1761681600
profile,1761744900,20251029,0,4030.348,3944.279,4017.572,4030.348,3968.486,0.0,0.0,0.0,0.0,1761768000
entry,1761763200,20251029,-1,4030.348,3944.279,4017.572,4030.348,3968.486,3951.884,3986.806,0.03,104.76599999999999,1761768000
profile,1761831300,20251030,0,4011.935,3915.381,3973.464,3987.797,3948.571,0.0,0.0,0.0,0.0,1761854400
entry,1761832500,20251030,1,4011.935,3915.381,3973.464,3987.797,3948.571,3987.982,3975.108,0.08,102.992,1761854400
profile,1761917700,20251031,0,4039.37,3989.158,4009.949,4026.817,4001.711,0.0,0.0,0.0,0.0,1761940800
entry,1761927000,20251031,-1,4039.37,3989.158,4009.949,4026.817,4001.711,3998.339,4007.402,0.11,99.693,1761940800
profile,1762180500,20251103,0,4027.916,3962.386,4016.141,4019.725,3996.175,0.0,0.0,0.0,0.0,1762203600
entry,1762181400,20251103,1,4027.916,3962.386,4016.141,4019.725,3996.175,4020.719,4012.455,0.12,99.16799999999999,1762203600
