policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,AUDUSD,17,0,8,9,0,0.0,0.0,0.0,1.0,5.59
dynamic_aggressive,LTA,GBPJPY,22,1,6,15,0,4.55,8.5,0.386,2.42,5.5
dynamic_aggressive,LTA,USDCAD,29,1,14,14,0,3.45,2.5,0.086,1.18,5.48
dynamic_aggressive,ORB,AUDUSD,20,1,10,9,0,5.0,3.0,0.15,1.3,5.7
dynamic_aggressive,ORB,GBPUSD,20,0,8,12,0,0.0,6.0,0.3,1.75,5.8
dynamic_aggressive,ORB,NZDUSD,22,1,8,13,0,4.55,9.5,0.432,2.19,5.36
dynamic_aggressive,ORB,USDCAD,18,0,7,11,0,0.0,4.0,0.222,1.57,5.89
dynamic_aggressive,ORB,USDCHF,20,0,5,15,0,0.0,9.5,0.475,2.9,5.6
dynamic_balanced,LTA,AUDUSD,17,0,8,9,0,0.0,0.0,0.0,1.0,4.41
dynamic_balanced,LTA,GBPJPY,22,1,6,15,0,4.55,8.0,0.364,2.33,4.32
dynamic_balanced,LTA,USDCAD,29,2,14,13,0,6.9,2.5,0.086,1.18,4.38
dynamic_balanced,ORB,AUDUSD,20,1,10,9,0,5.0,2.0,0.1,1.2,4.35
dynamic_balanced,ORB,GBPUSD,20,1,8,11,0,5.0,5.0,0.25,1.62,4.45
dynamic_balanced,ORB,NZDUSD,22,3,9,9,1,13.64,7.92,0.36,1.88,4.09
dynamic_balanced,ORB,USDCAD,18,0,5,13,0,0.0,8.0,0.444,2.6,4.22
dynamic_balanced,ORB,USDCHF,20,0,5,15,0,0.0,8.5,0.425,2.7,4.25
dynamic_capped,LTA,AUDUSD,17,1,7,9,0,5.88,3.5,0.206,1.5,4.41
dynamic_capped,LTA,GBPJPY,22,1,7,14,0,4.55,6.5,0.295,1.93,4.32
dynamic_capped,LTA,USDCAD,29,0,16,13,0,0.0,-4.0,-0.138,0.75,4.38
dynamic_capped,ORB,AUDUSD,20,1,10,9,0,5.0,2.0,0.1,1.2,4.35
dynamic_capped,ORB,GBPUSD,20,1,8,11,0,5.0,6.5,0.325,1.81,4.45
dynamic_capped,ORB,NZDUSD,22,3,8,11,0,13.64,9.5,0.432,2.19,4.09
dynamic_capped,ORB,USDCAD,18,0,6,12,0,0.0,5.0,0.278,1.83,4.22
dynamic_capped,ORB,USDCHF,20,0,6,14,0,0.0,7.0,0.35,2.17,4.25
dynamic_conservative,LTA,AUDUSD,17,1,8,8,0,5.88,0.0,0.0,1.0,3.0
dynamic_conservative,LTA,GBPJPY,22,4,6,12,0,18.18,9.0,0.409,2.5,3.0
dynamic_conservative,LTA,USDCAD,29,4,14,11,0,13.79,1.5,0.052,1.11,2.93
dynamic_conservative,ORB,AUDUSD,20,6,9,5,0,30.0,8.0,0.4,1.89,2.85
dynamic_conservative,ORB,GBPUSD,20,4,8,8,0,20.0,5.5,0.275,1.69,2.9
dynamic_conservative,ORB,NZDUSD,22,5,8,9,0,22.73,10.0,0.455,2.25,2.68
dynamic_conservative,ORB,USDCAD,18,2,7,9,0,11.11,3.5,0.194,1.5,2.89
dynamic_conservative,ORB,USDCHF,20,1,6,13,0,5.0,4.5,0.225,1.75,2.75
dynamic_score,LTA,AUDUSD,17,0,8,9,0,0.0,0.0,0.0,1.0,4.29
dynamic_score,LTA,GBPJPY,22,3,6,13,0,13.64,8.5,0.386,2.42,4.18
dynamic_score,LTA,USDCAD,29,2,14,13,0,6.9,2.0,0.069,1.14,4.28
dynamic_score,ORB,AUDUSD,20,1,10,9,0,5.0,2.5,0.125,1.25,5.7
dynamic_score,ORB,GBPUSD,20,0,8,12,0,0.0,4.5,0.225,1.56,5.75
dynamic_score,ORB,NZDUSD,22,1,9,11,1,4.55,7.42,0.337,1.82,5.41
dynamic_score,ORB,USDCAD,18,0,5,13,0,0.0,8.0,0.444,2.6,5.44
dynamic_score,ORB,USDCHF,20,0,5,15,0,0.0,8.5,0.425,2.7,5.55
fixed_current,LTA,AUDUSD,17,0,8,9,0,0.0,0.0,0.0,1.0,6.0
fixed_current,LTA,GBPJPY,22,1,6,15,0,4.55,9.5,0.432,2.58,6.0
fixed_current,LTA,USDCAD,29,1,14,14,0,3.45,2.5,0.086,1.18,6.0
fixed_current,ORB,AUDUSD,20,0,10,10,0,0.0,1.5,0.075,1.15,6.0
fixed_current,ORB,GBPUSD,20,6,9,5,0,30.0,7.0,0.35,1.78,3.0
fixed_current,ORB,NZDUSD,22,4,8,10,0,18.18,9.5,0.432,2.19,3.0
fixed_current,ORB,USDCAD,18,1,6,11,0,5.56,12.0,0.667,3.0,6.0
fixed_current,ORB,USDCHF,20,6,4,10,0,30.0,15.5,0.775,4.88,3.0
