policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,68,2,28,38,0,2.94,11.0,0.162,1.39,5.51
dynamic_aggressive,ORB,100,2,38,60,0,2.0,32.0,0.32,1.84,5.66
dynamic_balanced,LTA,68,3,28,37,0,4.41,10.5,0.154,1.38,4.37
dynamic_balanced,ORB,100,5,37,57,1,5.0,31.42,0.314,1.85,4.27
dynamic_capped,LTA,68,2,30,36,0,2.94,6.0,0.088,1.2,4.37
dynamic_capped,ORB,100,5,38,57,0,5.0,30.0,0.3,1.79,4.27
dynamic_conservative,LTA,68,9,28,31,0,13.24,10.5,0.154,1.38,2.97
dynamic_conservative,ORB,100,18,38,44,0,18.0,31.5,0.315,1.83,2.81
dynamic_score,LTA,68,5,28,35,0,7.35,10.5,0.154,1.38,4.25
dynamic_score,ORB,100,2,37,60,1,2.0,30.92,0.309,1.84,5.57
fixed_current,LTA,68,2,28,38,0,2.94,12.0,0.176,1.43,6.0
fixed_current,ORB,100,17,37,46,0,17.0,45.5,0.455,2.23,4.14
