period,start,end,net_final,net_return_pct,net_closed_equity_dd_pct,net_profit_factor,net_wins,net_losses,net_trades,net_win_rate_pct,net_net_r,zero_cost_final,zero_cost_return_pct,zero_cost_closed_equity_dd_pct,zero_cost_profit_factor,zero_cost_wins,zero_cost_losses,zero_cost_trades,zero_cost_win_rate_pct,zero_cost_net_r
development,2022-01-03 00:00:00+00:00,2025-01-01 00:00:00+00:00,640.5397973328724,-93.59460202667128,93.61118679825633,0.35462774215937887,155,295,450,34.44444444444444,-270.5462504854666,5265.541787487442,-47.34458212512558,48.87029218739342,0.7687698481326743,155,295,450,34.44444444444444,-60.94625048546623
validation,2025-01-01 00:00:00+00:00,2025-08-11 00:00:00+00:00,6295.295566227365,-37.04704433772634,39.07961231702931,0.5012161247242473,44,62,106,41.509433962264154,-45.31469474930052,10262.420225104468,2.6242022510446716,18.300970644720067,1.0421951126948357,44,62,106,41.509433962264154,3.3853052506994565
locked,2025-08-11 00:00:00+00:00,2026-08-11 00:00:00+00:00,2833.940661923197,-71.66059338076803,71.96893509472605,0.3479499074633338,59,127,186,31.72043010752688,-124.30528780221294,6804.701023505004,-31.952989764949958,34.53651016167169,0.7024080479201196,60,126,186,32.25806451612903,-37.205287802212844
full,2022-01-03 00:00:00+00:00,2026-08-11 00:00:00+00:00,114.2754646485583,-98.85724535351443,98.85724535351441,0.3589581973361281,258,484,742,34.77088948787062,-440.1662330369777,3677.070074043651,-63.22929925956349,63.58339691899522,0.7860399149921393,259,483,742,34.90566037735849,-94.76623303697961
