instrument,broker_symbol,selected_config,train_trades,train_wins,train_losses,train_win_rate_pct,train_net_r,train_profit_factor,train_expectancy_r,train_max_dd_pct_at_1pct,train_ending_balance_at_1pct,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_net_r,validation_profit_factor,validation_expectancy_r,validation_max_dd_pct_at_1pct,validation_ending_balance_at_1pct,full_trades,full_wins,full_losses,full_win_rate_pct,full_net_r,full_profit_factor,full_expectancy_r,full_max_dd_pct_at_1pct,full_ending_balance_at_1pct,month_trades,month_wins,month_losses,month_win_rate_pct,month_net_r,month_profit_factor,month_expectancy_r,month_max_dd_pct_at_1pct,month_ending_balance_at_1pct
XAUUSD,XAUUSD..,trail_start_1R_distance_1R,113,49,64,43.36283185840708,9.555087755087683,1.2353895937895987,0.08455829871759012,7.620122488748823,1091.06619729853,42,15,27,35.714285714285715,-2.1348360203524432,0.8584058720736992,-0.05082942905601055,8.727664010221813,977.3362159549471,155,64,91,41.29032258064516,7.420251734735239,1.1332904271739401,0.047872591837001544,15.203047978186046,1066.3385086240996,14,8,6,57.14285714285714,5.554715355320365,3.7590198918342366,0.39676538252288324,0.8904019094961557,1056.443773280688
XAGUSD,XAGUSD..,fixed_4R,108,51,57,47.22222222222222,36.51541953579086,2.0560182954151434,0.33810573644250796,5.040630009823769,1425.1650391692601,37,13,24,35.13513513513514,2.0790350224600127,1.1477707909325523,0.05619013574216251,4.297988105837697,1018.2533258210944,145,64,81,44.13793103448276,37.74508183465719,1.7758859385070427,0.26031090920453237,5.040630009823769,1439.0826163223692,12,4,8,33.33333333333333,1.3805461111851034,1.3568347498277782,0.11504550926542528,2.3840759934177287,1012.932409133944
ETHUSD,ETHUSD,fixed_5R,147,52,95,35.374149659863946,10.38739550280228,1.1631744084640245,0.07066255444083183,15.86315702290912,1093.3317849419207,57,23,34,40.35087719298245,2.7822971019696725,1.1219238052026361,0.04881222985911706,5.305860774979971,1023.5658027348826,204,76,128,37.254901960784316,13.424461574674456,1.1553684815805978,0.06580618418958067,19.206679688136983,1121.9502547136979,19,8,11,42.10526315789473,1.0099166540513949,1.1269858827982673,0.05315350810796815,3.101524916132672,1008.9201500230993
EURJPY,EURJPY..,fixed_2.5R,113,48,65,42.47787610619469,11.830837978016115,1.2818863120234463,0.10469768122138155,7.2982794462965,1117.856518171621,34,8,26,23.52941176470588,-14.245589427417434,0.22778310903745028,-0.4189879243358069,13.362900359176377,866.3709964082362,147,56,91,38.095238095238095,-2.352251449401395,0.9610266610309123,-0.016001710540145545,19.63556932289526,969.0856019172764,12,4,8,33.33333333333333,-4.613095121993227,0.3061293193158294,-0.38442459349943553,5.003413156266323,954.5500109541846
GBPJPY,GBPJPY..,fixed_4R,117,46,71,39.31623931623932,12.252595265179483,1.2646267164783476,0.10472303645452549,9.865869258534927,1119.0737183797505,44,14,30,31.818181818181817,-0.0803823299948057,0.9954327833720039,-0.0018268711362455841,10.993492513545789,996.2077061426094,161,60,101,37.267080745341616,12.196151999384886,1.1909308028293148,0.07575249689058935,15.18614332077509,1115.0984427419573,14,8,6,57.14285714285714,4.39364585883498,2.1026347675625896,0.31383184705964146,1.5575862785763714,1043.5917669373493
