instrument,broker_symbol,config,sample,trades,wins,losses,win_rate_pct,net_r,profit_factor,expectancy_r,max_dd_pct_at_1pct,ending_balance_at_1pct,selection_score
XAUUSD,XAUUSD..,fixed_1R,train,113,51,62,45.13274336283185,-5.442137202337339,0.8629574263486091,-0.048160506215374675,10.103759417262026,943.9293843022042,-0.7866599662227359
XAUUSD,XAUUSD..,fixed_1.5R,train,113,47,66,41.5929203539823,-0.5581580826298846,0.9865888079315461,-0.0049394520586715455,8.009720845565704,989.9155248339464,-0.22490760825158715
XAUUSD,XAUUSD..,fixed_2R,train,113,45,68,39.823008849557525,-0.47179467609492964,0.9891836918026434,-0.004175174124733891,8.621109716122804,989.8159819573959,-0.2408495446139937
XAUUSD,XAUUSD..,fixed_2.5R,train,113,45,68,39.823008849557525,1.6523194398208711,1.0378808774391302,0.014622295927618328,8.621109716122788,1010.2461532541633,-0.03372511920150312
XAUUSD,XAUUSD..,fixed_3R,train,113,45,68,39.823008849557525,7.652319439820886,1.1754361583111037,0.06771964106036182,8.621109716122834,1070.9951822254213,0.5513406939594508
XAUUSD,XAUUSD..,fixed_4R,train,113,44,69,38.93805309734513,10.039030249521987,1.2296445670158536,0.08884097565948662,9.053902702461645,1095.0158355913752,0.7666831023598648
XAUUSD,XAUUSD..,fixed_5R,train,112,42,70,37.5,4.341879377197399,1.097100066700499,0.03876678015354821,12.066508608779426,1034.7121943097045,0.0921737033219095
XAUUSD,XAUUSD..,trail_start_1R_distance_0.5R,train,113,49,64,43.36283185840708,5.102535642038524,1.1257009692492745,0.045155182672907294,8.203722623837665,1045.6999588459992,0.32071241644755827
XAUUSD,XAUUSD..,trail_start_1R_distance_1R,train,113,49,64,43.36283185840708,9.555087755087683,1.2353895937895987,0.08455829871759012,7.620122488748823,1091.06619729853,0.7793705845632432
XAUUSD,XAUUSD..,trail_start_1R_distance_1.5R,train,112,45,67,40.17857142857143,7.246311763968918,1.1738088914438254,0.06469921217829391,8.081632035637101,1065.8203305532663,0.5375181540733588
XAUUSD,XAUUSD..,trail_start_1R_distance_2R,train,112,42,70,37.5,6.485569141647593,1.1494228102365294,0.05790686733613922,10.301135960108187,1056.6130896499958,0.3731966638280866
