instrument,error
BTCUSD,no configuration reached 12 training trades with PF >= 1.05 and positive net R
AUDCAD,no configuration reached 12 training trades with PF >= 1.05 and positive net R
AUDCHF,no configuration reached 12 training trades with PF >= 1.05 and positive net R
GBPUSD,no configuration reached 12 training trades with PF >= 1.05 and positive net R
US30,no configuration reached 12 training trades with PF >= 1.05 and positive net R
