period,old_return_pct,new_return_pct,delta_return_pct,old_profit_factor,new_profit_factor,delta_profit_factor,old_win_rate_pct,new_win_rate_pct,delta_win_rate_pct,old_max_drawdown_pct,new_max_drawdown_pct,delta_max_drawdown_pct,old_trades,new_trades,delta_trades,old_commission,new_commission,delta_commission,old_swap,new_swap,delta_swap,old_total_costs,new_total_costs,delta_total_costs
6m,248.55,83.9,-164.65,1.91,1.4,-0.51,43.49,41.58,-1.91,7.42,7.87,0.45,791,736,-55.0,-595.36,-158.62,436.74,-118.3,-143.96,-25.66,-713.66,-302.58,411.08
1y,674.4,343.54,-330.86,2.08,1.6,-0.48,45.75,44.26,-1.49,6.06,6.25,0.19,1517,1412,-105.0,-1253.41,-394.12,859.29,-228.29,-844.94,-616.65,-1481.7,-1239.06,242.64
3y,1382.52,470.3,-912.22,1.8,1.44,-0.36,45.72,43.37,-2.35,8.4,12.25,3.85,3797,3154,-643.0,-2924.09,-962.82,1961.27,-1669.79,-3327.13,-1657.34,-4593.88,-4289.95,303.93
5y,1315.16,437.17,-877.99,1.65,1.37,-0.28,42.65,41.25,-1.4,13.79,20.89,7.1,6207,4768,-1439.0,-3525.68,-1220.03,2305.65,-1724.65,-3499.03,-1774.38,-5250.33,-4719.06,531.27
