slug,label,mode,period,from,to,old_trade_coverage_from,old_trade_coverage_to,new_trade_coverage_from,new_trade_coverage_to,old_history_quality,new_history_quality,old_return_pct,new_return_pct,delta_return_pct,old_profit_factor,new_profit_factor,delta_profit_factor,old_win_rate_pct,new_win_rate_pct,delta_win_rate_pct,old_max_drawdown_pct,new_max_drawdown_pct,delta_max_drawdown_pct,old_trades,new_trades,delta_trades,old_commission,new_commission,delta_commission,old_swap,new_swap,delta_swap,old_total_costs,new_total_costs,delta_total_costs
asia-breakout,Asia Breakout,standard,6m,2026-03-05,2026-09-05,2026-03-10T14:00:00,2026-09-03T18:29:40,2026-03-10T14:00:00,2026-09-03T18:29:40,100%,100%,4.93,4.86,-0.07,1.43,1.43,0.0,44.0,44.0,0.0,5.17,5.17,0.0,25,25,0.0,-3.27,-2.11,1.16,0.0,-7.52,-7.52,-3.27,-9.63,-6.36
asia-breakout,Asia Breakout,standard,1y,2025-09-05,2026-09-05,2025-09-05T13:00:00,2026-09-03T18:29:40,2025-09-05T13:00:00,2026-09-03T18:29:40,99%,99%,29.3,26.03,-3.27,1.72,1.65,-0.07,45.83,45.83,0.0,6.2,6.53,0.33,72,72,0.0,-15.03,-9.49,5.54,0.0,-57.91,-57.91,-15.03,-67.4,-52.37
asia-breakout,Asia Breakout,standard,3y,2023-09-05,2026-09-05,2023-11-15T11:00:00,2026-09-03T18:29:40,2023-11-15T11:00:00,2026-09-03T18:29:40,98%,35%,45.52,35.76,-9.76,1.57,1.45,-0.12,47.33,47.33,0.0,6.27,6.31,0.04,131,131,0.0,-50.16,-31.27,18.89,0.0,-211.7,-211.7,-50.16,-242.97,-192.81
asia-breakout,Asia Breakout,standard,5y,2021-09-05,2026-09-05,2021-11-15T12:00:00,2026-09-03T18:29:40,2021-11-15T12:00:00,2026-09-03T18:29:40,98%,20%,45.5,35.02,-10.48,1.4,1.3,-0.1,43.85,44.39,0.54,6.27,8.24,1.97,187,187,0.0,-89.97,-56.79,33.18,0.0,-371.41,-371.41,-89.97,-428.2,-338.23
btc-poc-fibonacci,BTC POC Fibonacci,standard,6m,2026-03-05,2026-09-05,2026-03-12T14:15:00,2026-08-08T18:00:00,2026-03-12T14:15:00,2026-08-08T18:00:00,100%,100%,2.94,4.07,1.13,1.27,1.42,0.15,28.57,30.77,2.2,9.33,8.9,-0.43,14,13,-1.0,-20.64,-9.14,11.5,-19.83,-19.95,-0.12,-40.47,-29.09,11.38
btc-poc-fibonacci,BTC POC Fibonacci,standard,1y,2025-09-05,2026-09-05,2025-11-02T19:45:00,2026-08-08T18:00:00,2025-11-02T19:45:00,2026-08-08T18:00:00,100%,100%,8.37,9.62,1.25,1.4,1.49,0.09,26.92,28.0,1.08,9.32,8.93,-0.39,26,25,-1.0,-37.93,-17.06,20.87,-22.94,-23.0,-0.06,-60.87,-40.06,20.81
btc-poc-fibonacci,BTC POC Fibonacci,standard,3y,2023-09-05,2026-09-05,2023-09-06T19:00:00,2026-08-08T18:00:00,2023-09-06T19:00:00,2026-08-08T18:00:00,100%,37%,28.54,10.36,-18.18,1.52,1.18,-0.34,33.8,29.33,-4.47,9.32,14.44,5.12,71,75,4.0,-101.68,-58.82,42.86,-124.36,-98.94,25.42,-226.04,-157.76,68.28
btc-poc-fibonacci,BTC POC Fibonacci,standard,5y,2021-09-05,2026-09-05,2021-10-04T16:15:00,2026-08-08T18:00:00,2021-09-09T21:00:00,2026-08-08T18:00:00,100%,22%,44.3,27.86,-16.44,1.47,1.23,-0.24,33.33,28.36,-4.97,14.1,14.58,0.48,114,134,20.0,-243.24,-197.72,45.52,-176.81,-136.08,40.73,-420.05,-333.8,86.25
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,standard,6m,2026-03-05,2026-09-05,2026-03-08T20:32:35,2026-08-10T01:49:35,2026-03-08T20:32:35,2026-08-10T01:49:35,100%,100%,8.87,9.03,0.16,2.68,2.76,0.08,58.33,58.33,0.0,2.05,2.12,0.07,12,12,0.0,-22.15,-10.14,12.01,0.0,0.0,0.0,-22.15,-10.14,12.01
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,standard,1y,2025-09-05,2026-09-05,2025-09-08T03:21:14,2026-08-10T01:49:35,2025-09-08T03:56:42,2026-08-10T01:49:35,100%,100%,12.74,8.69,-4.05,1.92,1.58,-0.34,50.0,44.44,-5.56,3.84,4.63,0.79,26,27,1.0,-47.28,-21.74,25.54,0.0,0.0,0.0,-47.28,-21.74,25.54
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,standard,3y,2023-09-05,2026-09-05,2023-10-25T07:22:18,2026-08-10T01:49:35,2023-09-05T09:00:24,2026-08-10T01:49:35,100%,37%,15.41,12.23,-3.18,1.29,1.24,-0.05,41.57,39.47,-2.1,8.05,7.41,-0.64,89,76,-13.0,-139.45,-55.6,83.85,-44.08,-4.83,39.25,-183.53,-60.43,123.1
btc-top-down-fvg-liquidity,BTC Top Down FVG Liquidity,standard,5y,2021-09-05,2026-09-05,2021-09-25T16:32:36,2026-08-10T01:49:35,2021-09-25T16:32:24,2026-08-10T01:49:35,100%,22%,14.91,32.19,17.28,1.21,1.37,0.16,40.17,43.36,3.19,10.25,7.45,-2.8,117,113,-4.0,-217.44,-157.36,60.08,-65.22,-28.8,36.42,-282.66,-186.16,96.5
