entry,exit,direction,pnl,r,reason,tag
2022-01-20 20:45:00+00:00,2022-01-20 20:55:00+00:00,-1,28.561583144629978,0.28561583144629976,time,Paper ATR-open trend
2022-01-21 20:15:00+00:00,2022-01-21 20:55:00+00:00,-1,10.593353087267387,0.10563182964416375,time,Paper ATR-open trend
2022-01-24 16:45:00+00:00,2022-01-24 19:00:00+00:00,-1,-100.54275484997349,-1.001506157526355,stop,Paper ATR-open trend
2022-01-26 20:15:00+00:00,2022-01-26 20:55:00+00:00,-1,-13.91661056045922,-0.14002569278766416,time,Paper ATR-open trend
2022-01-27 18:30:00+00:00,2022-01-27 20:55:00+00:00,-1,-10.100130285574075,-0.10176765839819195,time,Paper ATR-open trend
2022-01-31 19:15:00+00:00,2022-01-31 20:55:00+00:00,1,29.45890721344161,0.2971266693646285,time,Paper ATR-open trend
2022-02-11 18:45:00+00:00,2022-02-11 20:55:00+00:00,-1,16.818777200880053,0.16913400322160044,time,Paper ATR-open trend
2022-02-17 20:15:00+00:00,2022-02-17 20:55:00+00:00,-1,6.713630343375886,0.0674000186445447,time,Paper ATR-open trend
2022-02-18 17:45:00+00:00,2022-02-18 20:55:00+00:00,-1,-20.270283180265707,-0.20336199401024085,time,Paper ATR-open trend
2022-02-23 16:30:00+00:00,2022-02-23 20:55:00+00:00,-1,85.91785818240996,0.8637290109676844,time,Paper ATR-open trend
2022-02-24 15:15:00+00:00,2022-02-24 20:55:00+00:00,1,190.97038530346393,1.9033781033781056,time,Paper ATR-open trend
2022-03-03 20:15:00+00:00,2022-03-03 20:55:00+00:00,-1,-2.951517110766423,-0.0288679383176205,time,Paper ATR-open trend
2022-03-07 18:15:00+00:00,2022-03-07 20:55:00+00:00,-1,49.71354597860754,0.48637427342040035,time,Paper ATR-open trend
2022-03-11 20:45:00+00:00,2022-03-11 20:55:00+00:00,-1,8.960376705810019,0.08723985705276444,time,Paper ATR-open trend
2022-03-22 16:30:00+00:00,2022-03-22 19:55:00+00:00,1,-12.58819775084896,-0.12245415363813159,time,Paper ATR-open trend
2022-04-04 15:15:00+00:00,2022-04-04 19:55:00+00:00,1,25.921663915347555,0.25246720799500133,time,Paper ATR-open trend
2022-04-05 14:45:00+00:00,2022-04-05 19:55:00+00:00,-1,53.75797768251497,0.5222638368705774,time,Paper ATR-open trend
2022-04-12 18:15:00+00:00,2022-04-12 19:55:00+00:00,-1,7.353621361060067,0.07106995425639259,time,Paper ATR-open trend
2022-04-13 16:30:00+00:00,2022-04-13 19:55:00+00:00,1,27.645109052162507,0.2669897175274812,time,Paper ATR-open trend
2022-04-14 16:30:00+00:00,2022-04-14 19:55:00+00:00,-1,37.661449531768874,0.3627565670530683,time,Paper ATR-open trend
2022-04-19 14:45:00+00:00,2022-04-19 19:55:00+00:00,1,18.886834033902286,0.1812611933264166,time,Paper ATR-open trend
2022-04-20 16:15:00+00:00,2022-04-20 19:55:00+00:00,-1,-4.5447514019616975,-0.04353808353807956,time,Paper ATR-open trend
2022-04-21 16:30:00+00:00,2022-04-21 19:55:00+00:00,-1,89.99161371386614,0.8624825961229498,time,Paper ATR-open trend
2022-04-22 17:30:00+00:00,2022-04-22 19:55:00+00:00,-1,45.95936117433256,0.4367094910865458,time,Paper ATR-open trend
2022-04-26 14:45:00+00:00,2022-04-26 19:55:00+00:00,-1,40.41598382888332,0.3823660515289316,time,Paper ATR-open trend
2022-04-28 18:45:00+00:00,2022-04-28 19:55:00+00:00,1,-24.501688346988153,-0.23092170465807457,time,Paper ATR-open trend
