entry,exit,direction,pnl,r,reason,tag
2021-10-25 14:00:00+00:00,2021-10-25 19:55:00+00:00,1,-33.117782909931606,-0.3311778290993161,time,NY ORB
2021-10-26 14:20:00+00:00,2021-10-26 19:55:00+00:00,-1,-78.27021764123334,-0.7853029255931663,time,NY ORB
2021-10-27 14:30:00+00:00,2021-10-27 17:15:00+00:00,-1,-82.36772806797134,-0.8329554043839752,fast-alpha stop confirmation,NY ORB
2021-11-03 14:20:00+00:00,2021-11-03 19:55:00+00:00,-1,-9.307314174315756,-0.09491211840886714,time,NY ORB
2021-11-04 14:05:00+00:00,2021-11-04 19:50:00+00:00,1,-4.243087178706602,-0.04331034482757818,time,NY ORB
2021-11-05 14:35:00+00:00,2021-11-05 19:55:00+00:00,1,102.05805353666278,1.0421856834412881,time,NY ORB
2021-11-09 15:15:00+00:00,2021-11-09 18:05:00+00:00,-1,-86.52126487230373,-0.874415705827369,fast-alpha stop confirmation,NY ORB
2021-11-12 15:15:00+00:00,2021-11-12 20:55:00+00:00,1,93.68567481812106,0.9551740581783262,time,NY ORB
2021-11-19 15:55:00+00:00,2021-11-19 17:40:00+00:00,-1,294.5844839280094,2.9750249750249758,target,NY ORB
2021-11-30 15:00:00+00:00,2021-11-30 15:50:00+00:00,1,-118.18477044758153,-1.1590718479172655,fast-alpha stop confirmation,NY ORB
2021-12-02 15:05:00+00:00,2021-12-02 20:55:00+00:00,-1,-17.216999774483945,-0.17083210820348024,time,NY ORB
2021-12-06 15:20:00+00:00,2021-12-06 20:55:00+00:00,1,-26.68849772914797,-0.26526423807081223,time,NY ORB
2021-12-08 15:10:00+00:00,2021-12-08 20:55:00+00:00,1,40.24308258901048,0.4010507880910594,time,NY ORB
2021-12-09 15:10:00+00:00,2021-12-09 20:55:00+00:00,-1,-5.799139201873309,-0.05756167322129819,time,NY ORB
2021-12-20 15:05:00+00:00,2021-12-20 19:53:00+00:00,-1,298.30298363044466,2.9626307922272024,target,NY ORB
2021-12-29 14:55:00+00:00,2021-12-29 20:50:00+00:00,1,169.44740900983976,1.6344635392474933,time,NY ORB
2022-01-19 15:20:00+00:00,2022-01-19 20:55:00+00:00,1,50.12486287590313,0.47572119691812265,time,NY ORB
2022-01-21 15:35:00+00:00,2022-01-21 20:55:00+00:00,-1,74.97570707493824,0.7082046000686588,time,NY ORB
2022-01-24 15:10:00+00:00,2022-01-24 18:15:00+00:00,-1,-118.22946438427091,-1.1089170009256297,fast-alpha stop confirmation,NY ORB
2022-01-25 15:00:00+00:00,2022-01-25 20:50:00+00:00,1,-29.821578150970133,-0.2828438948995253,time,NY ORB
2022-02-03 15:00:00+00:00,2022-02-03 15:45:00+00:00,-1,-104.62563339298839,-0.9951405028523228,fast-alpha stop confirmation,NY ORB
2022-02-11 15:35:00+00:00,2022-02-11 20:03:00+00:00,1,311.5137329831804,2.992726214722141,target,NY ORB
2022-02-18 15:50:00+00:00,2022-02-18 20:55:00+00:00,-1,-74.04083622992007,-0.6906444906444718,time,NY ORB
2022-02-22 15:15:00+00:00,2022-02-22 20:55:00+00:00,-1,-23.471245197647658,-0.22045969569438714,time,NY ORB
2022-02-23 15:10:00+00:00,2022-02-23 20:55:00+00:00,1,52.42789510354751,0.4935304990758123,time,NY ORB
2022-02-24 15:00:00+00:00,2022-02-24 20:55:00+00:00,-1,191.34876027279677,1.7924172848227946,time,NY ORB
2022-03-07 15:50:00+00:00,2022-03-07 20:55:00+00:00,1,74.7551813906884,0.6879222277146197,time,NY ORB
2022-03-08 14:55:00+00:00,2022-03-08 20:50:00+00:00,1,76.5315067498455,0.6994568497284196,time,NY ORB
2022-03-10 15:05:00+00:00,2022-03-10 20:55:00+00:00,-1,16.811722659973263,0.15258286055537673,time,NY ORB
2022-03-15 14:25:00+00:00,2022-03-15 14:50:00+00:00,-1,-64.01200591489744,-0.5800865800865814,fast-alpha stop confirmation,NY ORB
2022-03-24 14:40:00+00:00,2022-03-24 19:55:00+00:00,1,46.59971764566882,0.4247577253611144,time,NY ORB
2022-03-28 14:10:00+00:00,2022-03-28 19:15:00+00:00,1,-197.42718580533682,-1.7919428862824724,fast-alpha stop confirmation,NY ORB
2022-04-04 14:05:00+00:00,2022-04-04 19:55:00+00:00,-1,-34.46270557708144,-0.3185073501696155,time,NY ORB
2022-04-05 14:30:00+00:00,2022-04-05 19:55:00+00:00,-1,126.31763138205122,1.1711688967432645,time,NY ORB
2022-04-08 14:35:00+00:00,2022-04-08 19:55:00+00:00,1,-27.975089689339075,-0.2563718140929417,time,NY ORB
2022-04-11 14:05:00+00:00,2022-04-11 19:50:00+00:00,-1,-6.438514308050417,-0.0591560670300706,time,NY ORB
2022-04-12 15:00:00+00:00,2022-04-12 19:05:00+00:00,1,-81.37929051305498,-0.7481428229091702,fast-alpha stop confirmation,NY ORB
2022-04-18 14:45:00+00:00,2022-04-18 19:55:00+00:00,-1,88.93411952254822,0.8237593984962505,time,NY ORB
2022-04-20 14:10:00+00:00,2022-04-20 19:55:00+00:00,1,103.50302978563992,0.9508721965112104,time,NY ORB
2022-04-22 15:20:00+00:00,2022-04-22 19:55:00+00:00,-1,-22.479385093946387,-0.20457070306301037,time,NY ORB
2022-04-26 14:05:00+00:00,2022-04-26 19:55:00+00:00,-1,98.70009312806499,0.9000485201357956,time,NY ORB
2022-05-03 14:00:00+00:00,2022-05-03 19:55:00+00:00,1,-69.22164232393921,-0.6256030878095763,time,NY ORB
2022-05-05 14:00:00+00:00,2022-05-05 19:50:00+00:00,-1,187.74780627173047,1.7074867798497473,time,NY ORB
2022-05-06 14:00:00+00:00,2022-05-06 19:50:00+00:00,1,44.74154145259958,0.4000741564701469,time,NY ORB
2022-05-09 14:25:00+00:00,2022-05-09 19:55:00+00:00,-1,79.69459370362655,0.7097810218978219,time,NY ORB
2022-05-10 14:55:00+00:00,2022-05-10 19:55:00+00:00,-1,73.02389899175967,0.6457863902658988,time,NY ORB
2022-05-13 14:20:00+00:00,2022-05-13 19:55:00+00:00,1,-41.31124885808787,-0.36299161831077625,time,NY ORB
2022-05-17 13:55:00+00:00,2022-05-17 18:35:00+00:00,-1,338.1191024415063,2.981791697013839,target,NY ORB
2022-05-19 14:20:00+00:00,2022-05-19 19:55:00+00:00,1,-7.953539504110096,-0.0681094844048383,time,NY ORB
2022-05-31 14:15:00+00:00,2022-05-31 19:55:00+00:00,-1,121.83936319402808,1.0440725244072764,time,NY ORB
2022-06-03 15:10:00+00:00,2022-06-03 19:55:00+00:00,-1,100.60689853061734,0.8532179149416756,time,NY ORB
2022-06-06 15:25:00+00:00,2022-06-06 19:55:00+00:00,-1,8.511708466269043,0.07157464212678075,time,NY ORB
2022-06-07 14:00:00+00:00,2022-06-07 19:50:00+00:00,1,31.133169330627336,0.26161042432341636,time,NY ORB
2022-06-09 14:20:00+00:00,2022-06-09 19:55:00+00:00,-1,-77.14833863691842,-0.6465820048635458,time,NY ORB
2022-06-10 14:45:00+00:00,2022-06-10 19:55:00+00:00,1,137.29950701482676,1.1581990404723659,time,NY ORB
2022-06-27 15:10:00+00:00,2022-06-27 19:55:00+00:00,-1,39.90596752559753,0.3327752197572084,time,NY ORB
2022-06-29 14:05:00+00:00,2022-06-29 19:55:00+00:00,-1,-8.834905062207351,-0.07342977476651406,time,NY ORB
2022-06-30 14:55:00+00:00,2022-06-30 19:55:00+00:00,-1,13.279816958471548,0.1104539919986152,time,NY ORB
2022-07-01 14:25:00+00:00,2022-07-01 19:55:00+00:00,1,35.55831759139221,0.29542762378583853,time,NY ORB
2022-07-05 14:15:00+00:00,2022-07-05 19:55:00+00:00,-1,44.245370104440354,0.366519085796337,time,NY ORB
2022-07-12 13:55:00+00:00,2022-07-12 15:15:00+00:00,-1,-98.51646934016402,-0.8131089459699132,fast-alpha stop confirmation,NY ORB
2022-07-13 15:10:00+00:00,2022-07-13 19:55:00+00:00,1,-44.77484675052558,-0.3725801647969868,time,NY ORB
2022-07-22 13:55:00+00:00,2022-07-22 18:25:00+00:00,1,-132.90668463623967,-1.1100781745193333,fast-alpha stop confirmation,NY ORB
2022-07-25 14:10:00+00:00,2022-07-25 19:55:00+00:00,-1,26.151221929288226,0.220875065893492,time,NY ORB
2022-08-01 14:20:00+00:00,2022-08-01 14:35:00+00:00,1,-148.50295078532739,-1.2515021459227795,fast-alpha stop confirmation,NY ORB
2022-08-02 13:55:00+00:00,2022-08-02 14:25:00+00:00,-1,-232.41109693564985,-1.9834574028122567,fast-alpha stop confirmation,NY ORB
2022-08-04 14:20:00+00:00,2022-08-04 19:50:00+00:00,1,83.64261755745756,0.7282730743319218,time,NY ORB
2022-08-08 14:05:00+00:00,2022-08-08 19:50:00+00:00,1,134.7294933649655,1.1646030589948457,time,NY ORB
2022-08-09 15:05:00+00:00,2022-08-09 19:55:00+00:00,-1,-35.946521934253894,-0.3071450665017109,time,NY ORB
2022-08-12 14:10:00+00:00,2022-08-12 15:45:00+00:00,-1,-129.4817373062035,-1.1097653292959737,fast-alpha stop confirmation,NY ORB
2022-08-23 13:55:00+00:00,2022-08-23 19:50:00+00:00,1,2.97248016050983,0.025762511104527083,time,NY ORB
2022-08-25 13:55:00+00:00,2022-08-25 17:20:00+00:00,-1,-82.44322062743848,-0.714352066883432,fast-alpha stop confirmation,NY ORB
2022-09-01 14:10:00+00:00,2022-09-01 15:20:00+00:00,-1,-91.90264478397405,-0.802045288531833,fast-alpha stop confirmation,NY ORB
