family,asset,overlay,parameters,full_initial,full_final,full_net,full_return_pct,full_cagr_pct,full_max_equity_dd_pct,full_profit_factor,full_win_rate_pct,full_wins,full_losses,full_trades,full_gross_profit,full_gross_loss,full_first,full_last,full_fast_overlay,last_year_initial,last_year_final,last_year_net,last_year_return_pct,last_year_cagr_pct,last_year_max_equity_dd_pct,last_year_profit_factor,last_year_win_rate_pct,last_year_wins,last_year_losses,last_year_trades,last_year_gross_profit,last_year_gross_loss,last_year_first,last_year_last,last_year_fast_overlay
trend_swing,XAU,baseline,"{""lookback"": 80, ""ema"": 50, ""stop_atr"": 2.5, ""rr"": 3.0}",10000.0,14535.423209619163,4535.423209619163,45.35423209619162,7.7813082206313,9.5374461805398,1.5178221956757123,36.97478991596639,44,75,119,13294.07289187317,-8758.649682254016,2021-08-10 11:31:00+00:00,2026-08-07 20:55:00+00:00,False,10000.0,11691.69916090064,1691.69916090064,16.916991609006395,16.979760605623785,7.771298840528402,1.916020720130078,40.74074074074074,11,16,27,3538.4905311443254,-1846.7913702436883,2025-08-08 00:00:00+00:00,2026-08-07 20:55:00+00:00,False
trend_swing,XAU,fast_alpha,"{""lookback"": 80, ""ema"": 50, ""stop_atr"": 2.5, ""rr"": 3.0}",10000.0,15288.615760385128,5288.615760385128,52.88615760385127,8.877808456785786,9.864823176760382,1.6643197906005707,38.793103448275865,45,71,116,13249.564440845206,-7960.948680460078,2021-08-10 11:31:00+00:00,2026-08-07 20:55:00+00:00,True,10000.0,12858.27642083402,2858.2764208340195,28.582764208340205,28.69382189411167,5.459910799992367,2.8732698716670972,50.0,13,13,26,4384.098441496917,-1525.8220206628985,2025-08-08 00:00:00+00:00,2026-08-07 20:55:00+00:00,True
orb,XAU,baseline,"{""opening_minutes"": 15, ""opening_rv"": 0.8, ""breakout_rv"": 1.2, ""body"": 0.7, ""rr"": 3.0}",10000.0,11399.987768556359,1399.9877685563588,13.99987768556359,2.6599779452262773,26.98077607766726,1.0671056904856298,42.47191011235955,189,256,445,22262.41774170736,-20862.429973150964,2021-08-10 11:31:00+00:00,2026-08-07 20:55:00+00:00,False,10000.0,10917.72884189065,917.7288418906501,9.177288418906503,9.210212612124536,6.8562324052404575,1.2138732604300597,39.361702127659576,37,57,94,5208.7226764881625,-4290.993834597509,2025-08-08 00:00:00+00:00,2026-08-07 20:55:00+00:00,False
orb,XAU,fast_alpha,"{""opening_minutes"": 15, ""opening_rv"": 0.8, ""breakout_rv"": 1.2, ""body"": 0.7, ""rr"": 3.0}",10000.0,10767.208745296564,767.2087452965643,7.672087452965637,1.4920613015027229,27.420737948865554,1.038242553124869,44.00921658986175,191,243,434,20828.859514048465,-20061.650768751904,2021-08-10 11:31:00+00:00,2026-08-07 20:55:00+00:00,True,10000.0,11029.940411166188,1029.940411166188,10.29940411166188,10.336541087568207,8.725942498563102,1.2468941547101795,45.05494505494506,41,50,91,5201.527269409955,-4171.586858243767,2025-08-08 00:00:00+00:00,2026-08-07 20:55:00+00:00,True
vwap,US100,baseline,"{""band_atr"": 0.25, ""stop_mode"": ""open"", ""rr"": 1.5}",10000.0,13418.392483723803,3418.392483723803,34.183924837238024,6.613725898885381,17.428638840235415,1.0619612578322932,46.877673224978615,548,621,1169,58588.2293029852,-55169.8368192614,2022-01-02 23:00:00+00:00,2026-08-07 20:59:00+00:00,False,10000.0,12302.370831076305,2302.370831076305,23.02370831076306,23.111278478625884,13.337393546956822,1.2215688498803539,47.84313725490196,122,133,255,12693.591583991607,-10391.2207529153,2025-08-08 00:00:00+00:00,2026-08-07 20:59:00+00:00,False
vwap,US100,fast_alpha,"{""band_atr"": 0.25, ""stop_mode"": ""open"", ""rr"": 1.5}",10000.0,19792.705566139382,9792.705566139382,97.92705566139381,16.03225130338779,21.55306803654698,1.1498168233675956,49.49771689497717,542,553,1095,75157.23103142547,-65364.52546528602,2022-01-02 23:00:00+00:00,2026-08-07 20:59:00+00:00,True,10000.0,11674.126203866419,1674.126203866419,16.741262038664196,16.80333335632085,10.408290210778599,1.1618241927207131,46.913580246913575,114,129,243,12019.46564736812,-10345.339443501705,2025-08-08 00:00:00+00:00,2026-08-07 20:59:00+00:00,True
supply_demand,US30,baseline,"{""impulse_atr"": 1.2, ""expiry"": 6, ""buffer_atr"": 0.3, ""rr"": 2.0}",10000.0,8809.158131823246,-1190.8418681767544,-11.908418681767541,-2.7237694569313575,20.42017813374405,0.9118078219296317,32.71028037383177,70,144,214,12311.964097524477,-13502.80596570123,2022-01-02 23:00:00+00:00,2026-08-07 20:59:00+00:00,False,10000.0,9799.784838154246,-200.21516184575376,-2.002151618457537,-2.0089576095914774,10.240045052606508,0.9244809076326232,32.5,13,27,40,2450.9708570721155,-2651.186018917872,2025-08-08 00:00:00+00:00,2026-08-07 20:59:00+00:00,False
supply_demand,US30,fast_alpha,"{""impulse_atr"": 1.2, ""expiry"": 6, ""buffer_atr"": 0.3, ""rr"": 2.0}",10000.0,9196.135637362331,-803.8643626376688,-8.038643626376684,-1.808642949963779,16.92223538723449,0.9382386428225445,34.5,69,131,200,12211.788132302994,-13015.652494940663,2022-01-02 23:00:00+00:00,2026-08-07 20:59:00+00:00,True,10000.0,9825.727153715357,-174.27284628464258,-1.7427284628464212,-1.748660474569741,10.401209142060281,0.9355610135480298,33.33333333333333,13,26,39,2530.190024411514,-2704.4628706961603,2025-08-08 00:00:00+00:00,2026-08-07 20:59:00+00:00,True
paper_atr_open,US100,baseline,"{""band_atr"": 0.7}",10000.0,11775.61236209363,1775.6123620936305,17.756123620936304,3.6239590947426015,7.635320683195879,1.188402846923856,54.337899543378995,238,200,438,11200.164013434818,-9424.551651341208,2022-01-02 23:00:00+00:00,2026-08-07 20:59:00+00:00,False,10000.0,9882.698996641035,-117.30100335896532,-1.1730100335896498,-1.1770144277755579,3.8449488856938134,0.9364093253771912,47.05882352941176,40,45,85,1727.3248644233959,-1844.6258677823603,2025-08-08 00:00:00+00:00,2026-08-07 20:59:00+00:00,False
paper_atr_open,US100,fast_alpha,"{""band_atr"": 0.7}",10000.0,11938.388131455747,1938.3881314557475,19.383881314557485,3.9342639246003674,8.082033295300542,1.212400541265002,54.77855477855478,235,194,429,11064.486021372668,-9126.09788991692,2022-01-02 23:00:00+00:00,2026-08-07 20:59:00+00:00,True,10000.0,9799.243929715123,-200.75607028487684,-2.007560702848765,-2.0143848916675755,4.152061182909403,0.8943685614670008,46.42857142857143,39,45,84,1699.7772659355528,-1900.5333362204378,2025-08-08 00:00:00+00:00,2026-08-07 20:59:00+00:00,True
