starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,symbol
300.0,426.27,126.27,42.09,86,39,47,45.35,9.43,0.1096,0.0213,39.39,US30
300.0,403.18,103.18,34.39,22,10,12,45.45,7.04,0.32,0.0001,15.14,XAUUSD
