non_news_risk_pct,non_news_daily_stop_pct,max_open_risk_pct,pass_probability_pct,failures,timeouts,median_days_if_passed
0.2,1.0,2.0,39.33,86,96,468.5
0.2,1.0,3.0,39.33,86,96,468.5
0.2,1.5,2.0,39.0,86,97,463
0.2,1.5,3.0,39.0,86,97,463
0.2,2.0,2.0,39.33,86,96,468.5
0.2,2.0,3.0,39.33,86,96,468.5
0.25,1.0,2.0,46.0,79,83,439.5
0.25,1.0,3.0,46.0,79,83,439.5
0.25,1.5,2.0,45.33,81,83,439.0
0.25,1.5,3.0,45.33,81,83,439.0
0.25,2.0,2.0,45.33,81,83,439.5
0.25,2.0,3.0,45.33,81,83,439.5
0.35,1.0,2.0,57.33,74,54,375.0
0.35,1.0,3.0,57.33,74,54,375.0
0.35,1.5,2.0,57.0,75,54,374
0.35,1.5,3.0,57.0,75,54,374
0.35,2.0,2.0,57.0,75,54,374
0.35,2.0,3.0,57.0,75,54,374
0.5,1.0,2.0,66.0,65,37,280.0
0.5,1.0,3.0,66.33,65,36,280
0.5,1.5,2.0,66.0,66,36,282.0
0.5,1.5,3.0,66.0,66,36,280.0
0.5,2.0,2.0,66.33,66,35,286
0.5,2.0,3.0,66.33,66,35,284
