policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,spread_r,spread_points,atr_percentile,session_metric,stop_mode,rr_mode,entry_model,htf_agreement,htf_biases,htf_reason
production_current,LTA,ETHUSD,M15,2026-07,2026-07-01 17:45:00,2026-07-01 18:30:00,BUY,1621.04,1603.3625,1.0,1616.78,timeout,-0.241,91,9.85,0.0001,100.0,0.8854,,"live_adaptive(vol=1.00,volume=1.00)",static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
production_current,LTA,EURUSD,M15,2026-07,2026-07-01 12:30:00,2026-07-01 13:30:00,SELL,1.13731,1.14009,1.0,1.14009,loss,-1.0288,100,0.000606,0.0288,8.0,0.7604,,"live_adaptive(vol=1.00,volume=1.00)",static,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,"{""D1"": ""bearish"", ""H1"": ""bearish"", ""H4"": ""ranging""}",passed
production_current,LTA,USDJPY,M15,2026-07,2026-07-01 17:00:00,2026-07-01 18:45:00,BUY,162.478,162.34078,1.0,162.54,timeout,0.379,94,0.088143,0.0729,10.0,0.8958,,"live_adaptive(vol=1.00,volume=1.00)",static,Entry Model 1 - Double Wick Confirmation,True,"{""D1"": ""bullish"", ""H1"": ""ranging"", ""H4"": ""bullish""}",passed
production_current,LTA,USDJPY,M30,2026-06,2026-06-30 00:30:00,2026-06-30 12:00:00,BUY,162.129,161.82904,1.0,162.42896,win,0.9667,98,0.066429,0.0333,10.0,0.7083,,"live_adaptive(vol=1.00,volume=1.00)",static,Entry Model 2 - Internal Swing Confirmation,True,"{""D1"": ""bullish"", ""H1"": ""bullish"", ""H4"": ""bullish""}",passed
production_current,LTA,USDCHF,M30,2026-07,2026-07-01 12:30:00,2026-07-01 13:30:00,BUY,0.81146,0.80937,1.0,0.80937,loss,-1.0622,98,0.000642,0.0622,13.0,0.6458,,"live_adaptive(vol=1.00,volume=1.00)",static,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,"{""D1"": ""bullish"", ""H1"": ""bullish"", ""H4"": ""ranging""}",passed
challenge20_current,LTA,XAUUSD,M15,2026-06,2026-06-30 03:45:00,2026-06-30 04:30:00,BUY,3969.724,3949.86564,1.304,3995.626209,win,1.3042,93,15.355714,0.0001,240.0,0.9688,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,{},not_forex
challenge20_current,LTA,XAUUSD,M15,2026-06,2026-06-30 05:15:00,2026-06-30 06:15:00,SELL,3982.685,3999.57499,1.304,3999.57499,loss,-1.0001,97,10.026571,0.0001,240.0,0.6771,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,XAUUSD,M15,2026-07,2026-07-01 05:30:00,2026-07-01 06:00:00,BUY,3974.701,3968.69354,1.304,3968.69354,loss,-1.0004,93,6.696429,0.0004,240.0,0.2812,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,XAUUSD,M15,2026-07,2026-07-01 07:00:00,2026-07-01 08:15:00,SELL,3961.667,3980.0514,1.304,3980.0514,loss,-1.0001,98,7.702643,0.0001,240.0,0.4896,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 2 - Internal Swing Confirmation,True,{},not_forex
challenge20_current,LTA,XAUUSD,M15,2026-07,2026-07-01 07:45:00,2026-07-01 11:00:00,BUY,3976.152,3958.62282,1.304,3999.016148,win,1.3042,100,8.947857,0.0001,240.0,0.6771,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,XAUUSD,M15,2026-07,2026-07-01 11:30:00,2026-07-01 13:30:00,BUY,4029.326,3980.10619,1.304,4093.525752,win,1.3043,100,8.578714,0.0,240.0,0.6562,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,XAGUSD,M15,2026-07,2026-07-01 05:30:00,2026-07-01 06:00:00,BUY,57.582,57.3477,1.304,57.3477,loss,-1.0013,95,0.222,0.0013,30.0,0.2708,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,BTCUSD,M15,2026-06,2026-06-30 07:15:00,2026-06-30 11:30:00,SELL,59382.55,59654.56861,1.304,59027.743117,win,1.3043,91,160.390714,0.0,1000.0,0.1979,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,BTCUSD,M15,2026-06,2026-06-30 08:00:00,2026-06-30 12:00:00,SELL,59334.78,59652.63254,1.304,58920.18973,win,1.3043,91,147.483571,0.0,1000.0,0.1042,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,BTCUSD,M30,2026-06,2026-06-30 18:30:00,2026-07-01 01:00:00,BUY,58577.2,58020.80379,1.304,58020.80379,loss,-1.0,98,420.641429,0.0,1000.0,0.7708,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,BTCUSD,M30,2026-07,2026-07-01 02:00:00,2026-07-01 15:00:00,BUY,58857.14,57657.79854,1.304,60421.498426,win,1.3043,92,288.076429,0.0,1000.0,0.4583,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,ETHUSD,M15,2026-07,2026-07-01 17:45:00,2026-07-01 18:30:00,BUY,1621.04,1603.3625,1.304,1616.78,timeout,-0.241,91,9.85,0.0001,100.0,0.8854,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
challenge20_current,LTA,EURUSD,M15,2026-07,2026-07-01 12:30:00,2026-07-01 13:30:00,SELL,1.13731,1.14009,1.304,1.14009,loss,-1.0288,100,0.000606,0.0288,8.0,0.7604,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,"{""D1"": ""bearish"", ""H1"": ""bearish"", ""H4"": ""ranging""}",passed
challenge20_current,LTA,USDJPY,M15,2026-07,2026-07-01 17:00:00,2026-07-01 18:45:00,BUY,162.478,162.34078,1.304,162.54,timeout,0.379,94,0.088143,0.0729,10.0,0.8958,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation,True,"{""D1"": ""bullish"", ""H1"": ""ranging"", ""H4"": ""bullish""}",passed
challenge20_current,LTA,USDJPY,M30,2026-06,2026-06-30 00:30:00,2026-06-30 12:30:00,BUY,162.129,161.82904,1.304,162.129,trail_stop,-0.0333,98,0.066429,0.0333,10.0,0.7083,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 2 - Internal Swing Confirmation,True,"{""D1"": ""bullish"", ""H1"": ""bullish"", ""H4"": ""bullish""}",passed
challenge20_current,LTA,USDCHF,M30,2026-07,2026-07-01 12:30:00,2026-07-01 13:30:00,BUY,0.81146,0.80937,1.304,0.80937,loss,-1.0622,98,0.000642,0.0622,13.0,0.6458,,"live_adaptive(vol=1.00,volume=1.00)",challenge20,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,"{""D1"": ""bullish"", ""H1"": ""bullish"", ""H4"": ""ranging""}",passed
fixed_current,LTA,XAUUSD,M15,2026-06,2026-06-30 03:45:00,2026-06-30 12:45:00,BUY,3969.724,3949.86564,6.0,4009.44072,trail_stop,1.9999,93,15.355714,0.0001,240.0,0.9688,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 4 - High Volume Continuation,True,{},not_forex
fixed_current,LTA,XAUUSD,M15,2026-06,2026-06-30 05:15:00,2026-06-30 06:15:00,SELL,3982.685,3999.57499,6.0,3999.57499,loss,-1.0001,97,10.026571,0.0001,240.0,0.6771,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
fixed_current,LTA,XAUUSD,M15,2026-07,2026-07-01 05:30:00,2026-07-01 06:00:00,BUY,3974.701,3968.69354,6.0,3968.69354,loss,-1.0004,93,6.696429,0.0004,240.0,0.2812,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
fixed_current,LTA,XAUUSD,M15,2026-07,2026-07-01 07:00:00,2026-07-01 08:15:00,SELL,3961.667,3980.0514,6.0,3980.0514,loss,-1.0001,98,7.702643,0.0001,240.0,0.4896,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 2 - Internal Swing Confirmation,True,{},not_forex
fixed_current,LTA,XAUUSD,M15,2026-07,2026-07-01 07:45:00,2026-07-01 13:30:00,BUY,3976.152,3958.62282,6.0,4081.32708,win,5.9999,100,8.947857,0.0001,240.0,0.6771,,structure,static,Entry Model 1 - Double Wick Confirmation,True,{},not_forex
