bot,symbol,timeframe,status,candles,broker_symbol
LTA,XAUUSD,M15,ok,3089,XAUUSDm
LTA,XAUUSD,M30,ok,1545,XAUUSDm
LTA,XAUUSD,H1,ok,773,XAUUSDm
LTA,XAGUSD,M15,ok,3089,XAGUSDm
LTA,XAGUSD,M30,ok,1545,XAGUSDm
LTA,XAGUSD,H1,ok,773,XAGUSDm
LTA,BTCUSD,M15,ok,4591,BTCUSDm
LTA,BTCUSD,M30,ok,2296,BTCUSDm
LTA,BTCUSD,H1,ok,1148,BTCUSDm
LTA,ETHUSD,M15,ok,4591,ETHUSDm
LTA,ETHUSD,M30,ok,2296,ETHUSDm
LTA,ETHUSD,H1,ok,1148,ETHUSDm
LTA,EURUSD,M15,ok,3247,EURUSDm
LTA,EURUSD,M30,ok,1624,EURUSDm
LTA,EURUSD,H1,ok,812,EURUSDm
LTA,GBPUSD,M15,ok,3247,GBPUSDm
LTA,GBPUSD,M30,ok,1624,GBPUSDm
LTA,GBPUSD,H1,ok,812,GBPUSDm
LTA,USDJPY,M15,ok,3248,USDJPYm
LTA,USDJPY,M30,ok,1624,USDJPYm
LTA,USDJPY,H1,ok,812,USDJPYm
LTA,USDCHF,M15,ok,3248,USDCHFm
LTA,USDCHF,M30,ok,1624,USDCHFm
LTA,USDCHF,H1,ok,812,USDCHFm
LTA,USDCAD,M15,ok,3248,USDCADm
LTA,USDCAD,M30,ok,1624,USDCADm
LTA,USDCAD,H1,ok,812,USDCADm
LTA,AUDUSD,M15,ok,3248,AUDUSDm
LTA,AUDUSD,M30,ok,1624,AUDUSDm
LTA,AUDUSD,H1,ok,812,AUDUSDm
LTA,NZDUSD,M15,ok,3248,NZDUSDm
LTA,NZDUSD,M30,ok,1624,NZDUSDm
LTA,NZDUSD,H1,ok,812,NZDUSDm
