policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,AUDUSD,1,0,1,0,0,0.0,-1.03,-1.034,0.0,1.3
challenge20_current,LTA,BTCUSD,4,3,1,0,0,75.0,2.91,0.728,3.91,1.3
challenge20_current,LTA,ETHUSD,1,0,0,0,1,0.0,-0.24,-0.241,0.0,1.3
challenge20_current,LTA,EURUSD,4,0,3,1,0,0.0,-3.18,-0.795,0.0,1.3
challenge20_current,LTA,GBPUSD,1,0,1,0,0,0.0,-1.08,-1.077,0.0,1.3
challenge20_current,LTA,NZDUSD,1,0,0,0,1,0.0,-0.24,-0.241,0.0,1.3
challenge20_current,LTA,USDCAD,3,1,1,1,0,33.33,0.06,0.021,1.05,1.3
challenge20_current,LTA,USDCHF,1,0,1,0,0,0.0,-1.06,-1.062,0.0,1.3
challenge20_current,LTA,USDJPY,2,0,0,1,1,0.0,0.35,0.173,11.38,1.3
challenge20_current,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.001,0.0,1.3
challenge20_current,LTA,XAUUSD,6,3,3,0,0,50.0,0.91,0.152,1.3,1.3
dynamic_aggressive,LTA,AUDUSD,1,0,1,0,0,0.0,-1.03,-1.034,0.0,6.0
dynamic_aggressive,LTA,BTCUSD,4,0,1,2,1,0.0,5.08,1.269,6.08,5.25
dynamic_aggressive,LTA,ETHUSD,1,0,0,0,1,0.0,-0.24,-0.241,0.0,4.0
dynamic_aggressive,LTA,EURUSD,4,0,3,1,0,0.0,-3.18,-0.795,0.0,5.0
dynamic_aggressive,LTA,GBPUSD,1,0,1,0,0,0.0,-1.08,-1.077,0.0,6.0
dynamic_aggressive,LTA,NZDUSD,1,0,0,0,1,0.0,-0.24,-0.241,0.0,4.0
dynamic_aggressive,LTA,USDCAD,3,0,1,2,0,0.0,0.76,0.253,1.65,6.0
dynamic_aggressive,LTA,USDCHF,1,0,1,0,0,0.0,-1.06,-1.062,0.0,6.0
dynamic_aggressive,LTA,USDJPY,2,0,0,1,1,0.0,0.35,0.173,11.38,5.0
dynamic_aggressive,LTA,XAGUSD,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
