policy,bot,symbol,month,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,AUDUSD,2026-07,1,0,1,0,0,0.0,-1.03,-1.034,0.0,1.3
challenge20_current,LTA,BTCUSD,2026-06,3,2,1,0,0,66.67,1.61,0.536,2.61,1.3
challenge20_current,LTA,BTCUSD,2026-07,1,1,0,0,0,100.0,1.3,1.304,1.3,1.3
challenge20_current,LTA,ETHUSD,2026-07,1,0,0,0,1,0.0,-0.24,-0.241,0.0,1.3
challenge20_current,LTA,EURUSD,2026-06,3,0,2,1,0,0.0,-2.15,-0.717,0.0,1.3
challenge20_current,LTA,EURUSD,2026-07,1,0,1,0,0,0.0,-1.03,-1.029,0.0,1.3
challenge20_current,LTA,GBPUSD,2026-06,1,0,1,0,0,0.0,-1.08,-1.077,0.0,1.3
challenge20_current,LTA,NZDUSD,2026-06,1,0,0,0,1,0.0,-0.24,-0.241,0.0,1.3
challenge20_current,LTA,USDCAD,2026-06,2,1,1,0,0,50.0,0.13,0.064,1.12,1.3
challenge20_current,LTA,USDCAD,2026-07,1,0,0,1,0,0.0,-0.06,-0.065,0.0,1.3
challenge20_current,LTA,USDCHF,2026-07,1,0,1,0,0,0.0,-1.06,-1.062,0.0,1.3
challenge20_current,LTA,USDJPY,2026-06,1,0,0,1,0,0.0,-0.03,-0.033,0.0,1.3
challenge20_current,LTA,USDJPY,2026-07,1,0,0,0,1,0.0,0.38,0.379,0.38,1.3
challenge20_current,LTA,XAGUSD,2026-07,1,0,1,0,0,0.0,-1.0,-1.001,0.0,1.3
challenge20_current,LTA,XAUUSD,2026-06,2,1,1,0,0,50.0,0.3,0.152,1.3,1.3
challenge20_current,LTA,XAUUSD,2026-07,4,2,2,0,0,50.0,0.61,0.152,1.3,1.3
dynamic_aggressive,LTA,AUDUSD,2026-07,1,0,1,0,0,0.0,-1.03,-1.034,0.0,6.0
dynamic_aggressive,LTA,BTCUSD,2026-06,3,0,1,2,0,0.0,4.0,1.333,5.0,5.33
dynamic_aggressive,LTA,BTCUSD,2026-07,1,0,0,0,1,0.0,1.08,1.075,1.08,5.0
dynamic_aggressive,LTA,ETHUSD,2026-07,1,0,0,0,1,0.0,-0.24,-0.241,0.0,4.0
dynamic_aggressive,LTA,EURUSD,2026-06,3,0,2,1,0,0.0,-2.15,-0.717,0.0,4.67
dynamic_aggressive,LTA,EURUSD,2026-07,1,0,1,0,0,0.0,-1.03,-1.029,0.0,6.0
dynamic_aggressive,LTA,GBPUSD,2026-06,1,0,1,0,0,0.0,-1.08,-1.077,0.0,6.0
dynamic_aggressive,LTA,NZDUSD,2026-06,1,0,0,0,1,0.0,-0.24,-0.241,0.0,4.0
dynamic_aggressive,LTA,USDCAD,2026-06,2,0,1,1,0,0.0,0.82,0.411,1.75,6.0
dynamic_aggressive,LTA,USDCAD,2026-07,1,0,0,1,0,0.0,-0.06,-0.065,0.0,6.0
dynamic_aggressive,LTA,USDCHF,2026-07,1,0,1,0,0,0.0,-1.06,-1.062,0.0,6.0
dynamic_aggressive,LTA,USDJPY,2026-06,1,0,0,1,0,0.0,-0.03,-0.033,0.0,6.0
dynamic_aggressive,LTA,USDJPY,2026-07,1,0,0,0,1,0.0,0.38,0.379,0.38,4.0
dynamic_aggressive,LTA,XAGUSD,2026-07,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
dynamic_aggressive,LTA,XAUUSD,2026-06,2,0,1,1,0,0.0,1.0,0.5,2.0,5.0
dynamic_aggressive,LTA,XAUUSD,2026-07,4,1,2,0,1,25.0,4.66,1.166,3.33,5.75
dynamic_balanced,LTA,AUDUSD,2026-07,1,0,1,0,0,0.0,-1.03,-1.034,0.0,4.0
dynamic_balanced,LTA,BTCUSD,2026-06,3,1,1,1,0,33.33,5.0,1.667,6.0,4.0
dynamic_balanced,LTA,BTCUSD,2026-07,1,0,0,0,1,0.0,1.08,1.075,1.08,4.0
dynamic_balanced,LTA,ETHUSD,2026-07,1,0,0,0,1,0.0,-0.24,-0.241,0.0,3.0
dynamic_balanced,LTA,EURUSD,2026-06,3,0,2,1,0,0.0,-2.15,-0.717,0.0,3.67
dynamic_balanced,LTA,EURUSD,2026-07,1,0,1,0,0,0.0,-1.03,-1.029,0.0,4.0
dynamic_balanced,LTA,GBPUSD,2026-06,1,0,1,0,0,0.0,-1.08,-1.077,0.0,4.0
dynamic_balanced,LTA,NZDUSD,2026-06,1,0,0,0,1,0.0,-0.24,-0.241,0.0,3.0
dynamic_balanced,LTA,USDCAD,2026-06,2,0,1,1,0,0.0,0.82,0.411,1.75,4.5
dynamic_balanced,LTA,USDCAD,2026-07,1,0,0,1,0,0.0,-0.06,-0.065,0.0,4.0
dynamic_balanced,LTA,USDCHF,2026-07,1,0,1,0,0,0.0,-1.06,-1.062,0.0,4.0
dynamic_balanced,LTA,USDJPY,2026-06,1,0,0,1,0,0.0,-0.03,-0.033,0.0,4.0
dynamic_balanced,LTA,USDJPY,2026-07,1,0,0,0,1,0.0,0.38,0.379,0.38,3.0
dynamic_balanced,LTA,XAGUSD,2026-07,1,0,1,0,0,0.0,-1.0,-1.001,0.0,4.0
dynamic_balanced,LTA,XAUUSD,2026-06,2,1,1,0,0,50.0,2.0,1.0,3.0,3.5
dynamic_balanced,LTA,XAUUSD,2026-07,4,1,2,0,1,25.0,2.66,0.665,2.33,4.0
