case,symbol,variant,period,history_quality_pct,bars,ticks,initial_balance,final_balance,net_profit,return_pct,gross_profit,gross_loss,profit_factor,equity_dd_amount,equity_dd_pct,balance_dd_amount,balance_dd_pct,trades,wins,losses,win_rate,commission,swap,score,status,report,graph
btcusd__m1-rr15,BTCUSD,m1-rr15,M1 (2022.01.01 - 2025.08.27),100.0,1917671,7669858,10000.0,8935.94,-1064.06,-10.6406,2480.55,-3544.61,0.7,1613.21,15.92,1553.1,15.41,58,28,30,48.28,-847.9599999999998,0.0,-35.94729977575493,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m1-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m1-rr15.png
btcusd__m5-impulse-target,BTCUSD,m5-impulse-target,M5 (2022.01.01 - 2025.08.27),100.0,383666,7669858,10000.0,8699.33,-1300.67,-13.006700000000002,1940.09,-3240.76,0.6,1760.04,17.57,1712.56,17.13,48,16,32,33.33,-412.92999999999995,0.0,-41.40500249506396,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m5-impulse-target.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m5-impulse-target.png
btcusd__m5-rr20,BTCUSD,m5-rr20,M5 (2022.01.01 - 2025.08.27),100.0,383666,7669858,10000.0,8500.23,-1499.77,-14.9977,1736.87,-3236.64,0.54,1747.26,17.45,1699.78,17.0,48,16,32,33.33,-415.2599999999998,0.0,-43.63744455769527,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m5-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m5-rr20.png
btcusd__m15-rr20,BTCUSD,m15-rr20,M15 (2022.01.01 - 2025.08.27),100.0,127913,7669858,10000.0,8337.72,-1662.28,-16.622799999999998,332.79,-1995.07,0.17,1662.28,16.62,1662.28,16.62,28,6,22,21.43,-129.98000000000002,-17.18,-48.6406273677275,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m15-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m15-rr20.png
btcusd__m5-rr15,BTCUSD,m5-rr15,M5 (2022.01.01 - 2025.08.27),100.0,383666,7669858,10000.0,8329.55,-1670.45,-16.7045,1528.57,-3199.02,0.48,1950.92,19.48,1904.22,19.04,48,16,32,33.33,-409.75999999999993,0.0,-48.8603767003208,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m5-rr15.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m5-rr15.png
btcusd__m5-absorption-rr20,BTCUSD,m5-absorption-rr20,M5 (2022.01.01 - 2025.08.27),100.0,383666,7669858,10000.0,9758.75,-241.25,-2.4125,0.0,-241.25,0.0,252.26,2.52,241.25,2.41,3,0,3,0.0,-5.209999999999999,0.0,-52.175429094215964,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m5-absorption-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\btcusd__m5-absorption-rr20.png
us30__m15-rr20,US30,m15-rr20,M15 (2022.01.01 - 2025.08.27),98.0,83511,4911755,10000.0,9981.08,-18.92,-0.18920000000000003,2167.92,-2186.84,0.99,1054.75,9.6,1000.95,9.11,38,18,20,47.37,-86.57000000000001,-26.28,-14.629401343414004,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m15-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m15-rr20.png
us30__m5-absorption-rr20,US30,m5-absorption-rr20,M5 (2022.01.01 - 2025.08.27),98.0,250381,4911755,10000.0,9043.86,-956.14,-9.5614,929.95,-1886.09,0.49,1273.1,12.61,1120.18,11.2,28,9,19,32.14,-75.46000000000001,0.0,-31.329799551509858,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m5-absorption-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m5-absorption-rr20.png
us30__m5-impulse-target,US30,m5-impulse-target,M5 (2022.01.01 - 2025.08.27),98.0,250381,4911755,10000.0,7541.79,-2458.21,-24.5821,3288.64,-5746.85,0.57,2819.45,27.57,2703.45,26.61,89,28,61,31.46,-275.42,-54.36,-68.18557567261416,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m5-impulse-target.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m5-impulse-target.png
us30__m5-rr20,US30,m5-rr20,M5 (2022.01.01 - 2025.08.27),98.0,250381,4911755,10000.0,7316.3099999999995,-2683.69,-26.836900000000004,3049.05,-5732.74,0.53,2845.74,28.0,2778.7,27.53,89,28,61,31.46,-275.21000000000004,-54.07,-71.37641308974388,valid,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m5-rr20.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\P Continuation Failed Auction Research 2026-08-31\Backtest Reports\Development\us30__m5-rr20.png
