policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,US30,51,24,18,9,0,47.06,11.15,0.219,1.58,1.3
challenge20_current,ORB,EURUSD,8,4,4,0,0,50.0,0.63,0.078,1.15,1.3
challenge20_current,ORB,XAGUSD,91,42,38,11,0,46.15,16.67,0.183,1.44,1.3
challenge20_current,ORB,XAUUSD,93,42,44,7,0,45.16,10.75,0.116,1.24,1.3
dynamic_aggressive,LTA,US30,53,2,18,33,0,3.77,14.71,0.278,1.76,5.45
dynamic_aggressive,ORB,EURUSD,8,0,4,4,0,0.0,0.41,0.051,1.09,4.5
dynamic_aggressive,ORB,XAGUSD,91,7,39,45,0,7.69,31.9,0.351,1.82,5.49
dynamic_aggressive,ORB,XAUUSD,93,6,45,42,0,6.45,21.97,0.236,1.49,5.33
dynamic_balanced,LTA,US30,53,4,19,30,0,7.55,12.73,0.24,1.62,4.25
dynamic_balanced,ORB,EURUSD,15,3,6,6,0,20.0,4.86,0.324,1.73,3.27
dynamic_balanced,ORB,XAGUSD,91,10,40,41,0,10.99,21.9,0.241,1.55,4.26
dynamic_balanced,ORB,XAUUSD,93,9,45,39,0,9.68,13.97,0.15,1.31,4.09
dynamic_capped,LTA,US30,53,4,18,31,0,7.55,17.68,0.334,1.91,4.25
dynamic_capped,ORB,EURUSD,8,2,4,2,0,25.0,2.42,0.303,1.56,3.38
dynamic_capped,ORB,XAGUSD,91,9,40,42,0,9.89,21.91,0.241,1.55,4.26
dynamic_capped,ORB,XAUUSD,93,8,44,41,0,8.6,13.97,0.15,1.32,4.09
dynamic_conservative,LTA,US30,54,9,18,27,0,16.67,14.75,0.273,1.76,2.94
dynamic_conservative,ORB,EURUSD,10,3,4,3,0,30.0,1.26,0.126,1.28,2.4
dynamic_conservative,ORB,XAGUSD,91,18,37,36,0,19.78,20.91,0.23,1.56,2.71
dynamic_conservative,ORB,XAUUSD,93,22,44,27,0,23.66,16.97,0.183,1.39,2.63
dynamic_score,LTA,US30,53,6,19,28,0,11.32,13.73,0.259,1.67,4.11
dynamic_score,ORB,EURUSD,15,1,6,8,0,6.67,4.86,0.324,1.73,4.8
dynamic_score,ORB,XAGUSD,91,4,40,47,0,4.4,21.9,0.241,1.55,5.58
dynamic_score,ORB,XAUUSD,93,5,45,43,0,5.38,17.97,0.193,1.4,5.54
fixed_current,LTA,US30,51,1,18,32,0,1.96,10.85,0.213,1.56,6.0
fixed_current,ORB,EURUSD,8,4,4,0,0,50.0,0.63,0.078,1.15,1.3
fixed_current,ORB,XAGUSD,91,12,38,41,0,13.19,30.89,0.339,1.81,4.0
fixed_current,ORB,XAUUSD,93,42,44,7,0,45.16,10.74,0.115,1.24,1.3
production_current,LTA,US30,56,0,9,12,0,0.0,5.06,0.09,1.3,6.0
production_current,ORB,EURUSD,14,4,3,2,0,28.57,1.08,0.077,1.24,1.3
production_current,ORB,XAGUSD,91,11,33,30,0,12.09,37.06,0.407,2.07,4.0
production_current,ORB,XAUUSD,93,36,36,5,0,38.71,6.33,0.068,1.15,1.3
