bot,symbol,timeframe,status,candles,broker_symbol
LTA,XAUUSD,M15,ok,5034,XAUUSDm
LTA,XAUUSD,M30,ok,2517,XAUUSDm
LTA,XAGUSD,M15,ok,4980,XAGUSDm
LTA,XAGUSD,M30,ok,2517,XAGUSDm
LTA,EURUSD,M15,ok,5280,EURUSDm
LTA,EURUSD,M30,ok,2640,EURUSDm
LTA,BTCUSD,M15,ok,7234,BTCUSDm
LTA,BTCUSD,M30,ok,3654,BTCUSDm
LTA,US30,M15,ok,5028,US30m
LTA,US30,M30,ok,2514,US30m
ORB,XAUUSD,M15,ok,2734,XAUUSDm
ORB,XAGUSD,M15,ok,2734,XAGUSDm
ORB,EURUSD,M15,ok,2880,EURUSDm
ORB,BTCUSD,M15,ok,3947,BTCUSDm
ORB,US30,M15,ok,2728,US30m
