policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,53,0,29,24,0,0.0,-7.61,-0.143,0.74,5.55
dynamic_aggressive,ORB,85,4,34,47,0,4.71,2.14,0.025,1.06,5.44
dynamic_balanced,LTA,53,3,29,21,0,5.66,-2.61,-0.049,0.91,4.28
dynamic_balanced,ORB,86,6,38,42,0,6.98,-4.96,-0.058,0.87,4.09
dynamic_capped,LTA,52,3,29,20,0,5.77,-3.57,-0.069,0.88,4.27
dynamic_capped,ORB,85,6,32,47,0,7.06,6.2,0.073,1.19,4.11
dynamic_conservative,LTA,53,7,29,17,0,13.21,-3.61,-0.068,0.88,2.85
dynamic_conservative,ORB,85,15,31,39,0,17.65,11.28,0.133,1.36,2.66
dynamic_score,LTA,53,3,29,21,0,5.66,-4.61,-0.087,0.84,4.25
dynamic_score,ORB,86,1,38,47,0,1.16,-6.96,-0.081,0.82,5.44
fixed_current,LTA,53,0,29,24,0,0.0,-8.61,-0.162,0.71,6.0
fixed_current,ORB,81,0,30,51,0,0.0,14.2,0.175,1.47,6.0
production_current,LTA,53,0,9,12,0,0.0,-2.92,-0.055,0.86,6.0
production_current,ORB,88,0,17,32,0,0.0,3.58,0.041,1.14,6.0
