symbol,broker_symbol,timeframe,status,candles
USDCAD,USDCADm,M15,ok,3258
USDCAD,USDCADm,M30,ok,1629
USDCAD,USDCADm,H1,ok,815
AUDUSD,AUDUSDm,M15,ok,3258
AUDUSD,AUDUSDm,M30,ok,1629
AUDUSD,AUDUSDm,H1,ok,815
NZDUSD,NZDUSDm,M15,ok,3258
NZDUSD,NZDUSDm,M30,ok,1629
NZDUSD,NZDUSDm,H1,ok,815
