local_time,utc_time,currency,event,symbol,broker_symbol,outcome,direction,setup_high,setup_low,entry,stop_loss,exit_price,exit_reason,exit_time_utc,offset_pips,atr_pips,spread_pips,risk_pips,max_favorable_pips,max_adverse_pips,max_lot_1_200,pnl_usd,return_pct,r_multiple,note
2026-05-29 06:30,2026-05-28T23:30:00+00:00,JPY,Tokyo core CPI,EURJPY,EURJPY..,LOSS,BUY,185.534,185.53,185.568,185.52,185.52,stop/trail,2026-05-28T23:34:00+00:00,1.0,0.46429,1.6,4.8,0.3,5.6,0.17,-5.12304,-5.12304,-1.0,
2026-05-29 19:30,2026-05-29T12:30:00+00:00,CAD,Canada GDP,USDCAD,USDCAD..,LOSS,BUY,1.38067,1.38056,1.38101,1.38046,1.38046,stop/trail,2026-05-29T13:21:00+00:00,1.0,1.58571,1.6,5.5,18.6,5.8,0.2,-7.96518,-7.96518,-1.0,
2026-06-01 21:00,2026-06-01T14:00:00+00:00,USD,ISM manufacturing PMI,EURUSD,EURUSD..,LOSS,SELL,1.16112,1.16085,1.16067,1.16137,1.16137,stop/trail,2026-06-01T14:09:00+00:00,1.0,2.58571,1.5,6.95,0.85,9.25,0.17,-11.815,-11.815,-1.0,
2026-06-02 19:00,2026-06-02T12:00:00+00:00,EUR,Euro-area flash CPI,EURUSD,EURUSD..,NO_TRIGGER,,1.16492,1.16487,0.0,0.0,0.0,pending expired,,1.0,0.87857,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-06-05 19:30,2026-06-05T12:30:00+00:00,USD,US payrolls / unemployment,EURUSD,EURUSD..,WIN,SELL,1.1635,1.1632,1.16244,1.16375,1.15595,time exit,2026-06-05T14:30:00+00:00,1.0,1.4,1.5,13.05,69.65,2.25,0.17,110.415,110.415,4.97701,
2026-06-05 19:30,2026-06-05T12:30:00+00:00,CAD,Canada employment,USDCAD,USDCAD..,LOSS,SELL,1.38924,1.38782,1.38764,1.3895,1.3895,stop/trail,2026-06-05T12:59:00+00:00,1.0,3.08571,1.6,18.6,9.5,20.0,0.2,-26.80811,-26.80811,-1.0,
2026-06-10 19:30,2026-06-10T12:30:00+00:00,USD,US CPI,EURUSD,EURUSD..,LOSS,BUY,1.15462,1.15442,1.15495,1.15432,1.15432,stop/trail,2026-06-10T12:32:00+00:00,1.0,1.49286,1.5,6.25,7.65,7.35,0.17,-10.625,-10.625,-1.0,
2026-06-10 20:45,2026-06-10T13:45:00+00:00,CAD,Bank of Canada decision,USDCAD,USDCAD..,LOSS,SELL,1.39085,1.39038,1.39012,1.39111,1.39111,stop/trail,2026-06-10T13:45:00+00:00,1.0,3.07857,1.6,9.9,0.0,10.3,0.2,-14.24337,-14.24337,-1.0,
2026-06-11 19:15,2026-06-11T12:15:00+00:00,EUR,ECB decision,EURUSD,EURUSD..,LOSS,BUY,1.15338,1.15312,1.15371,1.15302,1.15302,stop/trail,2026-06-11T12:22:00+00:00,1.0,1.5,1.5,6.85,1.35,15.45,0.17,-11.645,-11.645,-1.0,
2026-06-11 19:30,2026-06-11T12:30:00+00:00,USD,US PPI,EURUSD,EURUSD..,LOSS,BUY,1.15273,1.15249,1.15306,1.15239,1.15239,stop/trail,2026-06-11T12:32:00+00:00,1.0,3.97857,1.5,6.65,0.15,10.65,0.17,-11.305,-11.305,-1.0,
2026-06-16 10:19,2026-06-16T03:19:00+00:00,JPY,Bank of Japan decision,EURJPY,EURJPY..,LOSS,SELL,185.495,185.492,185.474,185.521,185.521,stop/trail,2026-06-16T03:19:00+00:00,1.0,1.5,1.6,4.7,0.8,18.4,0.17,-4.99077,-4.99077,-1.0,
2026-06-16 11:30,2026-06-16T04:30:00+00:00,AUD,RBA decision,EURAUD,EURAUD..,LOSS,SELL,1.64179,1.64037,1.64017,1.64209,1.64209,stop/trail,2026-06-16T04:30:00+00:00,1.0,3.27143,2.0,19.2,0.0,21.8,0.17,-23.04006,-23.04006,-1.0,
2026-06-17 19:30,2026-06-17T12:30:00+00:00,USD,US retail sales,EURUSD,EURUSD..,LOSS,SELL,1.15974,1.1596,1.15942,1.15999,1.15999,stop/trail,2026-06-17T12:41:00+00:00,1.0,1.23571,1.5,5.65,0.15,5.95,0.17,-9.605,-9.605,-1.0,
2026-06-18 01:00,2026-06-17T18:00:00+00:00,USD,FOMC decision,EURUSD,EURUSD..,WIN,SELL,1.15956,1.15915,1.15721,1.15981,1.14972,time exit,2026-06-17T20:00:00+00:00,1.0,1.09286,1.5,25.95,93.25,5.75,0.17,127.415,127.415,2.88825,
2026-06-19 06:30,2026-06-18T23:30:00+00:00,JPY,Japan national core CPI,EURJPY,EURJPY..,NO_TRIGGER,,184.886,184.876,0.0,0.0,0.0,pending expired,,1.0,1.17857,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-06-19 19:30,2026-06-19T12:30:00+00:00,CAD,Canada retail sales,USDCAD,USDCAD..,NO_TRIGGER,,1.41553,1.41549,0.0,0.0,0.0,pending expired,,1.0,0.99286,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2026-06-22 19:30,2026-06-22T12:30:00+00:00,CAD,Canada CPI,USDCAD,USDCAD..,LOSS,SELL,1.41541,1.41522,1.41504,1.41567,1.41567,stop/trail,2026-06-22T12:45:00+00:00,1.0,1.51429,1.6,6.3,5.0,7.7,0.2,-8.90434,-8.90434,-1.0,
2026-06-24 08:30,2026-06-24T01:30:00+00:00,AUD,Australia CPI,EURAUD,EURAUD..,LOSS,BUY,1.64409,1.64362,1.64449,1.64352,1.64352,stop/trail,2026-06-24T01:30:00+00:00,1.0,2.72857,2.0,9.7,2.1,20.5,0.17,-11.40329,-11.40329,-1.0,
2026-06-25 08:30,2026-06-25T01:30:00+00:00,AUD,Australia employment,EURAUD,EURAUD..,LOSS,SELL,1.64696,1.64616,1.64596,1.64726,1.64726,stop/trail,2026-06-25T01:33:00+00:00,1.0,3.26429,2.0,13.0,8.2,13.8,0.17,-15.25582,-15.25582,-1.0,
2026-06-25 19:30,2026-06-25T12:30:00+00:00,USD,US core PCE / GDP / durables,EURUSD,EURUSD..,WIN,BUY,1.13409,1.13392,1.13442,1.13382,1.13792,stop/trail,2026-06-25T14:06:00+00:00,1.0,1.42857,1.5,5.95,38.95,4.55,0.17,59.6275,59.6275,5.89496,
