policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,2,0,0,2,0,0.0,0.83,0.417,0.83,6.0
dynamic_balanced,LTA,2,0,0,2,0,0.0,0.83,0.417,0.83,4.0
dynamic_balanced,ORB,3,0,2,0,1,0.0,-0.83,-0.276,0.62,3.0
dynamic_capped,LTA,1,0,1,0,0,0.0,-1.08,-1.078,0.0,4.0
dynamic_capped,ORB,1,0,1,0,0,0.0,-1.08,-1.083,0.0,3.0
dynamic_conservative,LTA,2,0,0,2,0,0.0,0.83,0.417,0.83,3.0
dynamic_conservative,ORB,1,0,1,0,0,0.0,-1.09,-1.091,0.0,2.0
dynamic_score,LTA,2,0,0,2,0,0.0,0.83,0.417,0.83,5.5
dynamic_score,ORB,3,0,2,0,1,0.0,-0.83,-0.276,0.62,4.0
fixed_current,LTA,2,0,0,2,0,0.0,0.83,0.417,0.83,6.0
