symbol,period,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,sharpe,recovery_factor,commission,swap
xagusd,baseline_locked,14.4233,1.91,58.14,3.81,43,5.4,3.48,-35.3,-37.72
xagusd,optimized_locked,-1.0622,0.76,12.5,5.02,8,-0.11,-0.21,-5.7299999999999995,-20.09
xagusd,optimized_full,1.6111,1.11,20.0,10.02,30,0.37,0.15,-35.72,-150.47
ethusd,baseline_locked,3.0391000000000004,1.07,42.65,11.67,68,0.42,0.23,-78.24,-24.55
ethusd,optimized_locked,-2.9694,0.87,31.25,10.69,32,-0.94,-0.26,-37.5,-32.47
ethusd,optimized_full,-1.1756,0.98,33.96,10.69,106,-0.09,-0.1,-101.8,-111.47
eurusd,baseline_locked,-4.383299999999999,0.87,38.18,12.79,55,-0.9,-0.32,-46.1,-68.05
eurusd,optimized_locked,-2.6355,0.86,34.38,8.76,32,-1.27,-0.29,-40.2,-66.31
eurusd,optimized_full,8.240300000000001,1.13,41.74,11.27,115,0.9,0.62,-141.8,-268.16
gbpusd,baseline_locked,-18.151,0.52,26.32,19.33,57,-3.55,-0.94,-39.07,-24.55
gbpusd,optimized_locked,-5.202,0.6,17.65,11.45,17,-0.65,-0.44,-7.66,-25.1
gbpusd,optimized_full,8.0151,1.19,25.0,14.98,52,0.5,0.44,-27.16,-85.24
usdjpy,baseline_locked,-8.645499999999998,0.71,35.56,10.57,45,-1.86,-0.82,-36.43,-22.37
usdjpy,optimized_locked,1.6595,1.24,72.0,3.29,25,1.52,0.5,-14.57,0.0
usdjpy,optimized_full,10.441500000000001,1.6,75.76,6.11,66,3.13,1.52,-37.18,0.0
gbpjpy,baseline_locked,-20.2108,0.45,24.07,23.7,54,-4.37,-0.84,-51.04,-34.4
gbpjpy,optimized_locked,0.515,1.02,28.12,8.22,32,0.09,0.06,-34.26,0.0
gbpjpy,optimized_full,27.270700000000005,1.48,35.14,7.44,74,1.47,2.87,-82.54,0.0
