symbol,timeframe,variant,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,sharpe,recovery_factor,score,history_quality,commission,swap,path
btcusd,h4,all,29.8446,2.26,46.67,6.52,60,1.87,4.33,38.489599999999996,100%,-32.3,-196.24,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\btcusd--h4--all--session.htm
btcusd,h4,newyork,25.323,2.34,46.67,6.44,45,2.15,3.69,34.968,100%,-22.84,-172.93,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\btcusd--h4--newyork--session.htm
btcusd,h4,asia,10.843599999999999,1.83,50.0,6.51,36,1.59,1.62,15.056099999999999,100%,-21.47,-69.98,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\btcusd--h4--asia--session.htm
btcusd,h4,london,3.9720999999999997,1.32,45.95,7.77,37,0.47,0.5,1.5796000000000006,100%,-15.88,-109.24,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\btcusd--h4--london--session.htm
btcusd,h4,overlap,-1.2483,0.89,38.46,10.01,26,-0.19,-0.12,-12.6508,100%,-7.97,-75.53,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\btcusd--h4--overlap--session.htm
ustec,h4,all,29.3344,1.79,42.0,6.78,50,2.54,3.84,33.4194,98%,-29.2,-786.1899999999999,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\ustec--h4--all--session.htm
ustec,h4,london,12.7579,1.4,36.59,7.39,41,1.5,1.42,11.965399999999999,98%,-21.66,-636.26,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\ustec--h4--london--session.htm
ustec,h4,newyork,10.6329,1.36,35.9,7.78,39,1.28,1.24,9.0379,98%,-17.26,-653.13,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\ustec--h4--newyork--session.htm
ustec,h4,asia,4.820899999999999,1.34,35.0,6.47,20,0.75,0.72,-0.7565999999999997,98%,-10.54,-241.77,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\ustec--h4--asia--session.htm
ustec,h4,overlap,3.5544,1.15,32.26,8.57,31,0.54,0.37,-2.3031000000000006,98%,-12.97,-488.82,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\ustec--h4--overlap--session.htm
xauusd,h4,all,39.002700000000004,2.33,45.45,6.11,66,3.59,4.82,49.5152,98%,-27.46,-721.67,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\xauusd--h4--all--session.htm
xauusd,h4,newyork,22.031399999999998,2.34,40.43,5.35,47,3.66,3.35,33.2489,98%,-16.23,-475.65,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\xauusd--h4--newyork--session.htm
xauusd,h4,london,23.2687,2.07,42.86,5.36,49,4.08,3.46,31.988699999999998,98%,-17.45,-433.03,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\xauusd--h4--london--session.htm
xauusd,h4,asia,20.542399999999997,2.39,50.0,6.27,36,3.44,2.63,31.459899999999998,98%,-13.39,-329.81,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\xauusd--h4--asia--session.htm
xauusd,h4,overlap,10.7606,2.07,39.29,3.57,28,3.15,2.78,18.2581,98%,-6.99,-276.56,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\session\xauusd--h4--overlap--session.htm
