symbol,timeframe,variant,return_pct,profit_factor,win_rate_pct,equity_dd_pct,trades,sharpe,recovery_factor,score,history_quality,commission,swap,path
ethusd,h4,none,1.8925999999999998,1.04,35.14,8.11,74,0.2,0.22,-3.6898999999999993,100%,-63.63,-78.36,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\ethusd--h4--none--trailing.htm
ethusd,h4,dynamic5020,-0.23969999999999997,0.99,62.75,9.89,102,-0.03,-0.02,-7.7722,100%,-91.77,-58.47,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\ethusd--h4--dynamic5020--trailing.htm
ethusd,h4,be075,-0.7349,0.98,54.35,9.57,92,-0.09,-0.07,-8.1574,100%,-78.37,-65.77,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\ethusd--h4--be075--trailing.htm
ethusd,h4,be100,-0.28800000000000003,0.99,46.43,10.88,84,-0.03,-0.03,-8.563,100%,-69.89,-68.06,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\ethusd--h4--be100--trailing.htm
ethusd,h4,dynamic5020-trail,-3.0081999999999995,0.93,61.68,11.0,107,-0.45,-0.26,-12.183199999999998,100%,-94.18,-56.12,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\ethusd--h4--dynamic5020-trail--trailing.htm
ethusd,h4,trail100-atr20,-4.5605,0.91,38.89,13.3,90,-0.54,-0.33,-15.7055,100%,-74.82000000000001,-65.77,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\ethusd--h4--trail100-atr20--trailing.htm
ethusd,h4,trail075-atr15,-9.8509,0.81,39.8,15.08,98,-1.31,-0.64,-23.715899999999998,100%,-81.27,-58.93,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\ethusd--h4--trail075-atr15--trailing.htm
eurusd,h4,trail075-atr15,10.7846,1.25,43.37,8.77,83,1.54,1.04,7.4771,100%,-97.0,-193.15,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\eurusd--h4--trail075-atr15--trailing.htm
eurusd,h4,none,11.292200000000001,1.24,32.14,11.61,56,1.07,0.77,5.519700000000002,100%,-68.59,-292.03000000000003,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\eurusd--h4--none--trailing.htm
eurusd,h4,trail100-atr20,8.2249,1.17,35.9,10.44,78,1.0,0.71,2.594899999999999,100%,-92.34,-225.15,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\eurusd--h4--trail100-atr20--trailing.htm
eurusd,h4,be075,6.7469,1.22,53.85,9.58,78,0.95,0.61,2.236899999999999,100%,-90.6,-204.12,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\eurusd--h4--be075--trailing.htm
eurusd,h4,be100,5.1122,1.15,47.22,8.61,72,0.68,0.53,0.4946999999999992,100%,-80.66,-216.78,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\eurusd--h4--be100--trailing.htm
eurusd,h4,dynamic5020-trail,1.1654000000000002,1.04,64.52,7.65,93,0.22,0.14,-4.0621,100%,-106.05,-137.92,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\eurusd--h4--dynamic5020-trail--trailing.htm
eurusd,h4,dynamic5020,-0.4393,0.99,65.17,8.68,89,-0.08,-0.05,-7.0893,100%,-99.26,-149.71,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\eurusd--h4--dynamic5020--trailing.htm
gbpjpy,h4,none,23.5799,1.79,39.53,6.23,43,2.02,2.98,27.817400000000003,100%,-39.87,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpjpy--h4--none--trailing.htm
gbpjpy,h4,trail100-atr20,9.6703,1.26,44.62,7.4,65,1.35,1.16,7.395299999999998,100%,-55.34,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpjpy--h4--trail100-atr20--trailing.htm
gbpjpy,h4,trail075-atr15,8.593300000000001,1.24,48.57,7.84,70,1.29,0.99,5.758300000000002,100%,-58.72,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpjpy--h4--trail075-atr15--trailing.htm
gbpjpy,h4,dynamic5020,6.2696000000000005,1.21,56.25,6.79,64,0.9,0.84,3.7271,100%,-54.06,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpjpy--h4--dynamic5020--trailing.htm
gbpjpy,h4,be075,6.230499999999999,1.22,54.39,7.04,57,0.78,0.79,3.5404999999999984,100%,-47.48,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpjpy--h4--be075--trailing.htm
gbpjpy,h4,be100,6.1812,1.22,53.57,7.04,56,0.77,0.78,3.4861999999999993,100%,-47.0,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpjpy--h4--be100--trailing.htm
gbpjpy,h4,dynamic5020-trail,2.9955000000000003,1.09,54.79,7.42,73,0.51,0.37,-1.4144999999999985,100%,-60.92,0.0,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpjpy--h4--dynamic5020-trail--trailing.htm
gbpusd,h4,none,13.9735,1.51,27.78,6.62,36,1.26,1.81,14.7385,100%,-19.0,-56.22,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpusd--h4--none--trailing.htm
gbpusd,h4,be100,5.7029,1.31,52.38,6.93,42,0.7,0.75,3.9554000000000014,100%,-20.66,-43.14,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpusd--h4--be100--trailing.htm
gbpusd,h4,be075,2.8635,1.14,54.17,7.97,48,0.38,0.35,-1.5240000000000014,100%,-23.02,-38.58,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpusd--h4--be075--trailing.htm
gbpusd,h4,trail100-atr20,1.2628,1.04,49.18,8.13,61,0.19,0.15,-4.3397,100%,-30.44,-32.95,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpusd--h4--trail100-atr20--trailing.htm
gbpusd,h4,dynamic5020,0.4234,1.02,57.41,7.81,54,0.06,0.05,-5.2040999999999995,100%,-25.64,-32.83,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpusd--h4--dynamic5020--trailing.htm
gbpusd,h4,trail075-atr15,-0.5727,0.98,54.55,7.74,66,-0.11,-0.07,-6.6327,100%,-31.49,-24.56,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpusd--h4--trail075-atr15--trailing.htm
gbpusd,h4,dynamic5020-trail,-3.7481,0.86,59.42,11.26,69,-0.75,-0.32,-13.9681,100%,-33.04,-23.76,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Trend Progression Research 2026-09-02\Backtest Reports\extension-trailing\gbpusd--h4--dynamic5020-trail--trailing.htm
