starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,308.54,8.54,2.85,57,24,33,42.11,1.72,0.0302,0.0234,24.51,M15
300.0,406.58,106.58,35.53,47,22,25,46.81,7.5,0.1595,0.0097,18.42,M30
