basket,entry_time,exit_time,side,entry_a,entry_b,exit_a,exit_b,lots_a,lots_b,net,return_fraction,R,reason,swap,fees,entry_adaptive_RR,risk_usd,entry_fills,exit_fills
1,1780905600,1780905679,-1,4296.048,66.958,4292.561,66.783,0.06,0.07,-43.989999999999995,-0.004398999999999999,-0.43989999999999996,1,0.0,-3.66,20.70110863373738,100.0,2,2
2,1782216000,1782216823,-1,4124.018,62.09,4114.45,61.879,0.04,0.05,-17.08,-0.0017155466898888206,-0.17155466898888205,1,0.0,-2.6,14.244806925994602,99.5601,2,2
3,1784203200,1784204129,-1,4037.818,56.706,4027.931,56.501,0.03,0.04,-13.41,-0.0013492398075044295,-0.13492398075044296,1,0.0,-2.07,8.396150825207934,99.3893,2,2
4,1784289600,1784292180,-1,3994.674,55.466,3972.868,55.115,0.02,0.03,-10.579999999999998,-0.0010659391145249819,-0.10659391145249819,1,0.0,-1.54,6.1649285677796595,99.2552,2,2
