Month,Trades,Wins,Losses,Win Rate,Gross Profit,Gross Loss,Net Profit,Profit Factor,Max DD,Return %
2025-07,4,1,3,25.0,48.51,-33.82899999999962,14.681000000000381,1.433976765497075,33.82899999999972,0.14681000000000383
2025-08,50,16,34,32.0,601.2134999999996,-705.4914999999936,-104.27799999999405,0.8521909902529018,351.674999999992,-1.0412513389092877
2025-09,53,13,40,24.528301886792452,727.6514999999961,-795.8169999999875,-68.16549999999134,0.9143452577665563,257.363499999994,-0.6878176397063903
2025-10,60,16,44,26.666666666666668,825.1079999999997,-965.6285000000058,-140.52050000000602,0.8544776795630977,521.2730000000065,-1.427729212996596
2025-11,48,19,29,39.58333333333333,971.0579999999973,-665.4640000000005,305.59399999999675,1.4592194318550613,368.1095000000005,3.1498960441744126
2025-12,54,15,39,27.77777777777778,639.9924999999927,-828.7115000000105,-188.7190000000177,0.7722741870964559,314.08150000000387,-1.8858112833709035
2026-01,55,8,47,14.545454545454545,458.75100000000003,-1032.110999999997,-573.3599999999967,0.4444783555257152,815.1659999999974,-5.839533815031701
2026-02,50,20,30,40.0,759.045,-687.912499999995,71.13250000000495,1.1034034124979637,159.72849999999562,0.7693965927518641
2026-03,59,20,39,33.89830508474576,833.6135000000002,-969.9694999999939,-136.3559999999938,0.8594223838997055,308.54649999999674,-1.4636181312999708
2026-04,58,15,43,25.862068965517242,589.800499999997,-1005.9200000000168,-416.1195000000198,0.5863294297757149,715.8950000000186,-4.532887959744478
2026-05,53,9,44,16.9811320754717,287.7025000000009,-898.108499999996,-610.405999999995,0.3203426980147746,610.4059999999954,-6.965012906941157
2026-06,57,15,42,26.31578947368421,569.1744999999981,-875.644999999993,-306.4704999999949,0.6500059955804037,411.94149999999445,-3.7587678787089573
2026-07,49,19,30,38.775510204081634,883.6195000000001,-485.76250000000664,397.85699999999343,1.8190360515683859,309.7605000000076,5.070171609896045
