Month,Trades,Wins,Losses,Win Rate,Gross Profit,Gross Loss,Net Profit,Profit Factor,Max DD,Return %
2025-08,2,1,1,50.0,149.0,-51.0,98.0,2.9215686274509802,51.0,0.98
2025-09,1,1,0,100.0,149.0,0.0,149.0,inf,0.0,1.4755397108338284
2025-10,3,2,1,66.66666666666666,227.66399999999888,-52.02,175.64399999999887,4.376470588235272,52.02000000000044,1.7141016882990034
2025-11,6,4,2,66.66666666666666,479.06599999999963,-73.70949999999885,405.3565000000008,6.499379320169138,55.080000000001746,3.8891906890420596
2025-12,5,2,3,40.0,72.31899999999881,-164.22000000000003,-91.9010000000012,0.4403787601997247,109.14000000000124,-0.8487347225371962
2026-01,5,2,3,40.0,241.22950000000077,-127.78299999999923,113.44650000000154,1.8878058896723524,73.72299999999996,1.0566826434498076
2026-02,8,4,4,50.0,379.23449999999883,-219.30000000000004,159.93449999999882,1.7292954856361094,110.16000000000167,1.4741123729969794
2026-03,4,2,2,50.0,255.71250000000123,-112.2,143.51250000000124,2.2790775401069627,56.100000000000364,1.3035356209586935
2026-04,6,2,4,33.33333333333333,330.78000000000003,-230.51999999999998,100.26000000000005,1.4349297241020305,230.52000000000044,0.8989515191124039
2026-05,5,1,4,20.0,85.90399999999879,-227.46,-141.55600000000123,0.3776664028840182,227.45999999999913,-1.257911823363442
2026-06,5,3,2,60.0,381.1225000000004,-112.2,268.92250000000047,3.3968137254901998,112.20000000000073,2.420174884178362
2026-07,4,2,2,50.0,336.74,-114.24000000000001,222.5,2.94765406162465,114.23999999999978,1.955078104491588
