scenario,starting_balance,ending_balance,net_profit,gross_profit,gross_loss,profit_factor,win_rate,max_balance_dd,max_equity_dd,max_dd_pct,average_win,average_loss,achieved_reward_risk,expected_payoff,trades,longest_win_streak,longest_loss_streak,largest_win,largest_loss,recovery_factor,sharpe,sortino,average_holding_minutes,spread_cost,slippage_cost
baseline,10000.0,11603.1195,1603.1194999999996,3087.7719999999977,-1484.6524999999979,2.0797944300097173,48.148148148148145,484.27600000000166,484.27600000000166,4.217046087553294,118.76046153846144,-53.02330357142849,2.239778616933542,29.68739814814814,54,3,6,169.85999999999999,-58.13999999999999,3.3103426558408717,5.1674235131397985,51.93187900856846,149.16666666666666,45.260999999999996,29.159999999999997
spread_x1.25,10000.0,11601.521499999999,1601.5214999999996,3086.3859999999986,-1484.8644999999983,2.0785640709977256,48.148148148148145,484.387999999999,484.387999999999,4.21852684591901,118.70715384615379,-53.03087499999994,2.2384536149206276,29.657805555555548,54,3,6,169.85999999999999,-58.13999999999999,3.3062782315003734,5.1628670780584525,52.036711033022286,149.12962962962962,56.454399999999985,29.159999999999997
spread_x1.50,10000.0,11599.923500000003,1599.9235000000033,3085.000000000003,-1485.0764999999992,2.077334063262064,48.148148148148145,484.5,484.5,4.22000795922244,118.65384615384627,-53.0384464285714,2.2371289912053,29.628212962963023,54,3,6,169.85999999999999,-58.13999999999999,3.3022156862745167,5.15830832074252,52.142166605971894,149.12962962962962,67.89150000000001,29.159999999999997
spread_x2.00,10000.0,11596.727500000005,1596.7275000000034,3082.228000000003,-1485.5004999999987,2.0748751010181454,48.148148148148145,484.724000000002,484.724000000002,4.222971251152955,118.54723076923088,-53.05358928571424,2.234480878019541,29.56902777777784,54,3,6,169.85999999999999,-58.13999999999999,3.2940962279565213,5.149183849798196,52.35497072930321,149.12962962962962,90.52199999999999,29.159999999999997
extra_slippage_1pip,10000.0,11541.999499999998,1541.9994999999992,3054.011999999998,-1512.0124999999982,2.019832507998447,48.148148148148145,494.4960000000028,494.4960000000028,4.320027802159148,117.46199999999992,-54.000446428571365,2.1752042393829427,28.55554629629628,54,3,6,165.76000000000002,-59.279999999999994,3.1183255274056623,4.984387244853689,50.102858862510935,149.16666666666666,45.176,58.22
extra_slippage_2pip,10000.0,11479.2,1479.1999999999996,3019.1209999999974,-1539.920999999998,1.9605687564491954,48.148148148148145,506.130000000001,506.130000000001,4.437351765531298,116.12003846153836,-54.9971785714285,2.111381737714518,27.392592592592585,54,3,6,164.64000000000001,-60.419999999999995,2.9225693003773667,4.79248247641818,47.87042521155659,149.16666666666666,45.075,87.12000000000005
extra_slippage_5pip,10000.0,11292.488,1292.4879999999994,2907.8089999999975,-1615.320999999998,1.8001431294460983,48.148148148148145,534.8900000000012,534.8900000000012,4.741283219629946,111.8388076923076,-57.69003571428565,1.9386156778650288,23.934962962962953,54,3,6,158.4,-62.720000000000006,2.4163622427041007,4.237479515224245,42.426550124517036,149.16666666666666,44.643,172.62000000000006
A_stop_minus10,10000.0,11603.1195,1603.1194999999996,3087.7719999999977,-1484.6524999999979,2.0797944300097173,48.148148148148145,484.27600000000166,484.27600000000166,4.217046087553294,118.76046153846144,-53.02330357142849,2.239778616933542,29.68739814814814,54,3,6,169.85999999999999,-58.13999999999999,3.3103426558408717,5.1674235131397985,51.93187900856846,149.16666666666666,45.260999999999996,29.159999999999997
A_stop_plus10,10000.0,11603.1195,1603.1194999999996,3087.7719999999977,-1484.6524999999979,2.0797944300097173,48.148148148148145,484.27600000000166,484.27600000000166,4.217046087553294,118.76046153846144,-53.02330357142849,2.239778616933542,29.68739814814814,54,3,6,169.85999999999999,-58.13999999999999,3.3103426558408717,5.1674235131397985,51.93187900856846,149.16666666666666,45.260999999999996,29.159999999999997
targets_minus10pct,10000.0,11481.804499999998,1481.8044999999993,2962.0254999999975,-1480.2209999999977,2.0010697726893496,48.148148148148145,482.2360000000008,482.2360000000008,4.21706080386815,113.9240576923076,-52.86503571428563,2.154998216742377,27.44082407407406,54,3,6,150.08,-58.13999999999999,3.072778680977772,4.990374284578233,47.98784611918453,140.2962962962963,45.1,29.060000000000002
targets_plus10pct,10000.0,11246.411,1246.4110000000007,2704.191999999999,-1457.780999999998,1.855005655856403,48.148148148148145,468.9840000000022,468.9840000000022,4.218348065524623,104.00738461538458,-52.063607142857066,1.997698398614588,23.081685185185197,54,3,6,180.4,-56.1,2.657683417771171,4.306157275264334,40.944762139658664,164.8148148148148,44.497,28.7
