strategy,side,entry_time,entry,stop,target,volume,risk_cash,exit_time,exit,pnl,exit_reason,spread_cost,slippage_cost,mae,mfe,holding_minutes,metadata
B2,SELL,2025-08-01 14:16:00+00:00,22974.25,23075.25,22675.25,0.5,50.0,2025-08-01 17:03:00+00:00,22676.25,149.0,target,0.85,0.5,62.70000000000073,303.5,167.0,{'pending_minutes': 16.0}
B2,SELL,2025-08-12 15:30:00+00:00,23583.35,23684.35,23284.35,0.5,50.0,2025-08-12 15:35:00+00:00,23685.35,-51.0,stop,0.85,0.5,102.60000000000218,16.099999999998545,5.0,{'pending_minutes': 90.0}
B2,SELL,2025-09-05 15:32:00+00:00,23787.15,23888.15,23488.15,0.5,50.0,2025-09-05 18:02:00+00:00,23489.15,149.0,target,0.85,0.5,77.09999999999854,308.3000000000029,150.0,{'pending_minutes': 92.0}
B2,SELL,2025-10-07 15:40:00+00:00,25016.2,25117.2,24717.2,0.51,51.0,2025-10-07 19:55:00+00:00,24831.45,94.2225,time_exit,0.867,0.51,53.20000000000073,235.75,255.0,{'pending_minutes': 100.0}
B2,SELL,2025-10-20 15:11:00+00:00,24925.65,25026.65,24626.65,0.51,51.0,2025-10-20 16:32:00+00:00,25027.65,-52.02,stop,0.867,0.51,112.09999999999854,10.950000000000728,81.0,{'pending_minutes': 71.0}
B2,SELL,2025-10-31 14:52:00+00:00,26093.6,26194.6,25794.6,0.51,51.0,2025-10-31 19:55:00+00:00,25831.95,133.44149999999888,time_exit,0.867,0.51,44.05000000000291,276.75,303.0,{'pending_minutes': 52.0}
B2,SELL,2025-11-03 16:00:00+00:00,26067.2,26168.2,25768.2,0.52,52.0,2025-11-03 20:55:00+00:00,25999.95,34.97,time_exit,0.884,0.52,64.64999999999782,183.35000000000218,295.0,{'pending_minutes': 60.0}
B2,SELL,2025-11-07 15:20:00+00:00,25029.45,25130.45,24730.45,0.52,52.0,2025-11-07 17:53:00+00:00,24731.45,154.96,target,0.884,0.52,7.5,301.0,153.0,{'pending_minutes': 20.0}
B2,SELL,2025-11-11 16:37:00+00:00,25538.4,25639.4,25239.4,0.53,53.0,2025-11-11 20:55:00+00:00,25573.55,-18.629499999998846,time_exit,0.42400000000000004,0.53,40.349999999998545,159.95000000000073,258.0,{'pending_minutes': 97.0}
B2,SELL,2025-11-17 16:40:00+00:00,25092.95,25193.95,24793.95,0.52,52.0,2025-11-17 20:55:00+00:00,24840.65,131.19599999999963,time_exit,0.41600000000000004,0.52,75.39999999999782,256.3000000000029,255.0,{'pending_minutes': 100.0}
B2,SELL,2025-11-18 15:03:00+00:00,24656.95,24757.95,24357.95,0.53,53.0,2025-11-18 17:04:00+00:00,24358.95,157.94,target,0.901,0.53,89.59999999999854,306.90000000000146,121.0,{'pending_minutes': 3.0}
B2,SELL,2025-11-19 16:44:00+00:00,24660.8,24761.8,24361.8,0.54,54.0,2025-11-19 16:55:00+00:00,24762.8,-55.080000000000005,stop,0.43200000000000005,0.54,111.15000000000146,19.75,11.0,{'pending_minutes': 104.0}
B2,SELL,2025-12-01 16:10:00+00:00,25223.8,25324.8,24924.8,0.54,54.0,2025-12-01 16:56:00+00:00,25325.8,-55.080000000000005,stop,0.918,0.54,105.84999999999854,64.15000000000146,46.0,{'pending_minutes': 70.0}
