strategy,side,entry_time,entry,stop,target,volume,risk_cash,exit_time,exit,pnl,exit_reason,spread_cost,slippage_cost,mae,mfe,holding_minutes,metadata
A_FIXED,SELL,2025-07-30 13:30:00+00:00,23360.65,23410.65,23260.65,0.5,25.0,2025-07-30 19:20:00+00:00,23411.65,-25.5,stop,0.85,0.5,50.19999999999709,45.70000000000073,350.0,{}
A_RUNNER,SELL,2025-07-30 13:30:00+00:00,23360.65,23369.35,,0.5,25.0,2025-07-30 13:46:00+00:00,23370.35,-4.849999999998545,stop,0.85,0.5,9.399999999997817,1.5,16.0,{}
A_FIXED,SELL,2025-07-31 13:30:00+00:00,23656.1,23706.1,23556.1,0.49,24.5,2025-07-31 16:31:00+00:00,23557.1,48.51,target,0.833,0.49,18.200000000000728,131.25,181.0,{}
A_RUNNER,SELL,2025-07-31 13:30:00+00:00,23656.1,23662.2,,0.49,24.5,2025-07-31 13:33:00+00:00,23663.2,-3.4790000000010695,stop,0.833,0.49,8.200000000000728,0.0,3.0,{}
A_FIXED,SELL,2025-08-01 13:30:00+00:00,22968.95,23018.95,22868.95,0.5,25.0,2025-08-01 15:41:00+00:00,23019.95,-25.5,stop,0.85,0.5,63.20000000000073,65.90000000000146,131.0,{}
A_RUNNER,SELL,2025-08-01 13:30:00+00:00,22968.95,22951.55,,0.5,25.0,2025-08-01 14:10:00+00:00,22952.55,8.200000000000728,stop,0.85,0.5,7.75,65.90000000000146,40.0,{}
B2,SELL,2025-08-01 14:16:00+00:00,22974.25,23075.25,22775.25,0.5,50.0,2025-08-01 16:45:00+00:00,22776.25,99.0,target,0.85,0.5,62.70000000000073,205.29999999999927,149.0,{'pending_minutes': 16.0}
A_FIXED,SELL,2025-08-04 13:30:00+00:00,22951.35,23001.35,22851.35,0.5,25.0,2025-08-04 16:30:00+00:00,23002.35,-25.5,stop,0.85,0.5,52.10000000000218,34.14999999999782,180.0,{}
A_RUNNER,SELL,2025-08-04 13:30:00+00:00,22951.35,22946.6,,0.5,25.0,2025-08-04 14:30:00+00:00,22947.6,1.875,stop,0.85,0.5,12.100000000002183,34.14999999999782,60.0,{}
A_FIXED,SELL,2025-08-05 13:30:00+00:00,23259.0,23309.0,23159.0,0.5,25.0,2025-08-05 17:26:00+00:00,23160.0,49.5,target,0.85,0.5,30.950000000000728,105.35000000000218,236.0,{}
A_RUNNER,SELL,2025-08-05 13:30:00+00:00,23259.0,23267.35,,0.5,25.0,2025-08-05 13:45:00+00:00,23268.35,-4.674999999999272,stop,0.85,0.5,10.049999999999272,7.649999999997817,15.0,{}
B1,SELL,2025-08-05 14:00:00+00:00,23268.45,23283.4,23238.55,3.36,50.232000000002444,2025-08-05 15:14:00+00:00,23284.4,-53.59200000000244,stop,5.712,3.36,21.5,20.0,74.0,{}
A_FIXED,SELL,2025-08-06 13:30:00+00:00,23036.3,23086.3,22936.3,0.5,25.0,2025-08-06 14:32:00+00:00,23087.3,-25.5,stop,0.85,0.5,50.45000000000073,38.39999999999782,62.0,{}
A_RUNNER,SELL,2025-08-06 13:30:00+00:00,23036.3,23041.65,,0.5,25.0,2025-08-06 14:00:00+00:00,23042.65,-3.1750000000010914,stop,0.85,0.5,11.850000000002183,38.39999999999782,30.0,{}
B1,SELL,2025-08-06 14:00:00+00:00,23031.55,23117.6,22859.45,0.58,49.90899999999957,2025-08-06 16:35:00+00:00,23118.6,-50.48899999999958,stop,0.9859999999999999,0.58,86.59999999999854,3.399999999997817,155.0,{}
A_FIXED,SELL,2025-08-07 13:30:00+00:00,23498.4,23548.4,23398.4,0.49,24.5,2025-08-07 16:57:00+00:00,23549.4,-24.99,stop,0.833,0.49,51.44999999999709,37.35000000000218,207.0,{}
A_RUNNER,SELL,2025-08-07 13:30:00+00:00,23498.4,23507.15,,0.49,24.5,2025-08-07 13:46:00+00:00,23508.15,-4.7775,stop,0.833,0.49,10.399999999997817,10.0,16.0,{}
A_FIXED,SELL,2025-08-08 13:30:00+00:00,23459.55,23509.55,23359.55,0.49,24.5,2025-08-08 16:42:00+00:00,23510.55,-24.99,stop,0.833,0.49,50.0,42.04999999999927,192.0,{}
A_RUNNER,SELL,2025-08-08 13:30:00+00:00,23459.55,23466.75,,0.49,24.5,2025-08-08 13:37:00+00:00,23467.75,-4.018000000000357,stop,0.833,0.49,8.05000000000291,0.0,7.0,{}
A_FIXED,SELL,2025-08-11 13:30:00+00:00,23630.45,23680.45,23530.45,0.49,24.5,2025-08-11 19:08:00+00:00,23681.45,-24.99,stop,0.833,0.49,56.89999999999782,54.60000000000218,338.0,{}
A_RUNNER,SELL,2025-08-11 13:30:00+00:00,23630.45,23624.1,,0.49,24.5,2025-08-11 14:46:00+00:00,23625.1,2.6215000000010695,stop,0.833,0.49,4.400000000001455,25.700000000000728,76.0,{}
A_FIXED,SELL,2025-08-12 13:30:00+00:00,23532.65,23582.65,23432.65,0.49,24.5,2025-08-12 15:30:00+00:00,23583.65,-24.99,stop,0.833,0.49,124.89999999999782,23.100000000002183,120.0,{}
A_RUNNER,SELL,2025-08-12 13:30:00+00:00,23532.65,23532.1,,0.49,24.5,2025-08-12 14:32:00+00:00,23533.1,-0.22049999999857392,stop,0.833,0.49,10.399999999997817,23.100000000002183,62.0,{}
B2,SELL,2025-08-12 15:30:00+00:00,23583.35,23684.35,23384.35,0.49,49.0,2025-08-12 15:35:00+00:00,23685.35,-49.98,stop,0.833,0.49,102.60000000000218,16.099999999998545,5.0,{'pending_minutes': 90.0}
A_FIXED,SELL,2025-08-13 13:30:00+00:00,23899.0,23949.0,23799.0,0.49,24.5,2025-08-13 16:31:00+00:00,23950.0,-24.99,stop,0.833,0.49,50.75,13.75,181.0,{}
A_RUNNER,SELL,2025-08-13 13:30:00+00:00,23899.0,23896.6,,0.49,24.5,2025-08-13 14:01:00+00:00,23897.6,0.686000000000713,stop,0.833,0.49,8.5,10.5,31.0,{}
A_FIXED,SELL,2025-08-14 13:30:00+00:00,23829.35,23879.35,23729.35,0.49,24.5,2025-08-14 15:34:00+00:00,23730.35,48.51,target,0.833,0.49,40.45000000000073,105.69999999999709,124.0,{}
