date,strategy,reason
2025-07-29,A,no valid 09:30 tick
2025-07-29,B,missing second M15 candle
2025-07-30,B1,invalid stop 8.1 pips
2025-07-31,B2,pending order expired
2025-08-03,A_FIXED,weekend
2025-08-03,A_RUNNER,weekend
2025-08-03,B2,weekend
2025-08-03,B1,weekend
2025-08-04,B2,pending order expired
2025-08-07,B1,invalid stop 8.9 pips
2025-08-08,B2,pending order expired
2025-08-10,A_FIXED,weekend
2025-08-10,A_RUNNER,weekend
2025-08-10,B2,weekend
2025-08-10,B1,weekend
2025-08-11,B,doji/body filter
2025-08-13,B,doji/body filter
2025-08-15,B,doji/body filter
2025-08-17,A_FIXED,weekend
2025-08-17,A_RUNNER,weekend
2025-08-17,B2,weekend
2025-08-17,B1,weekend
2025-08-18,B,doji/body filter
2025-08-19,B2,pending order expired
2025-08-22,B2,pending order expired
2025-08-24,A_FIXED,weekend
2025-08-24,A_RUNNER,weekend
2025-08-24,B2,weekend
2025-08-24,B1,weekend
2025-08-25,B2,pending order expired
2025-08-26,B2,pending order expired
2025-08-27,B,doji/body filter
2025-08-29,B,doji/body filter
2025-08-31,A_FIXED,weekend
2025-08-31,A_RUNNER,weekend
2025-08-31,B2,weekend
2025-08-31,B1,weekend
2025-09-01,A_FIXED,NYSE holiday
2025-09-01,A_RUNNER,NYSE holiday
2025-09-01,B2,NYSE holiday
2025-09-01,B1,NYSE holiday
2025-09-02,B2,pending order expired
2025-09-04,B2,pending order expired
2025-09-07,A_FIXED,weekend
2025-09-07,A_RUNNER,weekend
2025-09-07,B2,weekend
2025-09-07,B1,weekend
2025-09-08,B2,pending order expired
2025-09-09,B2,pending order expired
2025-09-10,B,doji/body filter
2025-09-11,B1,invalid stop 6.2 pips
2025-09-14,A_FIXED,weekend
2025-09-14,A_RUNNER,weekend
2025-09-14,B2,weekend
2025-09-14,B1,weekend
2025-09-17,B,doji/body filter
2025-09-19,B,doji/body filter
2025-09-21,A_FIXED,weekend
