time,event,detail,basket,legs,first_entry,quote,trigger,lots,fill,bid,ask,balance,equity,margin,free_margin,margin_level,day,day_start_balance,daily_cash_pnl,total_lots,positions
2025.09.05 00:00:00,day_start,net cash target resets at broker midnight,0,0,0.0,0.0,0.0,0.0,0.0,3552.612,3552.649,3000.0,3000.0,0.0,3000.0,0.0,20250905,3000.0,0.0,0.0,0
2025.09.05 00:00:00,buy_request,first leg,1,0,0.0,3552.649,3552.649,0.02,0.0,3552.612,3552.649,3000.0,3000.0,0.0,3000.0,0.0,20250905,3000.0,0.0,0.0,0
2025.09.05 00:00:00,buy_filled,filled,1,1,3552.649,3552.649,3552.649,0.02,3552.649,3552.612,3552.649,2999.89,2999.81,3.55,2996.26,84501.69014084508,20250905,3000.0,-0.11000000000012733,0.02,1
2025.09.05 12:30:28,exit_trigger,single leg plus price step,1,1,3552.649,3562.706,3562.649,0.0,0.0,3562.706,3562.743,2999.89,3020.0,3.55,3016.45,85070.42253521127,20250905,3000.0,-0.11000000000012733,0.02,1
2025.09.05 12:30:28,basket_closed,net basket cash=20.00,1,1,3552.649,0.0,0.0,0.0,0.0,3562.706,3562.743,3020.0,3020.0,0.0,3020.0,0.0,20250905,3000.0,20.0,0.0,0
2025.09.05 12:30:28,buy_request,first leg,2,0,0.0,3562.816,3562.816,0.02,0.0,3562.779,3562.816,3020.0,3020.0,0.0,3020.0,0.0,20250905,3000.0,20.0,0.0,0
2025.09.05 12:30:28,buy_filled,filled,2,1,3562.816,3562.816,3562.816,0.02,3562.816,3562.779,3562.816,3019.89,3019.82,3.56,3016.26,84826.40449438203,20250905,3000.0,19.889999999999873,0.02,1
2025.09.05 12:30:42,exit_trigger,single leg plus price step,2,1,3562.816,3572.871,3572.816,0.0,0.0,3572.871,3572.908,3019.89,3040.0,3.56,3036.44,85393.25842696629,20250905,3000.0,19.889999999999873,0.02,1
2025.09.05 12:30:42,basket_closed,net basket cash=20.00,2,1,3562.816,0.0,0.0,0.0,0.0,3572.871,3572.908,3040.0,3040.0,0.0,3040.0,0.0,20250905,3000.0,40.0,0.0,0
2025.09.05 12:30:42,buy_request,first leg,3,0,0.0,3572.981,3572.981,0.02,0.0,3572.944,3572.981,3040.0,3040.0,0.0,3040.0,0.0,20250905,3000.0,40.0,0.0,0
2025.09.05 12:30:42,buy_filled,filled,3,1,3572.981,3572.981,3572.981,0.02,3572.981,3572.944,3572.981,3039.89,3039.82,3.57,3036.25,85149.01960784315,20250905,3000.0,39.88999999999987,0.02,1
2025.09.05 12:33:42,exit_trigger,single leg plus price step,3,1,3572.981,3582.992,3582.981,0.0,0.0,3582.992,3583.029,3039.89,3059.91,3.57,3056.34,85711.76470588235,20250905,3000.0,39.88999999999987,0.02,1
2025.09.05 12:33:42,basket_closed,net basket cash=19.91,3,1,3572.981,0.0,0.0,0.0,0.0,3582.992,3583.029,3059.91,3059.91,0.0,3059.91,0.0,20250905,3000.0,59.909999999999854,0.0,0
2025.09.05 12:33:42,buy_request,first leg,4,0,0.0,3583.042,3583.042,0.02,0.0,3583.005,3583.042,3059.91,3059.91,0.0,3059.91,0.0,20250905,3000.0,59.909999999999854,0.0,0
2025.09.05 12:33:42,buy_filled,filled,4,1,3583.042,3583.042,3583.042,0.02,3583.042,3583.005,3583.042,3059.8,3059.73,3.58,3056.15,85467.31843575419,20250905,3000.0,59.80000000000018,0.02,1
2025.09.05 12:47:40,buy_request,doubling rung,4,1,3583.042,3573.042,3573.042,0.04,0.0,3573.005,3573.042,3059.8,3039.73,3.58,3036.15,84908.6592178771,20250905,3000.0,59.80000000000018,0.02,1
2025.09.05 12:47:40,buy_filled,filled,4,2,3583.042,3573.042,3573.042,0.04,3573.042,3573.005,3573.042,3059.58,3039.36,10.73,3028.63,28325.815470643058,20250905,3000.0,59.57999999999993,0.06,2
2025.09.05 13:00:42,exit_trigger,all legs at original entry,4,2,3583.042,3583.053,3583.042,0.0,0.0,3583.053,3583.09,3059.58,3099.65,10.73,3088.92,28887.698042870456,20250905,3000.0,59.57999999999993,0.06,2
2025.09.05 13:00:42,basket_closed,net basket cash=39.74,4,2,3583.042,0.0,0.0,0.0,0.0,3583.053,3583.09,3099.65,3099.65,0.0,3099.65,0.0,20250905,3000.0,99.65000000000009,0.0,0
2025.09.05 13:00:42,buy_request,first leg,5,0,0.0,3583.102,3583.102,0.02,0.0,3583.065,3583.102,3099.65,3099.65,0.0,3099.65,0.0,20250905,3000.0,99.65000000000009,0.0,0
2025.09.05 13:00:42,buy_filled,filled,5,1,3583.102,3583.102,3583.102,0.02,3583.102,3583.065,3583.102,3099.54,3099.47,3.58,3095.89,86577.37430167597,20250905,3000.0,99.53999999999996,0.02,1
2025.09.05 13:51:41,exit_trigger,single leg plus price step,5,1,3583.102,3593.105,3593.102,0.0,0.0,3593.105,3593.142,3099.54,3119.55,3.58,3115.97,87138.26815642459,20250905,3000.0,99.53999999999996,0.02,1
2025.09.05 13:51:41,basket_closed,net basket cash=19.90,5,1,3583.102,0.0,0.0,0.0,0.0,3593.105,3593.142,3119.55,3119.55,0.0,3119.55,0.0,20250905,3000.0,119.55000000000018,0.0,0
2025.09.05 13:51:42,buy_request,first leg,6,0,0.0,3593.159,3593.159,0.02,0.0,3593.122,3593.159,3119.55,3119.55,0.0,3119.55,0.0,20250905,3000.0,119.55000000000018,0.0,0
2025.09.05 13:51:42,buy_filled,filled,6,1,3593.159,3593.159,3593.159,0.02,3593.159,3593.122,3593.159,3119.44,3119.36,3.59,3115.77,86890.25069637883,20250905,3000.0,119.44000000000005,0.02,1
2025.09.05 14:28:21,buy_request,doubling rung,6,1,3593.159,3583.146,3583.159,0.04,0.0,3583.109,3583.146,3119.44,3099.34,3.59,3095.75,86332.59052924791,20250905,3000.0,119.44000000000005,0.02,1
2025.09.05 14:28:21,buy_filled,filled,6,2,3593.159,3583.146,3583.159,0.04,3583.146,3583.109,3583.146,3119.22,3098.98,10.76,3088.22,28800.929368029738,20250905,3000.0,119.2199999999998,0.06,2
2025.09.05 15:43:29,exit_trigger,all legs at original entry,6,2,3593.159,3593.18,3593.159,0.0,0.0,3593.18,3593.217,3119.22,3159.4,10.76,3148.64,29362.453531598516,20250905,3000.0,119.2199999999998,0.06,2
2025.09.05 15:43:29,basket_closed,net basket cash=39.85,6,2,3593.159,0.0,0.0,0.0,0.0,3593.18,3593.217,3159.4,3159.4,0.0,3159.4,0.0,20250905,3000.0,159.4000000000001,0.0,0
2025.09.05 15:43:30,buy_request,first leg,7,0,0.0,3593.248,3593.248,0.02,0.0,3593.211,3593.248,3159.4,3159.4,0.0,3159.4,0.0,20250905,3000.0,159.4000000000001,0.0,0
2025.09.05 15:43:30,buy_filled,filled,7,1,3593.248,3593.248,3593.248,0.02,3593.248,3593.211,3593.248,3159.29,3159.21,3.59,3155.62,88000.27855153204,20250905,3000.0,159.28999999999996,0.02,1
2025.09.07 22:05:00,day_end,end of last observed broker day,7,1,3593.248,0.0,0.0,0.0,0.0,3591.936,3591.973,3159.29,3155.59,3.59,3152.0,87899.44289693594,20250905,3000.0,159.28999999999996,0.02,1
2025.09.07 22:05:00,day_start,net cash target resets at broker midnight,7,1,3593.248,0.0,0.0,0.0,0.0,3591.936,3591.973,3159.29,3155.59,3.59,3152.0,87899.44289693594,20250907,3159.29,0.0,0.02,1
2025.09.08 00:00:00,day_end,end of last observed broker day,7,1,3593.248,0.0,0.0,0.0,0.0,3591.19,3591.227,3159.29,3154.1,3.59,3150.51,87857.93871866296,20250907,3159.29,0.0,0.02,1
2025.09.08 00:00:00,day_start,net cash target resets at broker midnight,7,1,3593.248,0.0,0.0,0.0,0.0,3591.19,3591.227,3159.29,3154.1,3.59,3150.51,87857.93871866296,20250908,3159.29,0.0,0.02,1
2025.09.08 03:49:36,buy_request,doubling rung,7,1,3593.248,3583.24,3583.248,0.04,0.0,3583.203,3583.24,3159.29,3138.13,3.59,3134.54,87413.09192200558,20250908,3159.29,0.0,0.02,1
2025.09.08 03:49:36,buy_filled,filled,7,2,3593.248,3583.24,3583.248,0.04,3583.24,3583.203,3583.24,3159.07,3137.76,10.76,3127.0,29161.338289962827,20250908,3159.29,-0.2199999999997999,0.06,2
2025.09.08 06:13:29,exit_trigger,all legs at original entry,7,2,3593.248,3593.264,3593.248,0.0,0.0,3593.264,3593.301,3159.07,3198.13,10.76,3187.37,29722.39776951673,20250908,3159.29,-0.2199999999997999,0.06,2
2025.09.08 06:13:29,basket_closed,net basket cash=38.73,7,2,3593.248,0.0,0.0,0.0,0.0,3593.264,3593.301,3198.13,3198.13,0.0,3198.13,0.0,20250908,3159.29,38.840000000000146,0.0,0
2025.09.08 06:13:29,buy_request,first leg,8,0,0.0,3593.338,3593.338,0.02,0.0,3593.301,3593.338,3198.13,3198.13,0.0,3198.13,0.0,20250908,3159.29,38.840000000000146,0.0,0
2025.09.08 06:13:29,buy_filled,filled,8,1,3593.338,3593.338,3593.338,0.02,3593.338,3593.301,3593.338,3198.02,3197.94,3.59,3194.35,89079.1086350975,20250908,3159.29,38.73000000000002,0.02,1
2025.09.08 07:10:58,exit_trigger,single leg plus price step,8,1,3593.338,3603.356,3603.338,0.0,0.0,3603.356,3603.393,3198.02,3218.05,3.59,3214.46,89639.27576601673,20250908,3159.29,38.73000000000002,0.02,1
2025.09.08 07:10:58,basket_closed,net basket cash=19.92,8,1,3593.338,0.0,0.0,0.0,0.0,3603.356,3603.393,3218.05,3218.05,0.0,3218.05,0.0,20250908,3159.29,58.76000000000022,0.0,0
2025.09.08 07:10:59,buy_request,first leg,9,0,0.0,3603.422,3603.422,0.02,0.0,3603.385,3603.422,3218.05,3218.05,0.0,3218.05,0.0,20250908,3159.29,58.76000000000022,0.0,0
2025.09.08 07:10:59,buy_filled,filled,9,1,3603.422,3603.422,3603.422,0.02,3603.422,3603.385,3603.422,3217.94,3217.87,3.6,3214.27,89385.27777777778,20250908,3159.29,58.65000000000009,0.02,1
2025.09.08 07:39:40,exit_trigger,single leg plus price step,9,1,3603.422,3613.44,3613.422,0.0,0.0,3613.44,3613.477,3217.94,3237.98,3.6,3234.38,89943.88888888889,20250908,3159.29,58.65000000000009,0.02,1
2025.09.08 07:39:40,basket_closed,net basket cash=19.93,9,1,3603.422,0.0,0.0,0.0,0.0,3613.44,3613.477,3237.98,3237.98,0.0,3237.98,0.0,20250908,3159.29,78.69000000000005,0.0,0
2025.09.08 07:39:40,buy_request,first leg,10,0,0.0,3613.516,3613.516,0.02,0.0,3613.479,3613.516,3237.98,3237.98,0.0,3237.98,0.0,20250908,3159.29,78.69000000000005,0.0,0
2025.09.08 07:39:40,buy_filled,filled,10,1,3613.516,3613.516,3613.516,0.02,3613.516,3613.479,3613.516,3237.87,3237.8,3.61,3234.19,89689.75069252079,20250908,3159.29,78.57999999999993,0.02,1
2025.09.08 12:54:25,exit_trigger,single leg plus price step,10,1,3613.516,3623.536,3623.516,0.0,0.0,3623.536,3623.573,3237.87,3257.91,3.61,3254.3,90246.81440443214,20250908,3159.29,78.57999999999993,0.02,1
2025.09.08 12:54:25,basket_closed,net basket cash=19.93,10,1,3613.516,0.0,0.0,0.0,0.0,3623.536,3623.573,3257.91,3257.91,0.0,3257.91,0.0,20250908,3159.29,98.61999999999989,0.0,0
2025.09.08 12:54:26,buy_request,first leg,11,0,0.0,3623.597,3623.597,0.02,0.0,3623.56,3623.597,3257.91,3257.91,0.0,3257.91,0.0,20250908,3159.29,98.61999999999989,0.0,0
2025.09.08 12:54:26,buy_filled,filled,11,1,3623.597,3623.597,3623.597,0.02,3623.597,3623.56,3623.597,3257.8,3257.73,3.62,3254.11,89992.54143646409,20250908,3159.29,98.51000000000022,0.02,1
2025.09.08 13:45:36,exit_trigger,single leg plus price step,11,1,3623.597,3633.597,3633.597,0.0,0.0,3633.597,3633.634,3257.8,3277.8,3.62,3274.18,90546.96132596685,20250908,3159.29,98.51000000000022,0.02,1
2025.09.08 13:45:36,basket_closed,net basket cash=19.89,11,1,3623.597,0.0,0.0,0.0,0.0,3633.597,3633.634,3277.8,3277.8,0.0,3277.8,0.0,20250908,3159.29,118.51000000000022,0.0,0
