time,balance,equity,margin,free_margin,margin_level,total_lots,legs,basket,bid,ask,running_max_equity_dd_pct
2026.03.05 00:00:00,3000.0,3000.0,0.0,3000.0,0.0,0.0,0,0,5165.027,5165.142,0.0
2026.03.05 00:01:00,2999.89,2995.83,5.17,2990.66,57946.42166344294,0.02,1,1,5163.112,5163.209,0.2827982705669883
2026.03.05 00:02:00,2999.89,2990.14,5.17,2984.97,57836.36363636364,0.02,1,1,5160.267,5160.382,0.4403525485153857
2026.03.05 00:03:00,2999.89,2993.27,5.17,2988.1,57896.90522243713,0.02,1,1,5161.832,5161.929,0.4403525485153857
2026.03.05 00:04:00,2999.89,2995.95,5.17,2990.78,57948.742746615084,0.02,1,1,5163.17,5163.285,0.4403525485153857
2026.03.05 00:05:00,2999.89,3000.32,5.17,2995.15,58033.26885880077,0.02,1,1,5165.356,5165.471,0.4403525485153857
2026.03.05 00:06:00,2999.89,3002.22,5.17,2997.05,58070.01934235976,0.02,1,1,5166.306,5166.421,0.4403525485153857
2026.03.05 00:07:00,2999.89,3003.44,5.17,2998.27,58093.6170212766,0.02,1,1,5166.915,5167.03,0.4403525485153857
2026.03.05 00:08:00,2999.89,3000.8,5.17,2995.63,58042.553191489365,0.02,1,1,5165.596,5165.711,0.4403525485153857
2026.03.05 00:09:01,2999.89,3001.59,5.17,2996.42,58057.833655705996,0.02,1,1,5165.991,5166.088,0.4403525485153857
2026.03.05 00:10:00,2999.89,3003.81,5.17,2998.64,58100.773694390715,0.02,1,1,5167.099,5167.214,0.4403525485153857
2026.03.05 00:11:00,2999.89,3011.34,5.17,3006.17,58246.42166344295,0.02,1,1,5170.864,5170.961,0.4403525485153857
2026.03.05 00:12:00,2999.89,3012.47,5.17,3007.3,58268.27852998066,0.02,1,1,5171.428,5171.525,0.4403525485153857
2026.03.05 00:13:00,2999.89,3012.4,5.17,3007.23,58266.92456479691,0.02,1,1,5171.393,5171.508,0.4403525485153857
2026.03.05 00:14:00,2999.89,3014.03,5.17,3008.86,58298.45261121857,0.02,1,1,5172.211,5172.326,0.4403525485153857
2026.03.05 00:15:00,2999.89,3011.61,5.17,3006.44,58251.64410058028,0.02,1,1,5170.998,5171.113,0.4403525485153857
